replicate_tube,Day,temperature,infection,Algal_count
1,0.125,26,0,0
1,0.125,26,0,0
1,0.125,26,1,3
1,0.125,26,1,3
1,0.125,26,1,11
1,0.125,26,1,8
1,0.125,26,0,0
1,0.125,26,0,0
1,0.125,26,0,0
1,0.125,26,1,1
1,0.125,26,1,12
1,0.125,26,1,2
1,0.125,26,1,13
1,0.125,26,1,9
1,0.125,26,1,3
1,0.125,26,0,0
1,0.125,26,0,0
1,0.125,26,1,4
1,0.125,26,1,2
2,0.125,26,1,4
2,0.125,26,0,0
2,0.125,26,0,0
2,0.125,26,0,0
2,0.125,26,0,0
2,0.125,26,1,11
2,0.125,26,1,6
2,0.125,26,0,0
2,0.125,26,1,1
2,0.125,26,1,2
2,0.125,26,1,1
2,0.125,26,1,7
2,0.125,26,0,0
2,0.125,26,0,0
2,0.125,26,0,0
2,0.125,26,0,0
2,0.125,26,0,0
2,0.125,26,0,0
2,0.125,26,0,0
2,0.125,26,1,2
3,0.125,26,1,1
3,0.125,26,0,0
3,0.125,26,0,0
3,0.125,26,0,0
3,0.125,26,0,0
3,0.125,26,0,0
3,0.125,26,1,2
3,0.125,26,1,1
3,0.125,26,0,0
3,0.125,26,0,0
3,0.125,26,0,0
3,0.125,26,0,0
3,0.125,26,0,0
3,0.125,26,0,0
3,0.125,26,0,0
3,0.125,26,0,0
3,0.125,26,0,0
3,0.125,26,0,0
3,0.125,26,1,8
3,0.125,26,0,0
4,0.125,26,1,7
4,0.125,26,1,1
4,0.125,26,0,0
4,0.125,26,1,4
4,0.125,26,1,18
4,0.125,26,1,4
4,0.125,26,0,0
4,0.125,26,1,2
4,0.125,26,1,6
4,0.125,26,0,0
4,0.125,26,0,0
4,0.125,26,0,0
4,0.125,26,1,4
4,0.125,26,0,0
4,0.125,26,0,0
4,0.125,26,1,2
4,0.125,26,0,0
4,0.125,26,0,0
4,0.125,26,0,0
4,0.125,26,0,0
5,0.125,26,0,0
5,0.125,26,0,0
5,0.125,26,0,0
5,0.125,26,0,0
5,0.125,26,0,0
5,0.125,26,0,0
5,0.125,26,1,1
5,0.125,26,0,0
5,0.125,26,0,0
5,0.125,26,0,0
5,0.125,26,0,0
5,0.125,26,0,0
5,0.125,26,1,1
5,0.125,26,0,0
5,0.125,26,1,10
5,0.125,26,0,0
5,0.125,26,0,0
5,0.125,26,0,0
5,0.125,26,0,0
5,0.125,26,1,6
6,0.125,26,0,0
6,0.125,26,0,0
6,0.125,26,1,2
6,0.125,26,0,0
6,0.125,26,0,0
6,0.125,26,1,3
6,0.125,26,0,0
6,0.125,26,1,1
6,0.125,26,0,0
6,0.125,26,0,0
6,0.125,26,0,0
6,0.125,26,0,0
6,0.125,26,0,0
6,0.125,26,1,5
6,0.125,26,1,3
6,0.125,26,0,0
6,0.125,26,0,0
6,0.125,26,0,0
6,0.125,26,0,0
6,0.125,26,0,0
1,0.25,26,1,3
1,0.25,26,0,0
1,0.25,26,0,0
1,0.25,26,0,0
1,0.25,26,0,0
1,0.25,26,0,0
1,0.25,26,0,0
1,0.25,26,0,0
1,0.25,26,0,0
1,0.25,26,0,0
1,0.25,26,1,3
1,0.25,26,0,0
1,0.25,26,1,1
1,0.25,26,0,0
1,0.25,26,0,0
1,0.25,26,0,0
1,0.25,26,0,0
1,0.25,26,0,0
1,0.25,26,0,0
1,0.25,26,0,0
2,0.25,26,0,0
2,0.25,26,1,5
2,0.25,26,0,0
2,0.25,26,1,13
2,0.25,26,0,0
2,0.25,26,0,0
2,0.25,26,0,0
2,0.25,26,0,0
2,0.25,26,0,0
2,0.25,26,0,0
2,0.25,26,0,0
2,0.25,26,1,3
2,0.25,26,1,2
2,0.25,26,1,2
2,0.25,26,0,0
2,0.25,26,0,0
2,0.25,26,1,1
2,0.25,26,1,7
2,0.25,26,1,4
2,0.25,26,1,2
3,0.25,26,1,1
3,0.25,26,0,0
3,0.25,26,0,0
3,0.25,26,1,15
3,0.25,26,0,0
3,0.25,26,0,0
3,0.25,26,0,0
3,0.25,26,0,0
3,0.25,26,1,16
3,0.25,26,0,0
3,0.25,26,0,0
3,0.25,26,0,0
3,0.25,26,1,2
3,0.25,26,0,0
3,0.25,26,1,23
3,0.25,26,0,0
3,0.25,26,0,0
3,0.25,26,0,0
3,0.25,26,0,0
3,0.25,26,0,0
4,0.25,26,0,0
4,0.25,26,0,0
4,0.25,26,0,0
4,0.25,26,0,0
4,0.25,26,0,0
4,0.25,26,0,0
4,0.25,26,0,0
4,0.25,26,0,0
4,0.25,26,1,1
4,0.25,26,1,1
4,0.25,26,0,0
4,0.25,26,0,0
4,0.25,26,0,0
4,0.25,26,0,0
4,0.25,26,1,1
4,0.25,26,0,0
4,0.25,26,0,0
4,0.25,26,1,1
4,0.25,26,1,1
4,0.25,26,1,1
5,0.25,26,0,0
5,0.25,26,0,0
5,0.25,26,0,0
5,0.25,26,0,0
5,0.25,26,0,0
5,0.25,26,0,0
5,0.25,26,1,1
5,0.25,26,1,1
5,0.25,26,0,0
5,0.25,26,0,0
5,0.25,26,0,0
5,0.25,26,0,0
5,0.25,26,0,0
5,0.25,26,0,0
5,0.25,26,0,0
5,0.25,26,0,0
5,0.25,26,0,0
5,0.25,26,1,7
5,0.25,26,1,33
5,0.25,26,1,1
6,0.25,26,0,0
6,0.25,26,1,4
6,0.25,26,0,0
6,0.25,26,1,2
6,0.25,26,0,0
6,0.25,26,1,1
6,0.25,26,0,0
6,0.25,26,1,5
6,0.25,26,1,2
6,0.25,26,0,0
6,0.25,26,0,0
6,0.25,26,0,0
6,0.25,26,1,3
6,0.25,26,1,5
6,0.25,26,0,0
6,0.25,26,1,1
6,0.25,26,0,0
6,0.25,26,0,0
1,0.5,26,1,1
1,0.5,26,1,1
1,0.5,26,0,0
1,0.5,26,1,10
1,0.5,26,0,0
1,0.5,26,1,5
1,0.5,26,0,0
1,0.5,26,0,0
1,0.5,26,1,2
1,0.5,26,0,0
1,0.5,26,1,10
1,0.5,26,1,3
1,0.5,26,0,0
1,0.5,26,0,0
1,0.5,26,0,0
1,0.5,26,1,1
1,0.5,26,1,2
1,0.5,26,0,0
1,0.5,26,1,18
1,0.5,26,1,3
2,0.5,26,0,0
2,0.5,26,0,0
2,0.5,26,0,0
2,0.5,26,1,1
2,0.5,26,1,5
2,0.5,26,0,0
2,0.5,26,1,2
2,0.5,26,0,0
2,0.5,26,1,1
2,0.5,26,1,6
2,0.5,26,0,0
2,0.5,26,0,0
2,0.5,26,1,2
2,0.5,26,0,0
2,0.5,26,1,5
2,0.5,26,1,20
2,0.5,26,1,4
2,0.5,26,1,1
2,0.5,26,1,1
2,0.5,26,1,1
3,0.5,26,1,4
3,0.5,26,0,0
3,0.5,26,0,0
3,0.5,26,1,2
3,0.5,26,0,0
3,0.5,26,0,0
3,0.5,26,0,0
3,0.5,26,1,14
3,0.5,26,1,1
3,0.5,26,0,0
3,0.5,26,0,0
3,0.5,26,0,0
3,0.5,26,0,0
3,0.5,26,1,3
3,0.5,26,1,1
3,0.5,26,0,0
3,0.5,26,0,0
3,0.5,26,1,2
3,0.5,26,0,0
3,0.5,26,0,0
4,0.5,26,1,27
4,0.5,26,1,3
4,0.5,26,1,13
4,0.5,26,0,0
4,0.5,26,0,0
4,0.5,26,0,0
4,0.5,26,1,2
4,0.5,26,0,0
4,0.5,26,1,1
4,0.5,26,0,0
4,0.5,26,0,0
4,0.5,26,0,0
4,0.5,26,1,4
4,0.5,26,0,0
4,0.5,26,0,0
4,0.5,26,1,6
4,0.5,26,1,5
4,0.5,26,0,0
4,0.5,26,1,1
4,0.5,26,1,24
5,0.5,26,0,0
5,0.5,26,0,0
5,0.5,26,0,0
5,0.5,26,0,0
5,0.5,26,0,0
5,0.5,26,0,0
5,0.5,26,1,4
5,0.5,26,0,0
5,0.5,26,1,3
5,0.5,26,0,0
5,0.5,26,0,0
5,0.5,26,0,0
5,0.5,26,0,0
5,0.5,26,0,0
5,0.5,26,0,0
5,0.5,26,0,0
5,0.5,26,0,0
5,0.5,26,0,0
5,0.5,26,1,2
5,0.5,26,0,0
6,0.5,26,0,0
6,0.5,26,1,2
6,0.5,26,0,0
6,0.5,26,0,0
6,0.5,26,1,11
6,0.5,26,0,0
6,0.5,26,1,1
6,0.5,26,1,1
6,0.5,26,1,1
6,0.5,26,0,0
6,0.5,26,1,4
6,0.5,26,1,5
6,0.5,26,1,6
6,0.5,26,0,0
6,0.5,26,0,0
6,0.5,26,1,3
6,0.5,26,0,0
6,0.5,26,1,5
6,0.5,26,1,1
6,0.5,26,1,1
1,1,26,1,3
1,1,26,0,0
1,1,26,0,0
1,1,26,1,28
1,1,26,0,0
1,1,26,1,25
1,1,26,1,56
1,1,26,1,156
1,1,26,0,0
1,1,26,0,0
1,1,26,1,64
1,1,26,1,7
1,1,26,1,28
1,1,26,1,36
1,1,26,1,12
1,1,26,0,0
1,1,26,0,0
1,1,26,1,1
1,1,26,1,24
1,1,26,1,7
2,1,26,0,0
2,1,26,1,11
2,1,26,1,31
2,1,26,1,25
2,1,26,1,1
2,1,26,1,1
2,1,26,1,10
2,1,26,0,0
2,1,26,0,0
2,1,26,0,0
2,1,26,1,10
2,1,26,0,0
2,1,26,0,0
2,1,26,0,0
2,1,26,1,63
2,1,26,1,72
2,1,26,1,21
2,1,26,1,17
2,1,26,1,25
2,1,26,1,38
3,1,26,0,0
3,1,26,0,0
3,1,26,1,4
3,1,26,1,1
3,1,26,1,56
3,1,26,0,0
3,1,26,1,2
3,1,26,1,29
