day,temp,average,stder
0,27,0,0
0.125,27,35,6.582805886
0.25,27,31.57407407,4.354215276
0.5,27,45,7.187952884
1,27,57.98245614,4.76098461
2,27,80.65789474,2.404932988
3,27,87.06140351,3.526981259
5,27,93.28947368,2.466535022
7,27,93.33333333,2.108185107
14,27,94.85294118,1.831654889
0,32,0,0
0.125,32,16.88596491,2.28550439
0.25,32,38.1871345,7.096654473
0.5,32,52.5,4.232808366
1,32,51.97368421,5.552049525
2,32,52.22222222,5.621826951
3,32,54.56140351,4.939928461
5,32,50,5
7,32,55.83333333,10.7561352
14,32,50.83333333,7.573711845
