ID	logFC	adj.P.Val
aug_v2a.08967	-1.258745319	0.00163596
aug_v2a.03233	-2.044341648	3.4518E-10
aug_v2a.17022	-2.124780039	6.71811E-09
aug_v2a.16259	-2.162845412	1.60454E-09
aug_v2a.20475	-2.031349161	6.00936E-10
aug_v2a.15287	-1.354801643	4.55735E-07
aug_v2a.06038	-1.801375255	1.57645E-08
aug_v2a.22921	-1.183205248	0.000240993
aug_v2a.10489	-2.076582796	2.86954E-09
aug_v2a.13992	-1.964589783	3.8127E-09
aug_v2a.08911	-1.69617569	8.52493E-10
aug_v2a.01229	-1.319161238	6.80136E-05
aug_v2a.18019	-1.217791367	1.75952E-05
aug_v2a.05530	-1.120411636	7.29653E-06
aug_v2a.18883	-1.270539786	1.29389E-05
aug_v2a.22371	-1.142663134	0.000105975
aug_v2a.23779	-1.054013415	0.000162919
aug_v2a.08509	-1.197778309	1.04661E-05
aug_v2a.17226	-1.184403541	2.10606E-05
aug_v2a.14468	-1.322178825	3.87641E-07
aug_v2a.08622	-1.043568119	2.32044E-05
aug_v2a.18348	-1.206778465	1.90607E-05
aug_v2a.14291	-1.713417561	6.94738E-12
aug_v2a.14216	-1.166125575	7.92946E-06
aug_v2a.00993	-1.009106655	6.88348E-07
aug_v2a.17559	-1.15660215	4.26821E-06
aug_v2a.04111	-1.569458654	5.10264E-12
aug_v2a.13910	-1.208153621	9.9298E-07
aug_v2a.03929	-1.015041461	7.54807E-06
aug_v2a.04537	-1.561338441	2.70909E-08
aug_v2a.14951	-1.163168044	2.2248E-06
aug_v2a.22999	-0.744004249	0.003772544
aug_v2a.08521	-1.216409387	2.83027E-07
aug_v2a.06154	-0.950355184	2.04092E-05
aug_v2a.01394	1.005234757	8.43009E-05
aug_v2a.23253	-1.000370335	0.000281825
aug_v2a.18891	-0.754200917	0.000494024
aug_v2a.23012	-0.963213316	0.000273853
aug_v2a.06432	-0.819950458	0.000214926
aug_v2a.19504	-0.755671135	0.004921258
aug_v2a.19414	-0.815757261	0.001363969
aug_v2a.05531	-0.952122722	1.47172E-05
aug_v2a.10021	-0.734436237	0.000661906
aug_v2a.24096	-0.931089936	0.000476095
aug_v2a.16164	-1.088544655	1.79901E-05
aug_v2a.23368	-1.20239986	5.40614E-08
aug_v2a.00753	-0.800139867	0.002775853
aug_v2a.12807	-1.192037682	3.2341E-08
aug_v2a.18078	-0.875061494	0.00101137
aug_v2a.19982	-0.892325885	0.000335959
aug_v2a.06078	-0.898604152	1.148E-05
aug_v2a.04659	-0.594967023	0.014994824
aug_v2a.22225	-0.882005879	0.000230194
aug_v2a.09800	-1.313823142	3.35992E-11
aug_v2a.08476	-1.688911728	5.97135E-22
aug_v2a.20573	-0.846691106	0.000172807
aug_v2a.19922	-1.320398791	5.31415E-09
aug_v2a.06384	-0.915921983	5.86103E-06
aug_v2a.10311	-1.091503338	1.74469E-08
aug_v2a.15425	-0.91141031	2.97477E-05
aug_v2a.01401	-0.926096777	2.4506E-05
aug_v2a.16676	-1.135347303	1.26847E-07
aug_v2a.13068	-0.678509292	0.000143448
aug_v2a.08424	-0.747563501	4.04744E-05
aug_v2a.15306	-0.867276009	1.35273E-06
aug_v2a.14168	-0.970082566	8.95834E-06
aug_v2a.00878	-0.920382868	1.82736E-05
aug_v2a.10238	-0.841850933	4.64435E-05
aug_v2a.06663	-1.206261611	3.03354E-10
aug_v2a.17722	-1.544535442	2.56453E-16
aug_v2a.00613	-0.656234179	0.003152643
aug_v2a.08061	-0.666128724	0.000589355
aug_v2a.02759	-0.831354352	9.85516E-05
aug_v2a.04903	-0.692163907	0.000263541
aug_v2a.21441	-0.71728239	0.000261603
aug_v2a.10627	-0.774447943	2.7026E-06
aug_v2a.20381	-0.876861546	1.22831E-07
aug_v2a.14927	-0.515467326	0.001303027
aug_v2a.14104	-1.344000349	1.52016E-13
aug_v2a.09214	-0.865733474	1.18893E-06
aug_v2a.06912	-0.873898369	9.96126E-07
aug_v2a.05309	-0.696858866	0.000558538
aug_v2a.00967	-0.652471543	0.000465522
aug_v2a.09351	-0.785809196	1.13234E-05
aug_v2a.15385	-0.779822515	1.09875E-05
aug_v2a.03903	-0.856130521	2.08459E-05
aug_v2a.20459	-1.031278867	1.92654E-11
aug_v2a.06182	-0.829791157	7.12795E-07
aug_v2a.04340	-0.765939164	3.21437E-05
aug_v2a.01315	-0.612192668	3.00241E-05
aug_v2a.23695	-0.525737288	0.002292361
aug_v2a.00105	-0.619940243	0.000594935
aug_v2a.00696	-0.704016852	5.22367E-05
aug_v2a.10302	-0.693505638	1.146E-05
aug_v2a.07900	-0.560302082	0.00229364
aug_v2a.10607	-0.616640737	0.000716342
aug_v2a.23649	-0.900904635	1.23766E-08
aug_v2a.20007	-0.902440459	3.30618E-07
aug_v2a.17631	-0.582549571	0.000354427
aug_v2a.23510	-0.847985307	3.52813E-11
aug_v2a.07597	-0.790783959	1.2941E-06
aug_v2a.12331	-0.88504065	6.13816E-09
aug_v2a.22097	-0.403213728	0.02856624
aug_v2a.20680	-0.794958188	1.68726E-06
aug_v2a.14499	-0.601964064	6.67409E-05
aug_v2a.12808	-0.649346457	1.601E-05
aug_v2a.02893	-0.466966262	0.001058632
aug_v2a.20360	-0.710631829	1.35273E-06
aug_v2a.23845	-0.748867796	1.18558E-08
aug_v2a.12839	-0.450139655	0.000492368
aug_v2a.07409	-1.028651511	3.13932E-12
aug_v2a.00183	-0.350107299	0.03090744
aug_v2a.14756	-0.705245	3.94862E-07
aug_v2a.07488	-1.0341376	1.7087E-12
aug_v2a.21763	-0.979065583	8.27976E-12
aug_v2a.17701	-0.903407725	3.43559E-09
aug_v2a.11487	-0.528791964	0.000163385
aug_v2a.12850	-0.753457136	3.78866E-09
aug_v2a.14451	-0.795256113	1.49296E-09
aug_v2a.09643	-0.47397459	0.000396403
aug_v2a.00752	-0.355386463	0.011829732
aug_v2a.12203	-0.489303209	0.001671159
aug_v2a.16851	-0.911414273	8.02106E-14
aug_v2a.13900	-0.65272779	1.4777E-06
aug_v2a.20362	-0.671275607	3.1621E-10
aug_v2a.05999	-0.996086232	6.56175E-15
aug_v2a.14285	-0.331781502	0.006814257
aug_v2a.12100	-0.326048475	0.004200446
aug_v2a.00699	-0.533729446	5.1854E-06
aug_v2a.10975	-0.601679101	4.17462E-07
aug_v2a.14698	-0.718022601	5.37018E-15
aug_v2a.02628	-0.54509243	6.39501E-07
aug_v2a.04808	-0.545825302	4.12422E-07
aug_v2a.23387	-0.259438714	0.003792403
aug_v2a.11727	-0.488847785	1.53715E-08
aug_v2a.18649	-0.266051755	0.001797181
aug_v2a.15822	0.225096518	2.24789E-05
aug_v2a.09360	0.252533983	0.000219199
aug_v2a.08392	0.414768986	3.48303E-10
aug_v2a.05541	0.172340313	0.028706592
aug_v2a.07894	0.232179543	0.003013829
aug_v2a.04043	0.21844394	0.011335767
aug_v2a.15816	0.37993048	1.42913E-07
aug_v2a.16462	0.18596375	0.023769858
aug_v2a.05851	0.275448704	0.000618863
aug_v2a.08689	0.456466005	3.71611E-09
aug_v2a.19638	0.303334892	0.000349831
aug_v2a.08670	0.426955896	5.30494E-12
aug_v2a.07345	0.296028318	0.000911934
aug_v2a.19893	0.337408661	4.55022E-05
aug_v2a.01109	0.37715252	2.17606E-05
aug_v2a.03435	0.583715507	1.13999E-12
aug_v2a.18353	0.421016375	7.34214E-07
aug_v2a.15122	0.28129386	0.000292211
aug_v2a.05023	0.624250892	2.60424E-11
aug_v2a.20836	0.270251017	0.011712799
aug_v2a.18569	0.613867112	1.80427E-10
aug_v2a.23397	0.412192162	4.52738E-06
aug_v2a.09080	0.384486611	6.02797E-05
aug_v2a.09098	0.459742955	1.35273E-06
aug_v2a.21427	0.415384516	4.10405E-05
aug_v2a.11227	0.510830079	5.57581E-09
aug_v2a.00172	0.491254003	5.3818E-07
aug_v2a.04854	0.453601015	2.50638E-05
aug_v2a.05097	0.441250825	1.5428E-05
aug_v2a.11244	0.362986176	0.001593599
aug_v2a.21906	0.46470252	4.48495E-05
aug_v2a.24355	0.43834403	5.54758E-06
aug_v2a.10853	0.643614648	1.1366E-08
aug_v2a.21531	0.305019063	0.00868435
aug_v2a.10531	0.548205609	6.73795E-07
aug_v2a.03744	0.575342959	1.28689E-06
aug_v2a.01546	0.566109993	6.54616E-07
aug_v2a.06555	0.588072767	2.14399E-15
aug_v2a.03796	0.568734669	8.88692E-07
aug_v2a.15003	0.544881441	2.4182E-07
aug_v2a.07867	0.501411448	1.10508E-06
aug_v2a.08480	0.32791934	0.000465465
aug_v2a.07738	0.656384035	1.31834E-14
aug_v2a.13869	1.390407544	2.91728E-34
aug_v2a.05892	0.464113008	5.51694E-05
aug_v2a.16725	0.563345415	9.79861E-07
aug_v2a.17941	0.481889938	0.000190593
aug_v2a.02005	0.467603406	0.000130294
aug_v2a.18860	0.667637552	2.41715E-07
aug_v2a.20957	0.658578413	1.01815E-08
