ID	logFC	adj.P.Val
aug_v2a.05830	0.545172981	0.003534203
aug_v2a.00378	0.668914133	1.96271E-05
aug_v2a.09798	0.486598046	0.021675038
aug_v2a.17040	0.382924908	0.018782107
aug_v2a.22764	-0.624052086	0.001174611
aug_v2a.07657	-0.5175794	0.005510429
aug_v2a.21965	-0.391208288	0.008964944
aug_v2a.11200	-0.401837654	0.000336779
aug_v2a.05802	-0.426272553	0.012890289
aug_v2a.19379	0.414873209	0.001351431
aug_v2a.08022	-0.420286852	0.010776383
aug_v2a.19306	-0.560235541	0.000510154
aug_v2a.19305	-0.623310852	0.000228985
aug_v2a.22697	-0.450805454	2.37981E-05
aug_v2a.17916	-0.658052959	1.83435E-06
aug_v2a.08813	0.650420323	6.45562E-09
aug_v2a.09408	0.504181722	1.15343E-06
aug_v2a.10779	-0.924357257	0.003076316
aug_v2a.09357	-0.320206177	0.024493943
aug_v2a.14844	-0.23702445	0.045377558
aug_v2a.05450	0.262684678	0.005637874
aug_v2a.00796	0.428370757	0.001065707
aug_v2a.19087	0.355920016	0.007317811
aug_v2a.04719	0.420298359	0.002117076
aug_v2a.15582	0.497088873	0.000679769
aug_v2a.20671	1.121831936	0.000773739
aug_v2a.07666	1.211001833	1.99779E-05
aug_v2a.02744	0.671829731	0.025844
aug_v2a.17623	0.254821573	0.006135634
aug_v2a.22686	-0.418534611	0.001700758
aug_v2a.01536	0.20073872	0.046105811
aug_v2a.09149	-0.742508251	0.000257516
aug_v2a.23358	0.369151299	0.010939443
aug_v2a.21243	-0.678671825	0.049720019
aug_v2a.24463	-0.403224665	0.014876374
aug_v2a.05147	0.320505893	0.005336416
aug_v2a.08698	0.667479027	0.00012624
aug_v2a.20600	0.735323162	7.44007E-05
aug_v2a.01430	0.523135428	0.001593705
aug_v2a.10010	0.361842833	0.003791568
aug_v2a.18756	-0.918604966	7.06273E-06
aug_v2a.07645	-0.358796793	1.09055E-05
aug_v2a.19335	0.620736466	0.018801828
aug_v2a.06902	0.884908197	2.46951E-14
aug_v2a.00828	-0.787572427	0.019343607
aug_v2a.17094	-0.405894589	1.16154E-06
aug_v2a.09780	-0.280083863	0.039949534
aug_v2a.20263	0.392294363	0.039452715
aug_v2a.05585	-0.569148552	0.000859534
aug_v2a.22472	0.974670308	1.13504E-09
aug_v2a.10925	-0.56312729	0.000894371
aug_v2a.09704	-0.185182968	0.040500128
aug_v2a.09972	0.39904133	0.000739254
aug_v2a.02107	-0.473774239	5.52408E-07
aug_v2a.21457	0.402590093	0.000175611
aug_v2a.07431	-1.047399355	0.000943955
aug_v2a.15497	-0.555634896	0.0018738
aug_v2a.06161	0.543090353	0.00080229
aug_v2a.13894	-0.597572687	0.001646926
aug_v2a.11362	0.594560138	0.03122894
aug_v2a.08152	0.835871028	0.017196129
aug_v2a.06154	-0.87818587	2.79435E-05
aug_v2a.22527	0.863750111	0.035276444
aug_v2a.11293	-0.409691723	0.030033889
aug_v2a.14647	-0.725939179	2.70698E-16
aug_v2a.17594	-0.356163295	0.019537664
aug_v2a.07372	0.308341926	0.03389387
aug_v2a.22052	0.909272433	1.49861E-06
aug_v2a.09299	-1.168339806	1.5898E-07
aug_v2a.05892	0.468639419	3.39784E-05
aug_v2a.23006	0.690214646	7.18562E-08
aug_v2a.17559	-1.030642629	2.01762E-06
aug_v2a.17226	-1.035015557	8.66635E-06
aug_v2a.17701	-0.927291878	2.48384E-08
aug_v2a.16981	-0.421776397	0.026601481
aug_v2a.06295	-0.287118317	0.029086831
aug_v2a.16767	-0.714841901	6.27553E-05
aug_v2a.13799	-0.90018814	8.06063E-08
aug_v2a.19237	-0.442738562	0.000838203
aug_v2a.24451	0.355207104	1.78668E-05
aug_v2a.04854	0.399338816	0.000661965
aug_v2a.24534	-0.71718515	1.33339E-06
aug_v2a.04350	-0.321188339	0.025349654
aug_v2a.20415	-0.610103989	2.8571E-05
aug_v2a.23899	0.815478542	0.000664984
aug_v2a.19859	-0.433902928	0.048680638
aug_v2a.15626	-0.844586135	4.32992E-06
aug_v2a.07488	-0.853249297	5.70884E-09
aug_v2a.16979	0.535548506	9.06976E-06
aug_v2a.00809	-0.524668673	5.5996E-07
aug_v2a.07002	-0.562935777	0.020329119
aug_v2a.03197	1.074798414	0.009616494
aug_v2a.00896	0.414775029	0.009635702
aug_v2a.09779	0.757655848	0.000119131
aug_v2a.06144	0.807258904	3.0533E-05
aug_v2a.12496	0.506080491	0.017082169
aug_v2a.12483	1.529847289	0.000160651
aug_v2a.11800	0.497313478	0.034999343
aug_v2a.00471	1.42285286	0.000189885
aug_v2a.00266	0.75679688	0.002660264
aug_v2a.03196	0.955753648	0.0163911
aug_v2a.06141	0.6832735	0.000955087
aug_v2a.11802	0.577982372	0.048154257
aug_v2a.04808	-0.539227569	3.59047E-07
aug_v2a.00265	0.293740611	0.041393994
aug_v2a.01743	0.514674729	3.36644E-05
aug_v2a.19138	0.610631045	0.015985979
aug_v2a.08495	-0.555448615	2.14831E-05
aug_v2a.02246	-1.058955881	7.88788E-13
aug_v2a.11887	0.574135178	3.32539E-06
aug_v2a.07136	0.313933202	0.006791429
aug_v2a.19035	-0.851798632	1.02879E-08
aug_v2a.07894	0.229197858	0.006628277
aug_v2a.08384	-0.617703605	2.10174E-06
aug_v2a.14188	0.477156236	9.59571E-07
aug_v2a.13246	0.338168732	0.003737454
aug_v2a.06465	0.590661638	0.000112656
aug_v2a.20542	0.355831719	0.01520352
aug_v2a.17235	0.693961814	2.70162E-05
aug_v2a.15468	0.592823229	0.002197784
aug_v2a.03931	0.613504146	9.67323E-05
aug_v2a.04393	-0.461551343	0.004546286
aug_v2a.17194	0.5648888	0.000611179
aug_v2a.06402	0.399844119	0.04659984
aug_v2a.17451	-1.28269937	5.58532E-16
aug_v2a.20335	0.858055134	0.03744697
aug_v2a.03392	0.382748452	0.010769713
aug_v2a.18739	-0.470668353	0.03779041
aug_v2a.16772	-0.474430367	0.033997204
aug_v2a.10547	0.570513901	0.0444524
aug_v2a.03828	-0.95276743	0.015166085
aug_v2a.15748	1.155907771	7.66365E-05
aug_v2a.18581	-0.717158429	2.35076E-07
aug_v2a.09417	-1.146064532	1.32377E-05
aug_v2a.02849	1.139208924	0.000326675
aug_v2a.13033	0.482062044	0.013330794
aug_v2a.16557	0.356100149	0.024285887
aug_v2a.16257	1.126320664	0.000359276
aug_v2a.22236	0.827145032	8.72037E-15
aug_v2a.04138	-1.182867627	0.004933831
aug_v2a.09454	-0.973379306	0.001414386
aug_v2a.18513	-1.751159941	6.37175E-09
aug_v2a.18988	-1.27635655	0.002129479
aug_v2a.03829	1.191530508	0.004287751
aug_v2a.03335	-0.539239919	0.001018505
aug_v2a.24447	-1.052180151	0.011144381
aug_v2a.03605	0.942556523	0.020314113
aug_v2a.09212	0.475494808	0.0085745
aug_v2a.00785	-0.976375647	0.01599339
aug_v2a.24546	1.26338265	5.89463E-05
aug_v2a.09270	-0.953425518	0.007238667
aug_v2a.08089	-0.81391283	0.004302298
aug_v2a.23650	-1.341671102	0.0002923
aug_v2a.18019	-1.066485617	2.17584E-05
aug_v2a.00907	-0.968696385	0.000439273
aug_v2a.03124	0.394560948	0.024444499
aug_v2a.11094	1.035539879	0.004211079
aug_v2a.01212	0.359101051	0.041753719
aug_v2a.17126	0.899447902	0.027441205
aug_v2a.19025	1.12606914	0.001879165
aug_v2a.22167	0.346721949	0.025648944
aug_v2a.22171	0.971931606	0.012090543
aug_v2a.09904	1.203955959	0.003180609
aug_v2a.24596	1.154339038	0.000584046
aug_v2a.23976	-0.693969395	0.018678872
aug_v2a.15968	1.439523724	0.000265377
aug_v2a.15967	1.165788762	0.00152665
aug_v2a.09565	0.879805392	0.031905605
aug_v2a.03216	0.911570765	0.030759433
aug_v2a.09678	-0.798695648	0.041000387
aug_v2a.00470	1.11351668	0.008277176
aug_v2a.23209	0.932757019	0.030123549
aug_v2a.15762	0.873753479	0.041000387
aug_v2a.20986	-0.337960372	0.03068523
aug_v2a.02073	1.631307304	0.00000125
aug_v2a.03353	0.962286273	0.021363544
aug_v2a.07484	-1.538314088	0.000120906
aug_v2a.14627	0.645340694	0.009443554
aug_v2a.15057	1.09932142	0.00623117
aug_v2a.07170	0.823791141	0.037259245
aug_v2a.19102	-1.099419504	0.00852104
aug_v2a.22991	-0.683822909	0.030850106
aug_v2a.21688	-0.796097032	0.049544324
aug_v2a.13586	0.645980829	0.027435185
aug_v2a.22314	-0.892745507	0.000871303
aug_v2a.22999	-0.705727534	0.00245617
aug_v2a.18198	-0.837416295	0.039820932
aug_v2a.23518	1.029833748	0.000120859
aug_v2a.21964	-0.393820849	0.011382172
aug_v2a.13914	-1.122861743	3.27E-08
aug_v2a.18445	-0.497444775	0.011701557
aug_v2a.17585	0.472582334	0.014890383
aug_v2a.00635	-1.016926876	0.015728238
aug_v2a.09190	0.553920753	0.007948928
aug_v2a.24666	0.524662854	0.002717685
aug_v2a.16989	-0.391465385	0.009680113
aug_v2a.14174	0.771509247	0.000451569
aug_v2a.24508	-1.17174416	0.001623733
aug_v2a.01501	0.602136074	5.54168E-07
aug_v2a.08866	1.532010307	0.000109054
aug_v2a.13812	-0.70654326	0.003932945
aug_v2a.17479	0.835113926	0.046830499
aug_v2a.20027	1.897175906	2.12718E-09
aug_v2a.04981	0.623346415	0.001521906
aug_v2a.07725	0.64169553	0.048172396
aug_v2a.09687	0.854989975	0.029477326
aug_v2a.22689	1.263960431	6.90318E-06
aug_v2a.22775	0.930835783	0.016284464
aug_v2a.07231	0.622097872	0.00097071
aug_v2a.05030	0.264099786	0.003147796
aug_v2a.06146	-1.376480682	9.63E-08
aug_v2a.12835	-0.883894967	0.02731962
aug_v2a.14052	-0.936321776	0.01773598
aug_v2a.05156	-0.866280459	5.54266E-12
aug_v2a.13449	-0.80608851	0.018042579
aug_v2a.14171	0.567980231	0.027917442
aug_v2a.22604	-0.547145802	0.005256596
aug_v2a.11629	0.715022273	1.88728E-06
aug_v2a.16327	0.531569031	0.001526263
aug_v2a.10861	0.468037217	0.047990207
