Category	ID	Term	GeneRatio	adj_pval	genes
CC	GO:0016607	nuclear speck	79/3053	7.83E-05	aug_v2a.21243,aug_v2a.10010,aug_v2a.08152,aug_v2a.23006,aug_v2a.17701,aug_v2a.10244,aug_v2a.10049,aug_v2a.13474,aug_v2a.16187,aug_v2a.09643,aug_v2a.21404,aug_v2a.16164,aug_v2a.08217,aug_v2a.13829,aug_v2a.22736,aug_v2a.01993,aug_v2a.08670,aug_v2a.07939,aug_v2a.21937,aug_v2a.15801,aug_v2a.02122,aug_v2a.14332,aug_v2a.24236,aug_v2a.09888,aug_v2a.20254,aug_v2a.11031,aug_v2a.02434,aug_v2a.19623,aug_v2a.21323,aug_v2a.01856,aug_v2a.13395,aug_v2a.07351,aug_v2a.09112,aug_v2a.20860,aug_v2a.05563,aug_v2a.20688,aug_v2a.20859,aug_v2a.00853,aug_v2a.03929,aug_v2a.06599,aug_v2a.03924,aug_v2a.08043,aug_v2a.03795,aug_v2a.16592,aug_v2a.00721,aug_v2a.15667,aug_v2a.07883,aug_v2a.03096,aug_v2a.20302,aug_v2a.05860,aug_v2a.18175,aug_v2a.11517,aug_v2a.23871,aug_v2a.16270,aug_v2a.10302,aug_v2a.06912,aug_v2a.10109,aug_v2a.14022,aug_v2a.12844,aug_v2a.24063,aug_v2a.00701,aug_v2a.04658,aug_v2a.10632,aug_v2a.21505,aug_v2a.07920,aug_v2a.16552,aug_v2a.10220,aug_v2a.02447,aug_v2a.12914,aug_v2a.15240,aug_v2a.22269,aug_v2a.03386,aug_v2a.10243,aug_v2a.20961,aug_v2a.06551,aug_v2a.01957,aug_v2a.14951,aug_v2a.13530,aug_v2a.00906
CC	GO:0005643	nuclear pore	36/3053	0.001467928	aug_v2a.09780,aug_v2a.09704,aug_v2a.02107,aug_v2a.19138,aug_v2a.09176,aug_v2a.17279,aug_v2a.00767,aug_v2a.16207,aug_v2a.10690,aug_v2a.19554,aug_v2a.01098,aug_v2a.03505,aug_v2a.13603,aug_v2a.02599,aug_v2a.04270,aug_v2a.02770,aug_v2a.00926,aug_v2a.11869,aug_v2a.23279,aug_v2a.10751,aug_v2a.21763,aug_v2a.05740,aug_v2a.09112,aug_v2a.09570,aug_v2a.05434,aug_v2a.22328,aug_v2a.24208,aug_v2a.10885,aug_v2a.10886,aug_v2a.20052,aug_v2a.07867,aug_v2a.01281,aug_v2a.24279,aug_v2a.18326,aug_v2a.05912,aug_v2a.17995
CC	GO:0016604	nuclear body	121/3053	0.001467928	aug_v2a.21243,aug_v2a.10010,aug_v2a.08152,aug_v2a.14647,aug_v2a.23006,aug_v2a.17701,aug_v2a.16337,aug_v2a.10244,aug_v2a.10807,aug_v2a.10049,aug_v2a.05272,aug_v2a.13474,aug_v2a.16187,aug_v2a.00799,aug_v2a.11534,aug_v2a.09643,aug_v2a.11775,aug_v2a.01691,aug_v2a.21404,aug_v2a.16164,aug_v2a.08217,aug_v2a.13829,aug_v2a.22736,aug_v2a.01993,aug_v2a.08670,aug_v2a.14905,aug_v2a.21045,aug_v2a.07939,aug_v2a.05856,aug_v2a.14700,aug_v2a.03599,aug_v2a.21937,aug_v2a.15801,aug_v2a.02122,aug_v2a.14332,aug_v2a.24236,aug_v2a.09888,aug_v2a.20254,aug_v2a.10021,aug_v2a.11031,aug_v2a.02434,aug_v2a.19623,aug_v2a.21323,aug_v2a.01856,aug_v2a.13395,aug_v2a.07351,aug_v2a.09112,aug_v2a.12959,aug_v2a.01683,aug_v2a.20860,aug_v2a.05563,aug_v2a.20688,aug_v2a.20859,aug_v2a.10249,aug_v2a.09285,aug_v2a.12573,aug_v2a.10148,aug_v2a.00853,aug_v2a.04937,aug_v2a.18768,aug_v2a.03929,aug_v2a.12576,aug_v2a.18114,aug_v2a.10017,aug_v2a.21881,aug_v2a.15107,aug_v2a.06599,aug_v2a.07462,aug_v2a.17172,aug_v2a.19188,aug_v2a.03924,aug_v2a.08043,aug_v2a.03795,aug_v2a.16592,aug_v2a.00721,aug_v2a.15667,aug_v2a.07883,aug_v2a.03096,aug_v2a.20302,aug_v2a.05860,aug_v2a.18175,aug_v2a.11517,aug_v2a.23871,aug_v2a.16270,aug_v2a.10302,aug_v2a.06912,aug_v2a.10109,aug_v2a.14022,aug_v2a.12844,aug_v2a.24063,aug_v2a.00701,aug_v2a.04658,aug_v2a.08916,aug_v2a.03367,aug_v2a.13519,aug_v2a.02009,aug_v2a.10632,aug_v2a.21505,aug_v2a.07920,aug_v2a.24208,aug_v2a.00060,aug_v2a.16552,aug_v2a.10220,aug_v2a.21671,aug_v2a.03600,aug_v2a.08641,aug_v2a.05625,aug_v2a.02447,aug_v2a.12914,aug_v2a.15240,aug_v2a.22269,aug_v2a.13358,aug_v2a.03386,aug_v2a.10243,aug_v2a.20961,aug_v2a.06551,aug_v2a.01957,aug_v2a.14951,aug_v2a.13530,aug_v2a.00906,aug_v2a.07882
CC	GO:0005681	spliceosomal complex	66/3053	0.005151746	aug_v2a.23358,aug_v2a.21243,aug_v2a.16981,aug_v2a.08495,aug_v2a.02985,aug_v2a.15328,aug_v2a.01529,aug_v2a.07378,aug_v2a.11298,aug_v2a.11687,aug_v2a.18375,aug_v2a.10442,aug_v2a.16097,aug_v2a.23692,aug_v2a.04919,aug_v2a.20856,aug_v2a.05594,aug_v2a.11444,aug_v2a.24148,aug_v2a.17067,aug_v2a.07793,aug_v2a.09918,aug_v2a.22903,aug_v2a.16788,aug_v2a.16098,aug_v2a.14953,aug_v2a.18333,aug_v2a.22736,aug_v2a.01993,aug_v2a.08670,aug_v2a.09888,aug_v2a.20254,aug_v2a.17005,aug_v2a.03078,aug_v2a.00853,aug_v2a.02035,aug_v2a.03929,aug_v2a.23871,aug_v2a.16270,aug_v2a.14022,aug_v2a.21839,aug_v2a.02447,aug_v2a.21924,aug_v2a.01000,aug_v2a.08360,aug_v2a.13859,aug_v2a.07592,aug_v2a.12914,aug_v2a.15240,aug_v2a.22269,aug_v2a.13358,aug_v2a.03386,aug_v2a.17995,aug_v2a.10243,aug_v2a.20362,aug_v2a.20961,aug_v2a.24340,aug_v2a.23470,aug_v2a.10933,aug_v2a.06551,aug_v2a.01957,aug_v2a.14951,aug_v2a.13530,aug_v2a.00906,aug_v2a.17238,aug_v2a.17020
CC	GO:0005583	fibrillar collagen trimer	18110	0.029830703	aug_v2a.23368,aug_v2a.13992,aug_v2a.09815,aug_v2a.02836,aug_v2a.02835,aug_v2a.23219,aug_v2a.13316,aug_v2a.07215
CC	GO:0098643	banded collagen fibril	18110	0.029830703	aug_v2a.23368,aug_v2a.13992,aug_v2a.09815,aug_v2a.02836,aug_v2a.02835,aug_v2a.23219,aug_v2a.13316,aug_v2a.07215
CC	GO:0044455	mitochondrial membrane part	42/3053	0.029830703	aug_v2a.24463,aug_v2a.10168,aug_v2a.15570,aug_v2a.13323,aug_v2a.08118,aug_v2a.06008,aug_v2a.08685,aug_v2a.18080,aug_v2a.15215,aug_v2a.06506,aug_v2a.14677,aug_v2a.14622,aug_v2a.07840,aug_v2a.18234,aug_v2a.10890,aug_v2a.10758,aug_v2a.05795,aug_v2a.00999,aug_v2a.13700,aug_v2a.13070,aug_v2a.11227,aug_v2a.08881,aug_v2a.20028,aug_v2a.01005,aug_v2a.14228,aug_v2a.17786,aug_v2a.07429,aug_v2a.23829,aug_v2a.21456,aug_v2a.18957,aug_v2a.09057,aug_v2a.05842,aug_v2a.17287,aug_v2a.03418,aug_v2a.17643,aug_v2a.05625,aug_v2a.00483,aug_v2a.14322,aug_v2a.10975,aug_v2a.13911,aug_v2a.00172,aug_v2a.08652
CC	GO:0099023	tethering complex	25/3053	0.030013195	aug_v2a.15582,aug_v2a.23162,aug_v2a.07908,aug_v2a.18555,aug_v2a.09311,aug_v2a.17791,aug_v2a.01937,aug_v2a.03724,aug_v2a.11528,aug_v2a.02683,aug_v2a.13204,aug_v2a.16276,aug_v2a.14632,aug_v2a.21024,aug_v2a.13359,aug_v2a.14123,aug_v2a.18569,aug_v2a.12094,aug_v2a.12092,aug_v2a.04300,aug_v2a.07966,aug_v2a.00625,aug_v2a.05312,aug_v2a.05313,aug_v2a.07276
CC	GO:0005840	ribosome	51/3053	0.030013195	aug_v2a.21936,aug_v2a.17204,aug_v2a.15027,aug_v2a.09262,aug_v2a.00845,aug_v2a.05611,aug_v2a.18712,aug_v2a.21742,aug_v2a.01638,aug_v2a.09596,aug_v2a.05187,aug_v2a.08768,aug_v2a.13068,aug_v2a.23695,aug_v2a.01897,aug_v2a.01628,aug_v2a.23097,aug_v2a.21937,aug_v2a.24661,aug_v2a.17693,aug_v2a.07931,aug_v2a.24249,aug_v2a.04051,aug_v2a.16514,aug_v2a.19037,aug_v2a.00055,aug_v2a.14967,aug_v2a.21938,aug_v2a.04487,aug_v2a.13196,aug_v2a.07045,aug_v2a.02894,aug_v2a.09618,aug_v2a.24414,aug_v2a.04937,aug_v2a.17857,aug_v2a.03930,aug_v2a.14543,aug_v2a.17041,aug_v2a.06780,aug_v2a.18520,aug_v2a.05534,aug_v2a.11987,aug_v2a.23295,aug_v2a.01786,aug_v2a.01360,aug_v2a.05432,aug_v2a.06698,aug_v2a.15940,aug_v2a.12420,aug_v2a.08652
CC	GO:0071012	catalytic step 1 spliceosome	18141	0.030013195	aug_v2a.08495,aug_v2a.15328,aug_v2a.17067,aug_v2a.02447,aug_v2a.21924,aug_v2a.01000,aug_v2a.08360,aug_v2a.12914,aug_v2a.20961
