ID	logFC	adj.P.Val
aug_v2a.05830	0.460482831	0.032457973
aug_v2a.04564	0.589581511	0.022608609
aug_v2a.20974	0.384178985	0.035333249
aug_v2a.08504	0.255397875	0.008627868
aug_v2a.21965	-0.410964761	0.014725571
aug_v2a.11200	-0.27247849	0.036835123
aug_v2a.05802	-0.539891698	0.004927767
aug_v2a.08021	-0.503430488	0.021250194
aug_v2a.08022	-0.429402915	0.020661195
aug_v2a.22697	-0.281242696	0.025024282
aug_v2a.02838	-0.317375841	0.005076922
aug_v2a.10779	-0.792782284	0.026436998
aug_v2a.09357	-0.421906493	0.007625749
aug_v2a.13247	0.710719962	0.017810395
aug_v2a.05450	0.308282889	0.004237562
aug_v2a.08218	0.38624929	0.002772658
aug_v2a.00796	0.43263912	0.004124426
aug_v2a.08107	-0.643199917	0.000194662
aug_v2a.17623	-0.241674976	0.022308538
aug_v2a.18251	0.534588506	0.012895804
aug_v2a.12316	0.46453618	0.011347591
aug_v2a.22686	-0.36554419	0.016451765
aug_v2a.17108	-0.411088712	0.031498213
aug_v2a.24463	-0.560788598	0.002488704
aug_v2a.18918	-0.219915217	0.024597583
aug_v2a.17338	0.739929589	0.017367749
aug_v2a.20600	0.535005432	0.013400701
aug_v2a.09437	-0.346678586	0.006484148
aug_v2a.01799	-0.645671852	0.001234584
aug_v2a.08897	0.521066275	0.002272084
aug_v2a.09780	0.483868403	0.001145819
aug_v2a.00984	0.436804692	0.003983663
aug_v2a.20263	0.713220778	0.000691194
aug_v2a.05585	-0.465076004	0.017922961
aug_v2a.20800	-0.521193184	0.008169867
aug_v2a.09704	-0.25221278	0.011347591
aug_v2a.12891	0.372172707	0.041608259
aug_v2a.09466	-0.250833053	0.037046694
aug_v2a.12537	-0.516254089	0.013275291
aug_v2a.11056	0.517153749	0.021309801
aug_v2a.11293	-0.447078341	0.033036797
aug_v2a.14647	-0.243461417	0.026483576
aug_v2a.22052	0.575685453	0.011087121
aug_v2a.11616	0.370731948	0.024891105
aug_v2a.11615	0.620972737	0.022240898
aug_v2a.20196	-0.504221027	0.009354361
aug_v2a.05467	-0.277439274	0.015280063
aug_v2a.16767	-0.646604859	0.001934862
aug_v2a.21518	-0.485021199	0.039707478
aug_v2a.04354	0.544316258	0.039707478
aug_v2a.18775	0.563643099	5.87E-05
aug_v2a.16945	0.487776091	0.003400663
aug_v2a.15128	0.366039191	0.003205254
aug_v2a.11802	0.710730518	0.027267307
aug_v2a.04808	-0.334692896	0.007610511
aug_v2a.19138	0.699798988	0.013674235
aug_v2a.02246	-0.489459677	0.006281915
aug_v2a.02111	-0.525182935	0.01894744
aug_v2a.08384	-0.373291907	0.015250112
aug_v2a.13246	0.29834596	0.024792808
aug_v2a.20542	0.480413996	0.003476171
aug_v2a.15468	0.670004952	0.002462052
aug_v2a.03931	0.539827241	0.0031846
aug_v2a.04393	-0.434250055	0.018746317
aug_v2a.05783	0.326069963	0.007665542
aug_v2a.07485	-0.30165288	0.043865924
aug_v2a.17451	-0.398289679	0.042466994
aug_v2a.04519	-0.717801416	0.001277451
aug_v2a.13590	0.589593748	0.040419623
aug_v2a.03335	-0.487164418	0.009884687
aug_v2a.01212	-0.523110333	0.006910891
aug_v2a.13014	0.715582408	0.027649482
aug_v2a.20986	-0.524953354	0.002733304
aug_v2a.21964	0.378945365	0.030300354
aug_v2a.10250	-0.586868494	0.000625238
aug_v2a.14880	-0.572059151	0.002388285
aug_v2a.17193	-0.634586865	0.0031846
aug_v2a.07535	0.661634566	0.036455776
aug_v2a.14754	-0.386295381	0.028800177
