Category	ID	Term	GeneRatio	adj_pval	genes
CC	GO:0098798	mitochondrial protein complex	52/1381	5.07E-18	"aug_v2a.24463,aug_v2a.02111,aug_v2a.05783,aug_v2a.06376,aug_v2a.15570,aug_v2a.13323,aug_v2a.13600,aug_v2a.07730,aug_v2a.12352,aug_v2a.08118,aug_v2a.02425,aug_v2a.13068,aug_v2a.23695,aug_v2a.01628,aug_v2a.15047,aug_v2a.12149,aug_v2a.11900,aug_v2a.06008,aug_v2a.08685,aug_v2a.11746,aug_v2a.00772,aug_v2a.15215,aug_v2a.06506,aug_v2a.14677,aug_v2a.17730,aug_v2a.00371,aug_v2a.18234,aug_v2a.08113,aug_v2a.15754,aug_v2a.06304,aug_v2a.10903,aug_v2a.21917,aug_v2a.23097,aug_v2a.03905,aug_v2a.11405,aug_v2a.20577,aug_v2a.00999,aug_v2a.13262,aug_v2a.07509,aug_v2a.08881,aug_v2a.20028,aug_v2a.20029,aug_v2a.02501,aug_v2a.17726,aug_v2a.12058,aug_v2a.05886,aug_v2a.21456,aug_v2a.02850,aug_v2a.09057,aug_v2a.03418,aug_v2a.05625,aug_v2a.14322"
CC	GO:0005840	ribosome	53/1381	9.56E-15	"aug_v2a.02111,aug_v2a.15027,aug_v2a.18712,aug_v2a.21742,aug_v2a.09596,aug_v2a.02425,aug_v2a.13068,aug_v2a.23695,aug_v2a.01628,aug_v2a.15047,aug_v2a.12149,aug_v2a.11900,aug_v2a.15754,aug_v2a.06304,aug_v2a.10903,aug_v2a.21917,aug_v2a.23097,aug_v2a.03905,aug_v2a.11405,aug_v2a.20577,aug_v2a.21937,aug_v2a.04865,aug_v2a.24661,aug_v2a.07931,aug_v2a.06307,aug_v2a.02276,aug_v2a.23098,aug_v2a.05075,aug_v2a.07660,aug_v2a.22926,aug_v2a.04051,aug_v2a.16514,aug_v2a.19037,aug_v2a.00055,aug_v2a.14967,aug_v2a.21938,aug_v2a.04487,aug_v2a.13196,aug_v2a.07045,aug_v2a.09618,aug_v2a.24414,aug_v2a.17041,aug_v2a.06780,aug_v2a.15006,aug_v2a.18520,aug_v2a.09751,aug_v2a.05534,aug_v2a.11987,aug_v2a.12058,aug_v2a.23295,aug_v2a.05432,aug_v2a.06698,aug_v2a.05886"
CC	GO:0044455	mitochondrial membrane part	42/1381	4.77E-12	"aug_v2a.24463,aug_v2a.10168,aug_v2a.06376,aug_v2a.15570,aug_v2a.13323,aug_v2a.13600,aug_v2a.07730,aug_v2a.12352,aug_v2a.08118,aug_v2a.06008,aug_v2a.08685,aug_v2a.11746,aug_v2a.00772,aug_v2a.15215,aug_v2a.06506,aug_v2a.14677,aug_v2a.17730,aug_v2a.00371,aug_v2a.18234,aug_v2a.05795,aug_v2a.00999,aug_v2a.13700,aug_v2a.07509,aug_v2a.08881,aug_v2a.20028,aug_v2a.20029,aug_v2a.06769,aug_v2a.07420,aug_v2a.02501,aug_v2a.17726,aug_v2a.21303,aug_v2a.00875,aug_v2a.17043,aug_v2a.21456,aug_v2a.02850,aug_v2a.18957,aug_v2a.09057,aug_v2a.01024,aug_v2a.03418,aug_v2a.05625,aug_v2a.00483,aug_v2a.14322"
CC	GO:0098800	inner mitochondrial membrane protein complex	28/1381	3.95E-11	"aug_v2a.24463,aug_v2a.06376,aug_v2a.15570,aug_v2a.13600,aug_v2a.07730,aug_v2a.12352,aug_v2a.08118,aug_v2a.06008,aug_v2a.08685,aug_v2a.11746,aug_v2a.00772,aug_v2a.15215,aug_v2a.06506,aug_v2a.14677,aug_v2a.17730,aug_v2a.00371,aug_v2a.18234,aug_v2a.00999,aug_v2a.07509,aug_v2a.08881,aug_v2a.20028,aug_v2a.20029,aug_v2a.02501,aug_v2a.17726,aug_v2a.09057,aug_v2a.03418,aug_v2a.05625,aug_v2a.14322"
CC	GO:0044391	ribosomal subunit	34/1381	1.27E-10	"aug_v2a.02111,aug_v2a.18712,aug_v2a.21742,aug_v2a.02425,aug_v2a.13068,aug_v2a.23695,aug_v2a.01628,aug_v2a.15047,aug_v2a.12149,aug_v2a.11900,aug_v2a.15754,aug_v2a.06304,aug_v2a.10903,aug_v2a.21917,aug_v2a.23097,aug_v2a.03905,aug_v2a.11405,aug_v2a.20577,aug_v2a.24661,aug_v2a.07931,aug_v2a.04487,aug_v2a.09618,aug_v2a.17041,aug_v2a.06780,aug_v2a.15006,aug_v2a.18520,aug_v2a.09751,aug_v2a.05534,aug_v2a.11987,aug_v2a.12058,aug_v2a.23295,aug_v2a.05432,aug_v2a.06698,aug_v2a.05886"
CC	GO:0005740	mitochondrial envelope	91/1381	7.69E-10	"aug_v2a.24463,aug_v2a.09437,aug_v2a.05783,aug_v2a.13789,aug_v2a.10283,aug_v2a.21619,aug_v2a.12529,aug_v2a.10168,aug_v2a.06376,aug_v2a.15570,aug_v2a.01620,aug_v2a.01811,aug_v2a.13323,aug_v2a.05853,aug_v2a.09482,aug_v2a.13600,aug_v2a.07730,aug_v2a.12352,aug_v2a.20591,aug_v2a.08118,aug_v2a.06518,aug_v2a.02425,aug_v2a.13068,aug_v2a.23695,aug_v2a.01628,aug_v2a.15047,aug_v2a.12149,aug_v2a.11900,aug_v2a.17631,aug_v2a.06008,aug_v2a.08685,aug_v2a.11285,aug_v2a.11746,aug_v2a.00772,aug_v2a.15215,aug_v2a.06506,aug_v2a.14677,aug_v2a.17730,aug_v2a.00371,aug_v2a.18234,aug_v2a.17042,aug_v2a.12705,aug_v2a.01483,aug_v2a.01528,aug_v2a.08496,aug_v2a.22914,aug_v2a.13524,aug_v2a.05795,aug_v2a.06549,aug_v2a.00999,aug_v2a.14864,aug_v2a.13700,aug_v2a.03768,aug_v2a.17925,aug_v2a.19830,aug_v2a.07509,aug_v2a.16555,aug_v2a.07173,aug_v2a.08881,aug_v2a.20028,aug_v2a.20029,aug_v2a.16309,aug_v2a.18492,aug_v2a.02314,aug_v2a.06769,aug_v2a.07420,aug_v2a.02501,aug_v2a.19829,aug_v2a.08506,aug_v2a.17726,aug_v2a.13164,aug_v2a.12058,aug_v2a.18754,aug_v2a.21303,aug_v2a.00875,aug_v2a.17043,aug_v2a.21456,aug_v2a.02850,aug_v2a.18957,aug_v2a.08139,aug_v2a.09057,aug_v2a.01024,aug_v2a.03418,aug_v2a.05625,aug_v2a.00483,aug_v2a.19715,aug_v2a.14322,aug_v2a.04506,aug_v2a.09147,aug_v2a.01906,aug_v2a.00181"
CC	GO:0031966	mitochondrial membrane	85/1381	5.99E-09	"aug_v2a.24463,aug_v2a.09437,aug_v2a.05783,aug_v2a.13789,aug_v2a.10283,aug_v2a.12529,aug_v2a.10168,aug_v2a.06376,aug_v2a.15570,aug_v2a.01620,aug_v2a.01811,aug_v2a.13323,aug_v2a.05853,aug_v2a.09482,aug_v2a.13600,aug_v2a.07730,aug_v2a.12352,aug_v2a.20591,aug_v2a.08118,aug_v2a.06518,aug_v2a.02425,aug_v2a.13068,aug_v2a.23695,aug_v2a.01628,aug_v2a.15047,aug_v2a.12149,aug_v2a.11900,aug_v2a.17631,aug_v2a.06008,aug_v2a.08685,aug_v2a.11285,aug_v2a.11746,aug_v2a.00772,aug_v2a.15215,aug_v2a.06506,aug_v2a.14677,aug_v2a.17730,aug_v2a.00371,aug_v2a.18234,aug_v2a.08496,aug_v2a.22914,aug_v2a.13524,aug_v2a.05795,aug_v2a.06549,aug_v2a.00999,aug_v2a.13700,aug_v2a.03768,aug_v2a.17925,aug_v2a.19830,aug_v2a.07509,aug_v2a.16555,aug_v2a.07173,aug_v2a.08881,aug_v2a.20028,aug_v2a.20029,aug_v2a.16309,aug_v2a.18492,aug_v2a.02314,aug_v2a.06769,aug_v2a.07420,aug_v2a.02501,aug_v2a.19829,aug_v2a.08506,aug_v2a.17726,aug_v2a.13164,aug_v2a.12058,aug_v2a.18754,aug_v2a.21303,aug_v2a.00875,aug_v2a.17043,aug_v2a.21456,aug_v2a.02850,aug_v2a.18957,aug_v2a.08139,aug_v2a.09057,aug_v2a.01024,aug_v2a.03418,aug_v2a.05625,aug_v2a.00483,aug_v2a.19715,aug_v2a.14322,aug_v2a.04506,aug_v2a.09147,aug_v2a.01906,aug_v2a.00181"
CC	GO:0005743	mitochondrial inner membrane	64/1381	5.07E-08	"aug_v2a.24463,aug_v2a.05783,aug_v2a.10283,aug_v2a.10168,aug_v2a.06376,aug_v2a.15570,aug_v2a.05853,aug_v2a.09482,aug_v2a.13600,aug_v2a.07730,aug_v2a.12352,aug_v2a.20591,aug_v2a.08118,aug_v2a.06518,aug_v2a.02425,aug_v2a.13068,aug_v2a.23695,aug_v2a.01628,aug_v2a.15047,aug_v2a.12149,aug_v2a.11900,aug_v2a.17631,aug_v2a.06008,aug_v2a.08685,aug_v2a.11285,aug_v2a.11746,aug_v2a.00772,aug_v2a.15215,aug_v2a.06506,aug_v2a.14677,aug_v2a.17730,aug_v2a.00371,aug_v2a.18234,aug_v2a.22914,aug_v2a.13524,aug_v2a.06549,aug_v2a.00999,aug_v2a.17925,aug_v2a.19830,aug_v2a.07509,aug_v2a.07173,aug_v2a.08881,aug_v2a.20028,aug_v2a.20029,aug_v2a.16309,aug_v2a.18492,aug_v2a.02314,aug_v2a.06769,aug_v2a.07420,aug_v2a.02501,aug_v2a.17726,aug_v2a.12058,aug_v2a.21303,aug_v2a.00875,aug_v2a.18957,aug_v2a.08139,aug_v2a.09057,aug_v2a.01024,aug_v2a.03418,aug_v2a.05625,aug_v2a.00483,aug_v2a.14322,aug_v2a.09147,aug_v2a.01906"
CC	GO:0015934	large ribosomal subunit	23/1381	7.27E-08	"aug_v2a.02111,aug_v2a.18712,aug_v2a.21742,aug_v2a.02425,aug_v2a.13068,aug_v2a.23695,aug_v2a.15754,aug_v2a.06304,aug_v2a.10903,aug_v2a.21917,aug_v2a.23097,aug_v2a.24661,aug_v2a.07931,aug_v2a.04487,aug_v2a.17041,aug_v2a.06780,aug_v2a.15006,aug_v2a.18520,aug_v2a.09751,aug_v2a.05534,aug_v2a.11987,aug_v2a.12058,aug_v2a.05886"
CC	GO:0005746	mitochondrial respiratory chain	18/1381	7.27E-08	"aug_v2a.13600,aug_v2a.07730,aug_v2a.12352,aug_v2a.08118,aug_v2a.11746,aug_v2a.00772,aug_v2a.15215,aug_v2a.06506,aug_v2a.14677,aug_v2a.17730,aug_v2a.00999,aug_v2a.20028,aug_v2a.20029,aug_v2a.07420,aug_v2a.02501,aug_v2a.09057,aug_v2a.05625,aug_v2a.14322"
CC	GO:0098803	respiratory chain complex	18/1381	7.27E-08	"aug_v2a.13600,aug_v2a.07730,aug_v2a.12352,aug_v2a.20591,aug_v2a.08118,aug_v2a.11746,aug_v2a.00772,aug_v2a.15215,aug_v2a.06506,aug_v2a.14677,aug_v2a.17730,aug_v2a.00999,aug_v2a.20028,aug_v2a.20029,aug_v2a.02501,aug_v2a.09057,aug_v2a.05625,aug_v2a.14322"
CC	GO:0000313	organellar ribosome	18/1381	1.04E-07	"aug_v2a.02111,aug_v2a.02425,aug_v2a.13068,aug_v2a.23695,aug_v2a.01628,aug_v2a.15047,aug_v2a.12149,aug_v2a.11900,aug_v2a.15754,aug_v2a.06304,aug_v2a.10903,aug_v2a.21917,aug_v2a.23097,aug_v2a.03905,aug_v2a.11405,aug_v2a.20577,aug_v2a.12058,aug_v2a.05886"
CC	GO:0005761	mitochondrial ribosome	18/1381	1.04E-07	"aug_v2a.02111,aug_v2a.02425,aug_v2a.13068,aug_v2a.23695,aug_v2a.01628,aug_v2a.15047,aug_v2a.12149,aug_v2a.11900,aug_v2a.15754,aug_v2a.06304,aug_v2a.10903,aug_v2a.21917,aug_v2a.23097,aug_v2a.03905,aug_v2a.11405,aug_v2a.20577,aug_v2a.12058,aug_v2a.05886"
