ID	logFC	adj.P.Val
aug_v2a.08565	-2.481404842	0.008227751
aug_v2a.19389	-2.306091818	0.028921904
aug_v2a.11645	-2.22324566	0.032376149
aug_v2a.20975	-2.186153002	0.000158312
aug_v2a.22441	-2.036644386	0.039377654
aug_v2a.11978	-2.009769632	0.043675722
aug_v2a.13306	-1.848633073	0.020241939
aug_v2a.24424	-1.768999876	0.031583118
aug_v2a.06083	-1.713270241	0.008804522
aug_v2a.22563	-1.589504495	0.009091756
aug_v2a.08092	-1.574168695	0.019699958
aug_v2a.22460	-1.519003924	0.002527794
aug_v2a.06024	-1.511424418	0.008488532
aug_v2a.20366	-1.484771952	0.000214228
aug_v2a.24293	-1.479555042	0.024526663
aug_v2a.03002	-1.455210022	0.001211515
aug_v2a.04366	-1.443049635	0.021132231
aug_v2a.03374	-1.394506389	0.002659172
aug_v2a.23725	-1.379745965	0.001307595
aug_v2a.10298	-1.36744993	0.020860575
aug_v2a.12314	-1.342775903	0.018902607
aug_v2a.13013	-1.320543507	0.003661421
aug_v2a.04576	-1.320242943	0.003216569
aug_v2a.02536	-1.294858107	0.004441206
aug_v2a.10417	-1.278685545	0.017392936
aug_v2a.22002	-1.236165582	7.70767E-09
aug_v2a.01591	-1.179118282	0.034215457
aug_v2a.24116	-1.177598715	0.037590955
aug_v2a.18043	-1.166447886	0.00318237
aug_v2a.03823	-1.149292161	0.002364962
aug_v2a.07517	-1.145473278	1.4888E-06
aug_v2a.24633	-1.130822364	0.035759606
aug_v2a.23160	-1.121045921	9.66321E-08
aug_v2a.15017	-1.114403618	0.000528198
aug_v2a.18559	-1.108276077	0.048446307
aug_v2a.00405	-1.103394484	0.006119065
aug_v2a.21240	-1.097301514	1.25924E-07
aug_v2a.10744	-1.067655719	0.019264852
aug_v2a.09525	-1.066548007	0.048425727
aug_v2a.24393	-1.057859397	0.044921785
aug_v2a.20149	-1.053384366	0.012906082
aug_v2a.13358	-1.047022273	0.037292556
aug_v2a.14664	-1.045555231	0.033512465
aug_v2a.13737	-1.045545076	0.006580136
aug_v2a.03324	-1.038333392	0.000777718
aug_v2a.13467	-1.036832303	0.012310234
aug_v2a.00333	-1.034036575	0.009075653
aug_v2a.06672	-1.033622432	0.000878843
aug_v2a.15686	-1.032496369	9.91126E-05
aug_v2a.01605	-1.028110304	0.03240791
aug_v2a.12647	-1.018577352	4.29397E-05
aug_v2a.11328	-1.007443789	3.92947E-06
aug_v2a.15042	-1.006280187	2.43045E-05
aug_v2a.03668	-1.004275678	0.02203628
aug_v2a.10960	-1.000180693	1.94454E-05
aug_v2a.22282	-0.998896924	1.64984E-06
aug_v2a.19172	-0.997582819	0.014336549
aug_v2a.08090	-0.99752942	0.000614782
aug_v2a.01200	-0.994772203	0.001087988
aug_v2a.01154	-0.992008281	5.56304E-05
aug_v2a.06779	-0.985349469	1.21349E-05
aug_v2a.20910	-0.984590016	4.67392E-06
aug_v2a.04807	-0.982481023	6.52475E-07
aug_v2a.01909	-0.981791202	0.005486254
aug_v2a.03875	-0.981411133	0.000109687
aug_v2a.14250	-0.977287271	3.48284E-06
aug_v2a.12470	-0.975281833	0.017715924
aug_v2a.22001	-0.974797992	1.14286E-05
aug_v2a.19359	-0.971720128	0.000392514
aug_v2a.02679	-0.964481576	6.12282E-05
aug_v2a.16573	-0.964402719	8.14332E-05
aug_v2a.01802	-0.96192302	0.018778162
aug_v2a.22539	-0.960715167	0.002616397
aug_v2a.22961	-0.960144983	0.022057984
aug_v2a.09182	-0.955336435	0.000564321
aug_v2a.15858	-0.954308744	0.025037646
aug_v2a.03556	-0.953839119	6.22827E-05
aug_v2a.16395	-0.950715495	0.004263141
aug_v2a.05376	-0.948403858	0.005740599
aug_v2a.19131	-0.948003585	0.041594731
aug_v2a.07386	-0.945427877	1.52089E-05
aug_v2a.03023	-0.942224052	0.000135513
aug_v2a.05903	-0.942043743	0.004693396
aug_v2a.01108	-0.941664623	0.001846184
aug_v2a.03136	-0.939586983	0.000124936
aug_v2a.17154	-0.937914367	1.46742E-05
aug_v2a.22297	-0.933686083	0.000474735
aug_v2a.16124	-0.933177078	0.000126673
aug_v2a.08974	-0.932395247	5.65615E-05
aug_v2a.13041	-0.930368515	5.84144E-06
aug_v2a.01817	-0.929233335	0.003493587
aug_v2a.21062	-0.921496339	0.001013468
aug_v2a.12329	-0.920410925	0.007173304
aug_v2a.14965	-0.920020705	0.000266968
aug_v2a.16948	-0.917437425	0.011052897
aug_v2a.05261	-0.916286685	0.000633656
aug_v2a.02265	-0.914658516	0.006645369
aug_v2a.05184	-0.910862749	0.000675849
aug_v2a.02933	-0.91068019	0.034262638
aug_v2a.17824	-0.910224788	0.037590955
aug_v2a.19258	-0.90999128	0.015258439
aug_v2a.06640	-0.907586032	4.43141E-05
aug_v2a.17644	-0.905946627	0.000451114
aug_v2a.09895	-0.905590019	3.0472E-05
aug_v2a.12186	-0.903378517	4.55408E-07
aug_v2a.20964	-0.902359591	0.000403548
aug_v2a.00987	-0.897861169	0.000594896
aug_v2a.10300	-0.897674545	6.49484E-05
aug_v2a.22378	-0.894786984	1.54613E-05
aug_v2a.00620	-0.8941472	0.000623387
aug_v2a.22021	-0.893904152	0.007039962
aug_v2a.16414	-0.893278095	0.001009377
aug_v2a.00020	-0.892582001	9.7452E-05
aug_v2a.06796	-0.891007253	0.000294453
aug_v2a.07056	-0.890814381	0.000493184
aug_v2a.14983	-0.890375603	1.55685E-05
aug_v2a.18055	-0.88898121	5.06902E-06
aug_v2a.04050	-0.887967172	0.049618368
aug_v2a.07750	-0.887065054	4.47647E-06
aug_v2a.05929	-0.886648188	0.000111383
aug_v2a.02162	-0.886639242	0.001156318
aug_v2a.22033	-0.886630906	6.89132E-06
aug_v2a.23240	-0.885416258	0.002371774
aug_v2a.12574	-0.885146707	0.000710695
aug_v2a.05418	-0.885126588	0.000583475
aug_v2a.07145	-0.884140361	0.000405408
aug_v2a.18441	-0.884128748	0.00012314
aug_v2a.21743	-0.882258633	0.000113754
aug_v2a.02678	-0.881638962	0.000100883
aug_v2a.22619	-0.881056131	6.20288E-07
aug_v2a.22538	-0.879309643	0.00500488
aug_v2a.23609	-0.877721464	5.50553E-05
aug_v2a.06273	-0.877425756	0.002138265
aug_v2a.21375	-0.876275094	0.031851085
aug_v2a.02413	-0.87139064	1.26073E-05
aug_v2a.20125	-0.870667656	0.001694848
aug_v2a.21212	-0.866851246	0.000160633
aug_v2a.15337	-0.865384603	1.48065E-05
aug_v2a.22143	-0.864314675	0.048338014
aug_v2a.03137	-0.863083941	6.25839E-05
aug_v2a.04277	-0.862203071	2.30342E-08
aug_v2a.05705	-0.860247846	1.08684E-06
aug_v2a.17433	-0.859386435	3.65804E-06
aug_v2a.18083	-0.857632992	0.000506949
aug_v2a.01347	-0.857418191	0.00581273
aug_v2a.01716	-0.856981699	0.000747427
aug_v2a.03585	-0.855325342	0.020318366
