ID	logFC	adj.P.Val
aug_v2a.19449	-2.97095993	0.001718984
aug_v2a.01560	-2.40779441	0.000000057
aug_v2a.12998	-2.335419449	0.043728901
aug_v2a.08712	-2.156072226	0.029314465
aug_v2a.23166	-2.049406984	0.009914086
aug_v2a.03136	-2.047414064	0.0000166
aug_v2a.08040	-1.893382241	0.048274468
aug_v2a.20975	-1.656979612	0.000100952
aug_v2a.11047	-1.621719709	0.00180055
aug_v2a.15629	-1.606810637	0.00667465
aug_v2a.10298	-1.540162407	0.005413325
aug_v2a.22563	-1.5049677	0.010218905
aug_v2a.10744	-1.500348425	0.046990864
aug_v2a.01777	-1.499099663	0.032834948
aug_v2a.00026	-1.485395282	0.000179555
aug_v2a.04366	-1.476650013	0.007184797
aug_v2a.24293	-1.467303355	0.048700596
aug_v2a.22460	-1.398931691	0.001508503
aug_v2a.00333	-1.398299184	0.000186105
aug_v2a.11850	-1.383434546	0.024575705
aug_v2a.20934	-1.365951472	0.004266102
aug_v2a.15794	-1.282056765	0.018119053
aug_v2a.08090	-1.274883784	0.005706528
aug_v2a.08167	-1.268934852	0.006677533
aug_v2a.23240	-1.254854301	0.000276716
aug_v2a.18043	-1.225487536	0.000159686
aug_v2a.22002	-1.192427468	0.000002
aug_v2a.08745	-1.190876109	0.000000635
aug_v2a.15017	-1.182873849	0.000149112
aug_v2a.23160	-1.18215309	0.000000969
aug_v2a.05166	-1.176131916	0.004292017
aug_v2a.03823	-1.167134366	0.001273238
aug_v2a.02594	-1.165613046	0.00000157
aug_v2a.02000	-1.145938212	0.00000114
aug_v2a.13468	-1.12323873	0.038391826
aug_v2a.13013	-1.116084505	0.011923729
aug_v2a.15686	-1.114913228	0.0000423
aug_v2a.19359	-1.104987956	0.002001658
aug_v2a.07517	-1.104532415	0.000803763
aug_v2a.03667	-1.103688572	0.049669021
aug_v2a.03002	-1.097164252	0.006131679
aug_v2a.07518	-1.092887316	0.005712623
aug_v2a.13564	-1.090939255	0.002270566
aug_v2a.22771	-1.090532616	0.02834997
aug_v2a.21412	-1.086140492	0.026253321
aug_v2a.02208	-1.085445578	0.043876935
aug_v2a.24645	-1.082481522	0.045674665
aug_v2a.12019	-1.077336769	0.00045499
aug_v2a.04330	-1.062799422	0.002580753
aug_v2a.24475	-1.059482479	0.01639937
aug_v2a.06640	-1.059309025	0.00000537
aug_v2a.17425	-1.050782792	0.027884819
aug_v2a.07520	-1.050706929	0.006301646
aug_v2a.21062	-1.049048338	0.000732723
aug_v2a.12574	-1.04840467	0.000107851
aug_v2a.10290	-1.044197456	0.037304666
aug_v2a.21787	-1.039455402	0.024881122
aug_v2a.04369	-1.032307858	0.00714753
aug_v2a.12647	-1.027607283	0.0000285
aug_v2a.14250	-1.011730589	0.00000128
aug_v2a.22001	-1.006278335	0.00000867
aug_v2a.08181	-1.005431485	0.029153758
aug_v2a.04807	-1.004830995	0.000000633
aug_v2a.06672	-1.001715181	0.000564951
aug_v2a.10960	-0.997314229	0.0000238
aug_v2a.16948	-0.988308795	0.002526264
aug_v2a.17753	-0.983633284	0.0000561
aug_v2a.01154	-0.983238449	0.0000689
aug_v2a.02387	-0.979690655	0.044346015
aug_v2a.03137	-0.968973652	0.00000885
aug_v2a.14181	-0.967556993	0.000841235
aug_v2a.11463	-0.96658733	0.0000542
aug_v2a.06273	-0.966288144	0.000847711
aug_v2a.20910	-0.966097819	0.000000216
