Category	ID	Term	GeneRatio	adj_pval	genes
CC	GO:1902495	transmembrane transporter complex	139/6111	0.001095608	"aug_v2a.21251,aug_v2a.05909,aug_v2a.12862,aug_v2a.11450,aug_v2a.01363,aug_v2a.11451,aug_v2a.12860,aug_v2a.07579,aug_v2a.11012,aug_v2a.05322,aug_v2a.09355,aug_v2a.14712,aug_v2a.17017,aug_v2a.11315,aug_v2a.23498,aug_v2a.13119,aug_v2a.06270,aug_v2a.20417,aug_v2a.13514,aug_v2a.20416,aug_v2a.01164,aug_v2a.18845,aug_v2a.07672,aug_v2a.13803,aug_v2a.08349,aug_v2a.10787,aug_v2a.19079,aug_v2a.10154,aug_v2a.22684,aug_v2a.00820,aug_v2a.21783,aug_v2a.17938,aug_v2a.07222,aug_v2a.02631,aug_v2a.09037,aug_v2a.09850,aug_v2a.02630,aug_v2a.15699,aug_v2a.15046,aug_v2a.12337,aug_v2a.21587,aug_v2a.21425,aug_v2a.14932,aug_v2a.17267,aug_v2a.09062,aug_v2a.04116,aug_v2a.05152,aug_v2a.15067,aug_v2a.20916,aug_v2a.01286,aug_v2a.03957,aug_v2a.13302,aug_v2a.07048,aug_v2a.11823,aug_v2a.18585,aug_v2a.16269,aug_v2a.02140,aug_v2a.01465,aug_v2a.12799,aug_v2a.14637,aug_v2a.04614,aug_v2a.11190,aug_v2a.13740,aug_v2a.21395,aug_v2a.18634,aug_v2a.11069,aug_v2a.03993,aug_v2a.02739,aug_v2a.06015,aug_v2a.05185,aug_v2a.15068,aug_v2a.12829,aug_v2a.01216,aug_v2a.08567,aug_v2a.10823,aug_v2a.00841,aug_v2a.03789,aug_v2a.08079,aug_v2a.11422,aug_v2a.12798,aug_v2a.23815,aug_v2a.03727,aug_v2a.22788,aug_v2a.01753,aug_v2a.08485,aug_v2a.08078,aug_v2a.20596,aug_v2a.01163,aug_v2a.05371,aug_v2a.12000,aug_v2a.00048,aug_v2a.13609,aug_v2a.01464,aug_v2a.18584,aug_v2a.24346,aug_v2a.09851,aug_v2a.08348,aug_v2a.16448,aug_v2a.11086,aug_v2a.02193,aug_v2a.12761,aug_v2a.06017,aug_v2a.18091,aug_v2a.09849,aug_v2a.03968,aug_v2a.04276,aug_v2a.03776,aug_v2a.15698,aug_v2a.12358,aug_v2a.05626,aug_v2a.22133,aug_v2a.09039,aug_v2a.05425,aug_v2a.03017,aug_v2a.19741,aug_v2a.05908,aug_v2a.08705,aug_v2a.20976,aug_v2a.09061,aug_v2a.15414,aug_v2a.20787,aug_v2a.03790,aug_v2a.15208,aug_v2a.17049,aug_v2a.03992,aug_v2a.03777,aug_v2a.15206,aug_v2a.02155,aug_v2a.06273,aug_v2a.18246,aug_v2a.01043,aug_v2a.20744,aug_v2a.19564,aug_v2a.12336,aug_v2a.01161,aug_v2a.20934,aug_v2a.02560,aug_v2a.03726,aug_v2a.01138"
CC	GO:0005581	collagen trimer	119/6111	0.001095608	"aug_v2a.18241,aug_v2a.16341,aug_v2a.16003,aug_v2a.18109,aug_v2a.09473,aug_v2a.14371,aug_v2a.17315,aug_v2a.17074,aug_v2a.14602,aug_v2a.11203,aug_v2a.19717,aug_v2a.06359,aug_v2a.12524,aug_v2a.15033,aug_v2a.06759,aug_v2a.09536,aug_v2a.21421,aug_v2a.14514,aug_v2a.20617,aug_v2a.11205,aug_v2a.05544,aug_v2a.11206,aug_v2a.13537,aug_v2a.06459,aug_v2a.02816,aug_v2a.09258,aug_v2a.17284,aug_v2a.11466,aug_v2a.04405,aug_v2a.13392,aug_v2a.13458,aug_v2a.04302,aug_v2a.08951,aug_v2a.04536,aug_v2a.18016,aug_v2a.18630,aug_v2a.10344,aug_v2a.03089,aug_v2a.09818,aug_v2a.12522,aug_v2a.22704,aug_v2a.22680,aug_v2a.07578,aug_v2a.19396,aug_v2a.10906,aug_v2a.09567,aug_v2a.17526,aug_v2a.04927,aug_v2a.01816,aug_v2a.10454,aug_v2a.13459,aug_v2a.15915,aug_v2a.15976,aug_v2a.09052,aug_v2a.06227,aug_v2a.19174,aug_v2a.11181,aug_v2a.11182,aug_v2a.19173,aug_v2a.08081,aug_v2a.08612,aug_v2a.10343,aug_v2a.10904,aug_v2a.18691,aug_v2a.00434,aug_v2a.06226,aug_v2a.02892,aug_v2a.24713,aug_v2a.23664,aug_v2a.10246,aug_v2a.01382,aug_v2a.00928,aug_v2a.05811,aug_v2a.09220,aug_v2a.24670,aug_v2a.23051,aug_v2a.11599,aug_v2a.04025,aug_v2a.05812,aug_v2a.06455,aug_v2a.03101,aug_v2a.23828,aug_v2a.05363,aug_v2a.03291,aug_v2a.06483,aug_v2a.19132,aug_v2a.11665,aug_v2a.22825,aug_v2a.03289,aug_v2a.04303,aug_v2a.21718,aug_v2a.11664,aug_v2a.08106,aug_v2a.20123,aug_v2a.11398,aug_v2a.06132,aug_v2a.23001,aug_v2a.19857,aug_v2a.17078,aug_v2a.17856,aug_v2a.22256,aug_v2a.03709,aug_v2a.18540,aug_v2a.10229,aug_v2a.21654,aug_v2a.13912,aug_v2a.08949,aug_v2a.13211,aug_v2a.12501,aug_v2a.06035,aug_v2a.09185,aug_v2a.08974,aug_v2a.02001,aug_v2a.10971,aug_v2a.09509,aug_v2a.02000,aug_v2a.22538,aug_v2a.02265,aug_v2a.10187"
CC	GO:1990351	transporter complex	139/6111	0.001389555	"aug_v2a.21251,aug_v2a.05909,aug_v2a.12862,aug_v2a.11450,aug_v2a.01363,aug_v2a.11451,aug_v2a.12860,aug_v2a.07579,aug_v2a.11012,aug_v2a.05322,aug_v2a.09355,aug_v2a.14712,aug_v2a.17017,aug_v2a.11315,aug_v2a.23498,aug_v2a.13119,aug_v2a.06270,aug_v2a.20417,aug_v2a.13514,aug_v2a.20416,aug_v2a.01164,aug_v2a.18845,aug_v2a.07672,aug_v2a.13803,aug_v2a.08349,aug_v2a.10787,aug_v2a.19079,aug_v2a.10154,aug_v2a.22684,aug_v2a.00820,aug_v2a.21783,aug_v2a.17938,aug_v2a.07222,aug_v2a.02631,aug_v2a.09037,aug_v2a.09850,aug_v2a.02630,aug_v2a.15699,aug_v2a.15046,aug_v2a.12337,aug_v2a.21587,aug_v2a.21425,aug_v2a.14932,aug_v2a.17267,aug_v2a.09062,aug_v2a.04116,aug_v2a.05152,aug_v2a.15067,aug_v2a.20916,aug_v2a.01286,aug_v2a.03957,aug_v2a.13302,aug_v2a.07048,aug_v2a.11823,aug_v2a.18585,aug_v2a.16269,aug_v2a.02140,aug_v2a.01465,aug_v2a.12799,aug_v2a.14637,aug_v2a.04614,aug_v2a.11190,aug_v2a.13740,aug_v2a.21395,aug_v2a.18634,aug_v2a.11069,aug_v2a.03993,aug_v2a.02739,aug_v2a.06015,aug_v2a.05185,aug_v2a.15068,aug_v2a.12829,aug_v2a.01216,aug_v2a.08567,aug_v2a.10823,aug_v2a.00841,aug_v2a.03789,aug_v2a.08079,aug_v2a.11422,aug_v2a.12798,aug_v2a.23815,aug_v2a.03727,aug_v2a.22788,aug_v2a.01753,aug_v2a.08485,aug_v2a.08078,aug_v2a.20596,aug_v2a.01163,aug_v2a.05371,aug_v2a.12000,aug_v2a.00048,aug_v2a.13609,aug_v2a.01464,aug_v2a.18584,aug_v2a.24346,aug_v2a.09851,aug_v2a.08348,aug_v2a.16448,aug_v2a.11086,aug_v2a.02193,aug_v2a.12761,aug_v2a.06017,aug_v2a.18091,aug_v2a.09849,aug_v2a.03968,aug_v2a.04276,aug_v2a.03776,aug_v2a.15698,aug_v2a.12358,aug_v2a.05626,aug_v2a.22133,aug_v2a.09039,aug_v2a.05425,aug_v2a.03017,aug_v2a.19741,aug_v2a.05908,aug_v2a.08705,aug_v2a.20976,aug_v2a.09061,aug_v2a.15414,aug_v2a.20787,aug_v2a.03790,aug_v2a.15208,aug_v2a.17049,aug_v2a.03992,aug_v2a.03777,aug_v2a.15206,aug_v2a.02155,aug_v2a.06273,aug_v2a.18246,aug_v2a.01043,aug_v2a.20744,aug_v2a.19564,aug_v2a.12336,aug_v2a.01161,aug_v2a.20934,aug_v2a.02560,aug_v2a.03726,aug_v2a.01138"
CC	GO:0034702	ion channel complex	133/6111	0.001389555	"aug_v2a.21251,aug_v2a.05909,aug_v2a.12862,aug_v2a.11450,aug_v2a.01363,aug_v2a.11451,aug_v2a.12860,aug_v2a.07579,aug_v2a.11012,aug_v2a.05322,aug_v2a.09355,aug_v2a.14712,aug_v2a.17017,aug_v2a.11315,aug_v2a.23498,aug_v2a.13119,aug_v2a.06270,aug_v2a.13514,aug_v2a.01164,aug_v2a.18845,aug_v2a.07672,aug_v2a.13803,aug_v2a.08349,aug_v2a.10787,aug_v2a.19079,aug_v2a.10154,aug_v2a.22684,aug_v2a.07222,aug_v2a.02631,aug_v2a.09037,aug_v2a.09850,aug_v2a.02630,aug_v2a.15699,aug_v2a.15046,aug_v2a.12337,aug_v2a.21587,aug_v2a.21425,aug_v2a.14932,aug_v2a.17267,aug_v2a.09062,aug_v2a.04116,aug_v2a.05152,aug_v2a.15067,aug_v2a.20916,aug_v2a.01286,aug_v2a.03957,aug_v2a.13302,aug_v2a.07048,aug_v2a.11823,aug_v2a.18585,aug_v2a.16269,aug_v2a.02140,aug_v2a.12799,aug_v2a.14637,aug_v2a.04614,aug_v2a.11190,aug_v2a.13740,aug_v2a.21395,aug_v2a.18634,aug_v2a.11069,aug_v2a.03993,aug_v2a.02739,aug_v2a.06015,aug_v2a.05185,aug_v2a.15068,aug_v2a.12829,aug_v2a.01216,aug_v2a.08567,aug_v2a.10823,aug_v2a.00841,aug_v2a.03789,aug_v2a.08079,aug_v2a.11422,aug_v2a.12798,aug_v2a.23815,aug_v2a.03727,aug_v2a.22788,aug_v2a.01753,aug_v2a.08485,aug_v2a.08078,aug_v2a.20596,aug_v2a.01163,aug_v2a.05371,aug_v2a.12000,aug_v2a.00048,aug_v2a.13609,aug_v2a.01464,aug_v2a.18584,aug_v2a.24346,aug_v2a.09851,aug_v2a.08348,aug_v2a.16448,aug_v2a.11086,aug_v2a.02193,aug_v2a.12761,aug_v2a.06017,aug_v2a.18091,aug_v2a.09849,aug_v2a.03968,aug_v2a.04276,aug_v2a.03776,aug_v2a.15698,aug_v2a.12358,aug_v2a.05626,aug_v2a.22133,aug_v2a.09039,aug_v2a.05425,aug_v2a.03017,aug_v2a.19741,aug_v2a.05908,aug_v2a.08705,aug_v2a.20976,aug_v2a.09061,aug_v2a.15414,aug_v2a.20787,aug_v2a.03790,aug_v2a.15208,aug_v2a.17049,aug_v2a.03992,aug_v2a.03777,aug_v2a.15206,aug_v2a.02155,aug_v2a.06273,aug_v2a.18246,aug_v2a.01043,aug_v2a.20744,aug_v2a.19564,aug_v2a.12336,aug_v2a.01161,aug_v2a.20934,aug_v2a.02560,aug_v2a.03726,aug_v2a.01138"
CC	GO:0097060	synaptic membrane	145/6111	0.00803239	"aug_v2a.01706,aug_v2a.01918,aug_v2a.19693,aug_v2a.05322,aug_v2a.14712,aug_v2a.08180,aug_v2a.11563,aug_v2a.10153,aug_v2a.02044,aug_v2a.11315,aug_v2a.01089,aug_v2a.01916,aug_v2a.02216,aug_v2a.16507,aug_v2a.04543,aug_v2a.05395,aug_v2a.13119,aug_v2a.15654,aug_v2a.07670,aug_v2a.02080,aug_v2a.03344,aug_v2a.01088,aug_v2a.20390,aug_v2a.13514,aug_v2a.16202,aug_v2a.01164,aug_v2a.09468,aug_v2a.18845,aug_v2a.07672,aug_v2a.07671,aug_v2a.08349,aug_v2a.19079,aug_v2a.01931,aug_v2a.10154,aug_v2a.22684,aug_v2a.13844,aug_v2a.23571,aug_v2a.06398,aug_v2a.03548,aug_v2a.23785,aug_v2a.02403,aug_v2a.01165,aug_v2a.07222,aug_v2a.08780,aug_v2a.13275,aug_v2a.15421,aug_v2a.16810,aug_v2a.16958,aug_v2a.09850,aug_v2a.00193,aug_v2a.08838,aug_v2a.24066,aug_v2a.10322,aug_v2a.11999,aug_v2a.00972,aug_v2a.10015,aug_v2a.02040,aug_v2a.21425,aug_v2a.01294,aug_v2a.07932,aug_v2a.18027,aug_v2a.05152,aug_v2a.09151,aug_v2a.22938,aug_v2a.02832,aug_v2a.13302,aug_v2a.06475,aug_v2a.01264,aug_v2a.15331,aug_v2a.18585,aug_v2a.15503,aug_v2a.15028,aug_v2a.14637,aug_v2a.01055,aug_v2a.18634,aug_v2a.11069,aug_v2a.03993,aug_v2a.00844,aug_v2a.06015,aug_v2a.02350,aug_v2a.10823,aug_v2a.07626,aug_v2a.05250,aug_v2a.17376,aug_v2a.02942,aug_v2a.08100,aug_v2a.11422,aug_v2a.21482,aug_v2a.16855,aug_v2a.09160,aug_v2a.13400,aug_v2a.20886,aug_v2a.01753,aug_v2a.08485,aug_v2a.20596,aug_v2a.04989,aug_v2a.15170,aug_v2a.01163,aug_v2a.03920,aug_v2a.18714,aug_v2a.13439,aug_v2a.04604,aug_v2a.15685,aug_v2a.15790,aug_v2a.09298,aug_v2a.07572,aug_v2a.05371,aug_v2a.12718,aug_v2a.12000,aug_v2a.08987,aug_v2a.00048,aug_v2a.18713,aug_v2a.01464,aug_v2a.18584,aug_v2a.14524,aug_v2a.09851,aug_v2a.10355,aug_v2a.08348,aug_v2a.12476,aug_v2a.07573,aug_v2a.02193,aug_v2a.02083,aug_v2a.09849,aug_v2a.10849,aug_v2a.04276,aug_v2a.22133,aug_v2a.20976,aug_v2a.20787,aug_v2a.08781,aug_v2a.17049,aug_v2a.19862,aug_v2a.03992,aug_v2a.02155,aug_v2a.14484,aug_v2a.16506,aug_v2a.01043,aug_v2a.15247,aug_v2a.20744,aug_v2a.24099,aug_v2a.19564,aug_v2a.01917,aug_v2a.05560,aug_v2a.01161,aug_v2a.20934,aug_v2a.01138"
CC	GO:0045211	postsynaptic membrane	116/6111	0.012414979	"aug_v2a.01706,aug_v2a.01918,aug_v2a.19693,aug_v2a.05322,aug_v2a.14712,aug_v2a.11563,aug_v2a.10153,aug_v2a.02044,aug_v2a.11315,aug_v2a.01089,aug_v2a.01916,aug_v2a.02216,aug_v2a.16507,aug_v2a.04543,aug_v2a.05395,aug_v2a.13119,aug_v2a.15654,aug_v2a.07670,aug_v2a.01088,aug_v2a.01164,aug_v2a.18845,aug_v2a.07672,aug_v2a.07671,aug_v2a.08349,aug_v2a.19079,aug_v2a.01931,aug_v2a.10154,aug_v2a.22684,aug_v2a.13844,aug_v2a.23571,aug_v2a.02403,aug_v2a.01165,aug_v2a.07222,aug_v2a.08780,aug_v2a.13275,aug_v2a.15421,aug_v2a.09850,aug_v2a.00193,aug_v2a.08838,aug_v2a.10322,aug_v2a.11999,aug_v2a.00972,aug_v2a.02040,aug_v2a.21425,aug_v2a.01294,aug_v2a.18027,aug_v2a.09151,aug_v2a.02832,aug_v2a.13302,aug_v2a.06475,aug_v2a.01264,aug_v2a.15028,aug_v2a.14637,aug_v2a.01055,aug_v2a.18634,aug_v2a.11069,aug_v2a.03993,aug_v2a.00844,aug_v2a.06015,aug_v2a.02350,aug_v2a.10823,aug_v2a.05250,aug_v2a.17376,aug_v2a.02942,aug_v2a.08100,aug_v2a.11422,aug_v2a.21482,aug_v2a.16855,aug_v2a.13400,aug_v2a.01753,aug_v2a.20596,aug_v2a.04989,aug_v2a.15170,aug_v2a.01163,aug_v2a.03920,aug_v2a.18714,aug_v2a.13439,aug_v2a.15685,aug_v2a.15790,aug_v2a.09298,aug_v2a.07572,aug_v2a.05371,aug_v2a.12718,aug_v2a.12000,aug_v2a.08987,aug_v2a.00048,aug_v2a.18713,aug_v2a.18584,aug_v2a.14524,aug_v2a.09851,aug_v2a.10355,aug_v2a.08348,aug_v2a.12476,aug_v2a.07573,aug_v2a.02193,aug_v2a.09849,aug_v2a.10849,aug_v2a.04276,aug_v2a.22133,aug_v2a.20976,aug_v2a.20787,aug_v2a.08781,aug_v2a.17049,aug_v2a.19862,aug_v2a.03992,aug_v2a.14484,aug_v2a.16506,aug_v2a.15247,aug_v2a.20744,aug_v2a.24099,aug_v2a.19564,aug_v2a.01917,aug_v2a.05560,aug_v2a.01161,aug_v2a.20934,aug_v2a.01138"
CC	GO:0008305	integrin complex	12/6111	0.016395502	"aug_v2a.21102,aug_v2a.21105,aug_v2a.15166,aug_v2a.23575,aug_v2a.17391,aug_v2a.19931,aug_v2a.16512,aug_v2a.12020,aug_v2a.14802,aug_v2a.09694,aug_v2a.23828,aug_v2a.06132"
CC	GO:0098636	protein complex involved in cell adhesion	12/6111	0.016395502	"aug_v2a.21102,aug_v2a.21105,aug_v2a.15166,aug_v2a.23575,aug_v2a.17391,aug_v2a.19931,aug_v2a.16512,aug_v2a.12020,aug_v2a.14802,aug_v2a.09694,aug_v2a.23828,aug_v2a.06132"
CC	GO:0034705	potassium channel complex	51/6111	0.018639651	"aug_v2a.05909,aug_v2a.07579,aug_v2a.09355,aug_v2a.17017,aug_v2a.23498,aug_v2a.06270,aug_v2a.13514,aug_v2a.10787,aug_v2a.10154,aug_v2a.15699,aug_v2a.15046,aug_v2a.21587,aug_v2a.04116,aug_v2a.05152,aug_v2a.15067,aug_v2a.01286,aug_v2a.07048,aug_v2a.18585,aug_v2a.02140,aug_v2a.12799,aug_v2a.04614,aug_v2a.15068,aug_v2a.12829,aug_v2a.01216,aug_v2a.00841,aug_v2a.12798,aug_v2a.01753,aug_v2a.08485,aug_v2a.05371,aug_v2a.13609,aug_v2a.01464,aug_v2a.24346,aug_v2a.16448,aug_v2a.02193,aug_v2a.12761,aug_v2a.18091,aug_v2a.03968,aug_v2a.15698,aug_v2a.12358,aug_v2a.05626,aug_v2a.03017,aug_v2a.19741,aug_v2a.05908,aug_v2a.15208,aug_v2a.15206,aug_v2a.02155,aug_v2a.06273,aug_v2a.18246,aug_v2a.01043,aug_v2a.20934,aug_v2a.02560"
CC	GO:0008076	voltage-gated potassium channel complex	50/6111	0.025064638	"aug_v2a.05909,aug_v2a.07579,aug_v2a.09355,aug_v2a.17017,aug_v2a.23498,aug_v2a.06270,aug_v2a.13514,aug_v2a.10787,aug_v2a.15699,aug_v2a.15046,aug_v2a.21587,aug_v2a.04116,aug_v2a.05152,aug_v2a.15067,aug_v2a.01286,aug_v2a.07048,aug_v2a.18585,aug_v2a.02140,aug_v2a.12799,aug_v2a.04614,aug_v2a.15068,aug_v2a.12829,aug_v2a.01216,aug_v2a.00841,aug_v2a.12798,aug_v2a.01753,aug_v2a.08485,aug_v2a.05371,aug_v2a.13609,aug_v2a.01464,aug_v2a.24346,aug_v2a.16448,aug_v2a.02193,aug_v2a.12761,aug_v2a.18091,aug_v2a.03968,aug_v2a.15698,aug_v2a.12358,aug_v2a.05626,aug_v2a.03017,aug_v2a.19741,aug_v2a.05908,aug_v2a.15208,aug_v2a.15206,aug_v2a.02155,aug_v2a.06273,aug_v2a.18246,aug_v2a.01043,aug_v2a.20934,aug_v2a.02560"
