ID	logFC	adj.P.Val
aug_v2a.16259	-1.197059503	0.006357559
aug_v2a.10489	-0.978551968	0.025159892
aug_v2a.04537	-0.693691244	0.048019556
aug_v2a.15385	-0.573206856	0.007541163
aug_v2a.23649	-0.464644117	0.019399126
aug_v2a.12331	-0.418780069	0.027604296
aug_v2a.05999	-0.462010175	0.005099914
aug_v2a.18455	-0.317491955	0.002756854
aug_v2a.05541	0.230792277	0.01204201
aug_v2a.07345	0.235086326	0.027298563
aug_v2a.09098	0.23441461	0.047640105
aug_v2a.03796	0.362657338	0.011410096
aug_v2a.13869	0.348547701	0.025014565
aug_v2a.17693	0.272466454	0.035347486
aug_v2a.22717	0.321050578	0.018582102
aug_v2a.18550	0.477450984	0.045666893
aug_v2a.10634	0.490334522	0.04935563
aug_v2a.06543	0.530407103	0.038174628
aug_v2a.18018	0.589673364	0.034904853
aug_v2a.24164	1.254220119	0.011292298
aug_v2a.19765	0.853031173	0.047125766
aug_v2a.19932	0.996287635	0.038074883
aug_v2a.01580	0.960324253	0.024627773
aug_v2a.03891	1.31927428	0.002012346
aug_v2a.10681	0.935405463	0.038903054
aug_v2a.21065	0.984104453	0.008453068
aug_v2a.04914	0.64199472	0.032566743
aug_v2a.13851	0.578024684	0.044228405
aug_v2a.01377	0.619939112	0.035425057
aug_v2a.15468	0.511940821	0.026545093
aug_v2a.22025	0.830923339	0.004164702
aug_v2a.16955	0.748947034	0.00971388
aug_v2a.09074	0.829371339	0.01019389
aug_v2a.00936	0.698153207	0.004862266
aug_v2a.07605	0.496378688	0.026260934
aug_v2a.15235	0.625907333	0.0382293
aug_v2a.14327	0.632993806	0.020008852
aug_v2a.18804	0.521369604	0.025895716
aug_v2a.09021	0.490342472	0.047264426
aug_v2a.07528	0.446455598	0.00574081
aug_v2a.19153	0.551374561	0.022587057
aug_v2a.16261	0.53459222	0.007420753
aug_v2a.06526	0.455211694	0.045173673
aug_v2a.14800	0.472330078	0.001990992
aug_v2a.10371	0.456482681	0.035696564
aug_v2a.02461	0.322917483	0.004331907
aug_v2a.13985	0.267817922	0.040430226
aug_v2a.09507	0.325374818	0.036251442
aug_v2a.02629	-0.222458179	0.03721485
aug_v2a.18113	0.178862711	0.029331916
aug_v2a.14647	-0.313057172	0.009777673
aug_v2a.05245	-0.232455865	0.025895716
aug_v2a.17956	-0.270354943	0.020551752
aug_v2a.06216	-0.249176377	0.048705078
aug_v2a.18094	-0.275577215	0.048883741
aug_v2a.14849	-0.374497444	0.002171918
aug_v2a.16254	-0.44559211	0.002418808
aug_v2a.23657	-0.617408337	7.695E-05
aug_v2a.03169	-0.345395545	0.03830082
aug_v2a.00606	-0.35371243	0.037497104
aug_v2a.05442	-0.300344909	0.032004214
aug_v2a.19167	-0.248290253	0.044454616
aug_v2a.17604	-0.354339954	0.039124875
aug_v2a.02129	-0.854816981	2.89909E-07
aug_v2a.05078	-0.426711238	0.010725179
aug_v2a.00996	-0.648168449	4.38376E-05
aug_v2a.13681	-0.52432003	0.001763332
aug_v2a.10421	-0.259032692	0.046773034
aug_v2a.01463	-0.351058959	0.015489083
aug_v2a.21731	-0.403800769	0.045681758
aug_v2a.09549	-0.342866171	0.047527862
aug_v2a.03729	-0.394081954	0.029331916
aug_v2a.15668	-0.422990959	0.031406598
aug_v2a.11108	-0.309884408	0.049030623
aug_v2a.20638	-0.327771197	0.043324841
aug_v2a.17683	-0.433034539	0.038074883
aug_v2a.16018	-0.475274893	0.018023191
aug_v2a.04878	-0.405580995	0.044540978
aug_v2a.11963	-0.483229411	0.007905633
aug_v2a.08384	-0.297004217	0.047816442
aug_v2a.10931	-0.59613437	0.00154423
aug_v2a.06366	-0.397406826	0.028758181
aug_v2a.05125	-0.409826622	0.042279919
aug_v2a.18516	-0.509061095	0.00831928
aug_v2a.06485	-0.453611346	0.008202399
aug_v2a.07698	-0.52689751	0.041830294
aug_v2a.11948	-0.351847847	0.048675687
aug_v2a.12269	-0.441765866	0.01631109
aug_v2a.05504	-0.512641392	0.030682873
aug_v2a.01063	-0.402854966	0.042867928
aug_v2a.12222	-0.599283711	0.005893486
aug_v2a.07242	-0.828235951	0.000357112
aug_v2a.06865	-0.753071162	2.17191E-05
aug_v2a.16836	-0.311537072	0.047932241
aug_v2a.12627	-0.50686409	0.030278587
aug_v2a.21193	-0.685718481	4.48312E-05
aug_v2a.19207	-0.564211391	0.010182664
aug_v2a.18128	-0.553663887	8.20154E-05
aug_v2a.21838	0.431077337	0.04604537
aug_v2a.24618	-0.593848964	0.018881916
aug_v2a.11301	-0.602915334	0.019950315
aug_v2a.15910	-0.419086486	0.009009283
aug_v2a.04654	-0.469342723	0.034266461
aug_v2a.16354	-0.799527872	0.005796957
aug_v2a.02144	-0.561063365	0.040387361
aug_v2a.00622	-0.400771885	0.048202219
aug_v2a.05722	-0.563655082	0.013326986
aug_v2a.05417	-0.50166171	0.019419937
aug_v2a.21057	-1.10142804	4.44036E-06
aug_v2a.21593	-0.521809739	0.021528787
aug_v2a.08855	-0.406298408	0.032657818
aug_v2a.05453	-0.581546249	0.032566743
aug_v2a.02656	-0.490074733	0.045393773
aug_v2a.11284	-0.693879487	0.0009242
aug_v2a.05691	-0.456031264	0.041816311
aug_v2a.04434	-0.589747515	0.005164513
aug_v2a.04500	-0.754835545	0.000463957
aug_v2a.10459	-0.76273417	0.045211178
aug_v2a.06301	-0.629536689	0.045435472
aug_v2a.08230	-0.44797296	0.011321551
aug_v2a.19687	-0.423183245	0.032979357
aug_v2a.00440	-1.188139	0.001142208
aug_v2a.15079	-0.910871133	0.007905633
aug_v2a.13716	-0.458051929	0.046175736
aug_v2a.16652	1.028715039	0.00538862
aug_v2a.23733	-0.814589994	0.011381671
aug_v2a.23915	-0.62953149	0.014971373
aug_v2a.08119	-0.808618581	0.007219323
aug_v2a.11637	-0.895387565	0.012429695
aug_v2a.21417	-0.564319748	0.040157492
aug_v2a.01415	-0.67297335	0.022941729
aug_v2a.11327	-0.665262114	0.000791834
aug_v2a.12819	1.206322706	0.000834067
aug_v2a.24670	-0.75343842	0.031950432
aug_v2a.12794	-0.827960336	0.000515114
aug_v2a.11019	-0.558302836	0.015250959
aug_v2a.14491	-1.068017119	0.004434913
aug_v2a.06380	-0.964651486	0.025824528
aug_v2a.15588	-1.081411657	0.022078958
aug_v2a.16730	-0.547230541	0.004228123
aug_v2a.15981	-1.283398955	5.90587E-09
aug_v2a.11816	1.520717836	0.000314039
aug_v2a.04220	-0.635513486	0.006294561
aug_v2a.13978	0.889873767	0.047424316
aug_v2a.08887	-0.903938911	2.44229E-09
aug_v2a.12639	-0.864160673	0.037975685
aug_v2a.18796	-0.46145664	0.025014565
aug_v2a.20794	-1.077949017	0.034829414
aug_v2a.05063	-0.961443909	0.0422343
aug_v2a.20323	-0.955898929	0.048019556
aug_v2a.14936	1.787307535	0.00852966
aug_v2a.22486	1.782887389	0.004827759
aug_v2a.03698	-1.871480292	8.32193E-31
aug_v2a.01645	1.621239434	0.001263266
aug_v2a.15399	-0.413348943	0.029523927
aug_v2a.07023	0.290507483	0.042224235
aug_v2a.04968	-0.524085563	0.024827334
aug_v2a.12427	-1.39084898	0.012336907
aug_v2a.21765	1.075180815	0.022121818
aug_v2a.10448	1.560217748	0.010182664
aug_v2a.23344	0.875240406	0.001715545
aug_v2a.15946	1.147118288	0.002268164
aug_v2a.10317	1.262017465	0.026614724
aug_v2a.08877	2.26634793	1.64751E-05
aug_v2a.03396	2.739995461	0.027717556
aug_v2a.15321	1.622461162	0.012047316
aug_v2a.08038	-1.371740298	0.027820148
aug_v2a.05528	1.355295057	0.02219629
aug_v2a.17176	-0.684515214	0.025824528
aug_v2a.05752	-0.823043019	0.015585264
aug_v2a.11667	2.2235508	0.000121689
aug_v2a.11668	1.824789364	3.93524E-05
aug_v2a.16651	1.687305748	3.93524E-05
aug_v2a.20075	1.31707375	0.00154423
aug_v2a.10138	0.320724911	0.041426994
aug_v2a.17643	1.006049671	0.021200307
aug_v2a.06645	2.040131305	0.03228301
aug_v2a.23394	0.666422985	0.003540897
aug_v2a.23261	3.087668079	0.025014565
aug_v2a.05887	-0.523841899	0.000356502
aug_v2a.03910	2.647187047	0.001027997
aug_v2a.04773	0.868359288	0.00199859
aug_v2a.15191	1.323260317	0.012789625
aug_v2a.24549	1.88617839	0.022896828
aug_v2a.13427	1.825486023	0.035349861
aug_v2a.21327	1.293120335	0.029166315
aug_v2a.23146	-0.803901263	0.036702227
aug_v2a.08417	-0.369913503	0.020068055
aug_v2a.24697	1.160530506	0.027706368
aug_v2a.03439	0.825341543	0.032605212
aug_v2a.22567	1.949021515	0.003836459
aug_v2a.22566	2.865249348	0.001345985
aug_v2a.16887	0.929738392	0.033673667
aug_v2a.01992	0.447954774	0.043805315
aug_v2a.16672	2.777140006	3.97292E-05
aug_v2a.01445	0.919099093	0.033071683
aug_v2a.18315	1.38956546	0.019098713
aug_v2a.10141	0.309995773	0.027408071
aug_v2a.15919	2.071788824	0.018723883
aug_v2a.01809	0.410249242	0.014378208
aug_v2a.15918	2.52109375	0.034457683
aug_v2a.17383	0.491784241	0.006204801
aug_v2a.10757	0.794903806	0.035838247
aug_v2a.18879	0.925856678	0.016106179
aug_v2a.02818	0.916683559	0.028122212
aug_v2a.05074	0.801594326	0.011292298
aug_v2a.12016	0.651412226	0.029195997
aug_v2a.14522	0.975308679	0.032657818
aug_v2a.09365	0.285270519	0.001843352
aug_v2a.09066	0.753538535	0.017562956
aug_v2a.24668	2.035796293	0.000139956
aug_v2a.06978	-0.302050438	0.047467784
aug_v2a.22946	0.679883191	0.042224235
aug_v2a.21194	-0.831545081	0.000766972
aug_v2a.14789	0.581196117	0.033406676
aug_v2a.04163	0.85718054	0.048102148
aug_v2a.19051	0.845076998	0.042561075
aug_v2a.13984	1.096144427	0.046649581
aug_v2a.14425	0.547299868	0.021388341
aug_v2a.22892	-0.403326376	0.033071683
aug_v2a.05542	-0.235791773	0.047932815
aug_v2a.05373	-0.760939235	0.0031714
aug_v2a.15934	1.052648815	0.011102916
aug_v2a.07151	1.218418142	0.00154423
aug_v2a.04789	0.401481687	0.040421622
aug_v2a.20851	1.022976921	0.000957545
aug_v2a.17229	1.231143317	0.002693158
aug_v2a.18545	1.491056675	0.001280553
aug_v2a.02972	0.700923249	0.031946783
aug_v2a.09888	0.504895648	0.029139438
aug_v2a.16151	1.127184744	0.001284526
aug_v2a.19989	0.590277534	0.012486971
aug_v2a.19690	-0.519701472	0.041064136
aug_v2a.01348	3.744550523	0.000628237
aug_v2a.18570	0.480783048	0.00968931
aug_v2a.04222	1.070059905	0.030278587
aug_v2a.06138	0.415604191	0.022896828
aug_v2a.15192	1.702932342	0.003111062
aug_v2a.17478	2.763215912	0.032959286
aug_v2a.19279	1.585831476	9.62032E-05
aug_v2a.09380	0.795983285	0.016158295
aug_v2a.04710	1.173478778	0.031433467
aug_v2a.14336	0.976979748	0.019399126
aug_v2a.15598	2.240664931	9.10811E-05
aug_v2a.15596	2.581478896	3.05973E-05
aug_v2a.10680	-0.503972122	0.032657818
aug_v2a.14982	-0.381126758	0.040640266
aug_v2a.02429	1.411442597	0.008114765
aug_v2a.03342	1.23003409	0.015108918
aug_v2a.23094	1.554335417	0.011426764
aug_v2a.10948	0.887826227	0.032218342
aug_v2a.14894	1.208319855	0.044947749
aug_v2a.17464	2.644639624	0.047409766
aug_v2a.05200	-0.696379862	0.000252996
aug_v2a.18501	0.417994672	0.009560086
aug_v2a.02435	0.363345607	0.00766254
aug_v2a.17468	-0.564321418	0.035990401
aug_v2a.02427	0.302345258	0.04088739
aug_v2a.17235	0.597711677	0.005964849
aug_v2a.07786	1.036447445	0.002642377
aug_v2a.08752	0.454476479	0.025157487
aug_v2a.08696	-0.543481815	0.041996439
aug_v2a.04928	1.052844282	0.042537821
aug_v2a.21009	2.075267673	0.04502094
aug_v2a.19872	0.399302206	0.048745544
aug_v2a.03159	0.733404606	0.045324474
aug_v2a.02440	-0.590816965	0.003412818
aug_v2a.06442	-1.222457517	0.03781507
aug_v2a.23313	0.33530766	0.045232348
aug_v2a.11641	0.587818489	0.023807124
aug_v2a.09424	0.76860997	0.048069349
aug_v2a.16715	-0.538216748	0.006240494
aug_v2a.17115	1.298726181	0.027809812
aug_v2a.21159	-0.548445158	0.005964849
aug_v2a.10685	0.836114172	0.038074883
aug_v2a.13199	0.94800098	0.008462958
aug_v2a.08235	1.271669573	0.001267336
aug_v2a.00264	1.401753491	0.001565542
aug_v2a.03421	-1.02815079	0.043288219
aug_v2a.08975	0.473454883	0.047424316
aug_v2a.15756	2.344837373	0.008754879
aug_v2a.17777	2.409393214	0.00318496
