category	ID	term	count	genes	logFC	adj_pval	zscore
CC	GO:0070852	cell body fiber	10	AUG_V2A.06645	2.040131305	5.505845406	3.16227766
CC	GO:0070852	cell body fiber	10	AUG_V2A.15191	1.323260317	5.505845406	3.16227766
CC	GO:0070852	cell body fiber	10	AUG_V2A.24549	1.88617839	5.505845406	3.16227766
CC	GO:0070852	cell body fiber	10	AUG_V2A.13427	1.825486023	5.505845406	3.16227766
CC	GO:0070852	cell body fiber	10	AUG_V2A.15192	1.702932342	5.505845406	3.16227766
CC	GO:0070852	cell body fiber	10	AUG_V2A.17478	2.763215912	5.505845406	3.16227766
CC	GO:0070852	cell body fiber	10	AUG_V2A.02429	1.411442597	5.505845406	3.16227766
CC	GO:0070852	cell body fiber	10	AUG_V2A.03342	1.23003409	5.505845406	3.16227766
CC	GO:0070852	cell body fiber	10	AUG_V2A.23094	1.554335417	5.505845406	3.16227766
CC	GO:0070852	cell body fiber	10	AUG_V2A.10948	0.887826227	5.505845406	3.16227766
BP	GO:0090084	negative regulation of inclusion body assembly	10	AUG_V2A.06645	2.040131305	4.4225082	3.16227766
BP	GO:0090084	negative regulation of inclusion body assembly	10	AUG_V2A.15191	1.323260317	4.4225082	3.16227766
BP	GO:0090084	negative regulation of inclusion body assembly	10	AUG_V2A.24549	1.88617839	4.4225082	3.16227766
BP	GO:0090084	negative regulation of inclusion body assembly	10	AUG_V2A.13427	1.825486023	4.4225082	3.16227766
BP	GO:0090084	negative regulation of inclusion body assembly	10	AUG_V2A.15192	1.702932342	4.4225082	3.16227766
BP	GO:0090084	negative regulation of inclusion body assembly	10	AUG_V2A.17478	2.763215912	4.4225082	3.16227766
BP	GO:0090084	negative regulation of inclusion body assembly	10	AUG_V2A.02429	1.411442597	4.4225082	3.16227766
BP	GO:0090084	negative regulation of inclusion body assembly	10	AUG_V2A.03342	1.23003409	4.4225082	3.16227766
BP	GO:0090084	negative regulation of inclusion body assembly	10	AUG_V2A.23094	1.554335417	4.4225082	3.16227766
BP	GO:0090084	negative regulation of inclusion body assembly	10	AUG_V2A.10948	0.887826227	4.4225082	3.16227766
BP	GO:0090083	regulation of inclusion body assembly	10	AUG_V2A.06645	2.040131305	4.233587153	3.16227766
BP	GO:0090083	regulation of inclusion body assembly	10	AUG_V2A.15191	1.323260317	4.233587153	3.16227766
BP	GO:0090083	regulation of inclusion body assembly	10	AUG_V2A.24549	1.88617839	4.233587153	3.16227766
BP	GO:0090083	regulation of inclusion body assembly	10	AUG_V2A.13427	1.825486023	4.233587153	3.16227766
BP	GO:0090083	regulation of inclusion body assembly	10	AUG_V2A.15192	1.702932342	4.233587153	3.16227766
BP	GO:0090083	regulation of inclusion body assembly	10	AUG_V2A.17478	2.763215912	4.233587153	3.16227766
BP	GO:0090083	regulation of inclusion body assembly	10	AUG_V2A.02429	1.411442597	4.233587153	3.16227766
BP	GO:0090083	regulation of inclusion body assembly	10	AUG_V2A.03342	1.23003409	4.233587153	3.16227766
BP	GO:0090083	regulation of inclusion body assembly	10	AUG_V2A.23094	1.554335417	4.233587153	3.16227766
BP	GO:0090083	regulation of inclusion body assembly	10	AUG_V2A.10948	0.887826227	4.233587153	3.16227766
BP	GO:0070841	inclusion body assembly	10	AUG_V2A.06645	2.040131305	3.845290041	3.16227766
BP	GO:0070841	inclusion body assembly	10	AUG_V2A.15191	1.323260317	3.845290041	3.16227766
BP	GO:0070841	inclusion body assembly	10	AUG_V2A.24549	1.88617839	3.845290041	3.16227766
BP	GO:0070841	inclusion body assembly	10	AUG_V2A.13427	1.825486023	3.845290041	3.16227766
BP	GO:0070841	inclusion body assembly	10	AUG_V2A.15192	1.702932342	3.845290041	3.16227766
BP	GO:0070841	inclusion body assembly	10	AUG_V2A.17478	2.763215912	3.845290041	3.16227766
BP	GO:0070841	inclusion body assembly	10	AUG_V2A.02429	1.411442597	3.845290041	3.16227766
BP	GO:0070841	inclusion body assembly	10	AUG_V2A.03342	1.23003409	3.845290041	3.16227766
BP	GO:0070841	inclusion body assembly	10	AUG_V2A.23094	1.554335417	3.845290041	3.16227766
BP	GO:0070841	inclusion body assembly	10	AUG_V2A.10948	0.887826227	3.845290041	3.16227766
MF	GO:0051087	chaperone binding	13	AUG_V2A.21065	0.984104453	3.695106816	3.605551275
MF	GO:0051087	chaperone binding	13	AUG_V2A.06645	2.040131305	3.695106816	3.605551275
MF	GO:0051087	chaperone binding	13	AUG_V2A.15191	1.323260317	3.695106816	3.605551275
MF	GO:0051087	chaperone binding	13	AUG_V2A.24549	1.88617839	3.695106816	3.605551275
MF	GO:0051087	chaperone binding	13	AUG_V2A.13427	1.825486023	3.695106816	3.605551275
MF	GO:0051087	chaperone binding	13	AUG_V2A.16887	0.929738392	3.695106816	3.605551275
MF	GO:0051087	chaperone binding	13	AUG_V2A.15192	1.702932342	3.695106816	3.605551275
MF	GO:0051087	chaperone binding	13	AUG_V2A.17478	2.763215912	3.695106816	3.605551275
MF	GO:0051087	chaperone binding	13	AUG_V2A.02429	1.411442597	3.695106816	3.605551275
MF	GO:0051087	chaperone binding	13	AUG_V2A.03342	1.23003409	3.695106816	3.605551275
MF	GO:0051087	chaperone binding	13	AUG_V2A.23094	1.554335417	3.695106816	3.605551275
MF	GO:0051087	chaperone binding	13	AUG_V2A.10948	0.887826227	3.695106816	3.605551275
MF	GO:0051087	chaperone binding	13	AUG_V2A.01886	0.684972386	3.695106816	3.605551275
MF	GO:0070628	proteasome binding	10	AUG_V2A.06645	2.040131305	3.695106816	3.16227766
MF	GO:0070628	proteasome binding	10	AUG_V2A.15191	1.323260317	3.695106816	3.16227766
MF	GO:0070628	proteasome binding	10	AUG_V2A.24549	1.88617839	3.695106816	3.16227766
MF	GO:0070628	proteasome binding	10	AUG_V2A.13427	1.825486023	3.695106816	3.16227766
MF	GO:0070628	proteasome binding	10	AUG_V2A.15192	1.702932342	3.695106816	3.16227766
MF	GO:0070628	proteasome binding	10	AUG_V2A.17478	2.763215912	3.695106816	3.16227766
MF	GO:0070628	proteasome binding	10	AUG_V2A.02429	1.411442597	3.695106816	3.16227766
MF	GO:0070628	proteasome binding	10	AUG_V2A.03342	1.23003409	3.695106816	3.16227766
MF	GO:0070628	proteasome binding	10	AUG_V2A.23094	1.554335417	3.695106816	3.16227766
MF	GO:0070628	proteasome binding	10	AUG_V2A.10948	0.887826227	3.695106816	3.16227766
CC	GO:0035631	CD40 receptor complex	10	AUG_V2A.13869	0.348547701	3.582163088	2.529822128
CC	GO:0035631	CD40 receptor complex	10	AUG_V2A.15668	-0.422990959	3.582163088	2.529822128
CC	GO:0035631	CD40 receptor complex	10	AUG_V2A.00435	1.45633269	3.582163088	2.529822128
CC	GO:0035631	CD40 receptor complex	10	AUG_V2A.03753	2.154081298	3.582163088	2.529822128
CC	GO:0035631	CD40 receptor complex	10	AUG_V2A.19929	2.223767407	3.582163088	2.529822128
CC	GO:0035631	CD40 receptor complex	10	AUG_V2A.13867	0.553481076	3.582163088	2.529822128
