CL.1d	CL.3d	AH.1d	AH.3d	CH.1d	CH.3d	Met	M21	M12	M13	M14	M15	M24	M25
aug_v2a.05830	aug_v2a.16049	aug_v2a.05830	aug_v2a.05830	aug_v2a.08813	aug_v2a.19379	aug_v2a.06593	aug_v2a.19379	aug_v2a.04719	aug_v2a.04564	aug_v2a.05830	aug_v2a.00389	aug_v2a.17623	aug_v2a.05454
aug_v2a.04564	aug_v2a.03564	aug_v2a.00378	aug_v2a.00378	aug_v2a.22472	aug_v2a.07894	aug_v2a.03117	aug_v2a.22472	aug_v2a.20036	aug_v2a.20974	aug_v2a.17338	aug_v2a.02262	aug_v2a.12157	aug_v2a.21389
aug_v2a.20974	aug_v2a.19379	aug_v2a.09798	aug_v2a.05454	aug_v2a.06154	aug_v2a.21057	aug_v2a.15064	aug_v2a.05892	aug_v2a.03392	aug_v2a.06824	aug_v2a.08698	aug_v2a.19171	aug_v2a.05030	aug_v2a.01536
aug_v2a.08504	aug_v2a.17916	aug_v2a.17040	aug_v2a.20974	aug_v2a.05892	aug_v2a.03982	aug_v2a.18631	aug_v2a.16979	aug_v2a.06886	aug_v2a.08504	aug_v2a.20600	aug_v2a.19133	aug_v2a.10328	aug_v2a.07091
aug_v2a.21965	aug_v2a.20671	aug_v2a.22764	aug_v2a.11200	aug_v2a.17559	aug_v2a.11740	aug_v2a.04432	aug_v2a.00896	aug_v2a.21690	aug_v2a.17128	aug_v2a.01430	aug_v2a.05835	aug_v2a.13807	aug_v2a.12537
aug_v2a.11200	aug_v2a.01430	aug_v2a.07657	aug_v2a.05802	aug_v2a.17226	aug_v2a.03150	aug_v2a.02866	aug_v2a.14188	aug_v2a.21859	aug_v2a.12178	aug_v2a.13246	aug_v2a.18493	aug_v2a.16790	aug_v2a.14252
aug_v2a.05802	aug_v2a.19335	aug_v2a.21965	aug_v2a.19379	aug_v2a.17701	aug_v2a.06228	aug_v2a.23104	aug_v2a.10547	aug_v2a.10867	aug_v2a.07668	aug_v2a.15468	aug_v2a.18494	aug_v2a.06761	aug_v2a.17824
aug_v2a.08021	aug_v2a.18280	aug_v2a.11200	aug_v2a.19305	aug_v2a.04808	aug_v2a.14980	aug_v2a.03955	aug_v2a.15748	aug_v2a.20002	aug_v2a.13247	aug_v2a.24546	aug_v2a.13824	aug_v2a.08950	aug_v2a.24322
aug_v2a.08022	aug_v2a.01992	aug_v2a.05802	aug_v2a.17916	aug_v2a.07136	aug_v2a.02416	aug_v2a.18430	aug_v2a.23093	aug_v2a.24014	aug_v2a.20833	aug_v2a.14008	aug_v2a.23354	aug_v2a.24589	aug_v2a.18664
aug_v2a.22697	aug_v2a.08728	aug_v2a.19379	aug_v2a.08813	aug_v2a.03931	aug_v2a.00365	aug_v2a.11251	aug_v2a.22236	aug_v2a.24595	aug_v2a.05450	aug_v2a.18009	aug_v2a.13104	aug_v2a.08693	aug_v2a.24110
aug_v2a.02838	aug_v2a.13058	aug_v2a.08022	aug_v2a.14402	aug_v2a.17194	aug_v2a.16362	aug_v2a.15777	aug_v2a.21943	aug_v2a.01477	aug_v2a.18251	aug_v2a.10111	aug_v2a.18013	aug_v2a.02817	aug_v2a.13710
aug_v2a.10779	aug_v2a.11362	aug_v2a.19306	aug_v2a.08698	aug_v2a.18019	aug_v2a.21013	aug_v2a.18313	aug_v2a.22167	aug_v2a.12334	aug_v2a.12316	aug_v2a.08633	aug_v2a.11080	aug_v2a.21583	aug_v2a.02572
aug_v2a.09357	aug_v2a.06696	aug_v2a.19305	aug_v2a.20600	aug_v2a.22999	aug_v2a.07840	aug_v2a.10028	aug_v2a.09904	aug_v2a.08952	aug_v2a.10425	aug_v2a.09190	aug_v2a.19313	aug_v2a.15716	aug_v2a.22360
aug_v2a.13247	aug_v2a.14647	aug_v2a.22697	aug_v2a.09437	aug_v2a.07231	aug_v2a.03817	aug_v2a.19200	aug_v2a.14746	aug_v2a.12447	aug_v2a.19556	aug_v2a.22775	aug_v2a.04467	aug_v2a.21811	aug_v2a.04141
aug_v2a.05450	aug_v2a.13799	aug_v2a.17916	aug_v2a.01430	aug_v2a.11629	aug_v2a.14630	aug_v2a.15077	aug_v2a.02073	aug_v2a.13210	aug_v2a.14402	aug_v2a.15232	aug_v2a.00458	aug_v2a.02480	aug_v2a.01689
aug_v2a.08218	aug_v2a.14594	aug_v2a.08813	aug_v2a.18756	aug_v2a.17193	aug_v2a.03847	aug_v2a.11502	aug_v2a.17479	aug_v2a.14076	aug_v2a.22617	aug_v2a.20185	aug_v2a.00314	aug_v2a.11115	aug_v2a.14177
aug_v2a.00796	aug_v2a.03197	aug_v2a.09408	aug_v2a.07645	aug_v2a.18302	aug_v2a.11353	aug_v2a.20113	aug_v2a.20027	aug_v2a.14807	aug_v2a.08897	aug_v2a.21889	aug_v2a.03524	aug_v2a.09206	aug_v2a.01212
aug_v2a.08107	aug_v2a.06144	aug_v2a.10779	aug_v2a.00828	aug_v2a.09832	aug_v2a.07455	aug_v2a.10648	aug_v2a.22689	aug_v2a.03979	aug_v2a.09780	aug_v2a.00543	aug_v2a.13683	aug_v2a.17011	aug_v2a.08184
