SH.1d	SH.3d	AH.1d	AH.3d	SC.1d	SC.3d	Met
aug_v2a.08967	aug_v2a.07894	aug_v2a.08967	aug_v2a.08967	aug_v2a.00993	aug_v2a.16259	aug_v2a.15065
aug_v2a.03233	aug_v2a.04696	aug_v2a.03233	aug_v2a.11752	aug_v2a.01394	aug_v2a.10489	aug_v2a.03117
aug_v2a.11752	aug_v2a.16261	aug_v2a.17022	aug_v2a.08911	aug_v2a.01426	aug_v2a.04537	aug_v2a.18631
aug_v2a.17022	aug_v2a.21593	aug_v2a.16259	aug_v2a.19414	aug_v2a.04903	aug_v2a.15385	aug_v2a.15064
aug_v2a.16259	aug_v2a.03982	aug_v2a.20475	aug_v2a.08476	aug_v2a.10627	aug_v2a.23649	aug_v2a.06593
aug_v2a.20475	aug_v2a.20323	aug_v2a.15287	aug_v2a.20573	aug_v2a.15385	aug_v2a.12331	aug_v2a.09881
aug_v2a.15287	aug_v2a.10680	aug_v2a.06038	aug_v2a.17722	aug_v2a.23649	aug_v2a.05999	aug_v2a.02866
aug_v2a.06038	aug_v2a.07091	aug_v2a.22921	aug_v2a.10627	aug_v2a.17631	aug_v2a.18455	aug_v2a.18489
aug_v2a.22921	aug_v2a.02416	aug_v2a.10489	aug_v2a.14104	aug_v2a.23510	aug_v2a.05541	aug_v2a.20352
aug_v2a.10489	aug_v2a.16362	aug_v2a.13992	aug_v2a.15385	aug_v2a.02893	aug_v2a.07345	aug_v2a.03118
aug_v2a.13992	aug_v2a.11072	aug_v2a.08911	aug_v2a.01315	aug_v2a.12839	aug_v2a.09098	aug_v2a.23104
aug_v2a.08911	aug_v2a.21013	aug_v2a.01229	aug_v2a.12331	aug_v2a.07409	aug_v2a.03796	aug_v2a.03566
aug_v2a.01229	aug_v2a.15940	aug_v2a.18019	aug_v2a.07409	aug_v2a.21763	aug_v2a.13869	aug_v2a.01610
aug_v2a.18019	aug_v2a.06802	aug_v2a.05530	aug_v2a.14756	aug_v2a.05999	aug_v2a.17693	aug_v2a.09226
aug_v2a.05530	aug_v2a.08917	aug_v2a.18883	aug_v2a.07488	aug_v2a.14698	aug_v2a.22717	aug_v2a.12458
aug_v2a.18883	aug_v2a.08977	aug_v2a.22371	aug_v2a.21763	aug_v2a.04808	aug_v2a.18550	aug_v2a.23732
aug_v2a.22371	aug_v2a.15198	aug_v2a.23779	aug_v2a.11487	aug_v2a.18455	aug_v2a.10634	aug_v2a.04598
aug_v2a.23779	aug_v2a.07840	aug_v2a.08509	aug_v2a.12850	aug_v2a.11727	aug_v2a.06543	aug_v2a.17975
aug_v2a.08509	aug_v2a.11353	aug_v2a.17226	aug_v2a.14451	aug_v2a.04043	aug_v2a.18018	aug_v2a.04432
aug_v2a.17226	aug_v2a.23377	aug_v2a.14468	aug_v2a.16851	aug_v2a.08670	aug_v2a.24164	aug_v2a.18430
aug_v2a.14468	aug_v2a.01768	aug_v2a.08622	aug_v2a.05999	aug_v2a.07345	aug_v2a.19765	aug_v2a.03955
aug_v2a.08622	NA	aug_v2a.18348	aug_v2a.10975	aug_v2a.00700	aug_v2a.19932	aug_v2a.18065
