M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25
aug_v2a.01789	aug_v2a.19661	aug_v2a.05134	aug_v2a.06431	aug_v2a.15411	aug_v2a.00925	aug_v2a.17021	aug_v2a.05233	aug_v2a.12613	aug_v2a.04506	aug_v2a.14588	aug_v2a.14103	aug_v2a.06555	aug_v2a.03814	aug_v2a.13715	aug_v2a.04174	aug_v2a.00893	aug_v2a.08210	aug_v2a.21873	aug_v2a.17533	aug_v2a.09360	aug_v2a.00862	aug_v2a.19591	aug_v2a.20064	aug_v2a.09408
aug_v2a.20224	aug_v2a.08272	aug_v2a.18632	aug_v2a.21406	aug_v2a.12135	aug_v2a.05991	aug_v2a.12190	aug_v2a.07215	aug_v2a.09962	aug_v2a.11323	aug_v2a.10283	aug_v2a.17486	aug_v2a.02257	aug_v2a.00979	aug_v2a.00464	aug_v2a.05675	aug_v2a.12236	aug_v2a.08444	aug_v2a.11353	aug_v2a.09074	aug_v2a.05174	aug_v2a.05805	aug_v2a.19936	aug_v2a.04935	aug_v2a.20796
aug_v2a.14622	aug_v2a.02595	aug_v2a.06677	aug_v2a.05574	aug_v2a.15375	aug_v2a.07846	aug_v2a.12127	aug_v2a.06792	aug_v2a.07429	aug_v2a.08961	aug_v2a.07559	aug_v2a.08232	aug_v2a.02007	aug_v2a.09152	aug_v2a.16371	aug_v2a.20329	aug_v2a.16712	aug_v2a.08445	aug_v2a.04137	aug_v2a.02753	aug_v2a.08689	aug_v2a.22413	aug_v2a.10465	aug_v2a.06764	aug_v2a.04268
aug_v2a.21638	aug_v2a.10157	aug_v2a.21987	aug_v2a.02271	aug_v2a.02223	aug_v2a.11508	aug_v2a.07694	aug_v2a.20381	aug_v2a.17786	aug_v2a.09107	aug_v2a.12628	aug_v2a.23340	aug_v2a.00466	aug_v2a.24643	aug_v2a.03750	aug_v2a.10657	aug_v2a.09722	aug_v2a.24602	aug_v2a.16035	aug_v2a.08343	aug_v2a.18332	aug_v2a.21170	aug_v2a.18980	aug_v2a.08218	aug_v2a.08159
aug_v2a.07840	aug_v2a.18105	aug_v2a.19044	aug_v2a.13736	aug_v2a.02776	aug_v2a.22603	aug_v2a.01557	aug_v2a.10489	aug_v2a.07894	aug_v2a.09318	aug_v2a.23068	aug_v2a.23451	aug_v2a.07182	aug_v2a.21182	aug_v2a.17397	aug_v2a.01008	aug_v2a.18451	aug_v2a.10748	aug_v2a.17358	aug_v2a.08310	aug_v2a.10911	aug_v2a.01378	aug_v2a.00951	aug_v2a.15945	aug_v2a.07735
aug_v2a.08296	aug_v2a.14685	aug_v2a.04392	aug_v2a.20292	aug_v2a.16787	aug_v2a.10659	aug_v2a.11051	aug_v2a.10004	aug_v2a.17066	aug_v2a.07613	aug_v2a.07131	aug_v2a.18524	aug_v2a.07758	aug_v2a.04130	aug_v2a.03055	aug_v2a.06198	aug_v2a.16691	aug_v2a.17297	aug_v2a.16368	aug_v2a.03435	aug_v2a.02423	aug_v2a.21877	aug_v2a.19705	aug_v2a.00372	aug_v2a.09433
aug_v2a.23656	aug_v2a.13227	aug_v2a.17453	aug_v2a.21748	aug_v2a.15576	aug_v2a.14851	aug_v2a.22541	aug_v2a.21945	aug_v2a.20820	aug_v2a.23927	aug_v2a.02769	aug_v2a.17734	aug_v2a.09965	aug_v2a.16973	aug_v2a.09097	aug_v2a.22278	aug_v2a.21797	aug_v2a.09045	aug_v2a.01524	aug_v2a.06288	aug_v2a.22717	aug_v2a.17811	aug_v2a.03043	aug_v2a.09605	aug_v2a.02780
aug_v2a.17917	aug_v2a.16638	aug_v2a.00700	aug_v2a.00178	aug_v2a.09300	aug_v2a.07290	aug_v2a.10366	aug_v2a.23610	aug_v2a.11632	aug_v2a.12710	aug_v2a.20473	aug_v2a.02207	aug_v2a.18439	aug_v2a.22614	aug_v2a.09650	aug_v2a.05326	aug_v2a.16217	aug_v2a.20240	aug_v2a.10912	aug_v2a.00017	aug_v2a.16123	aug_v2a.04798	aug_v2a.06044	aug_v2a.23391	aug_v2a.10791
aug_v2a.19087	aug_v2a.08158	aug_v2a.15544	aug_v2a.15395	aug_v2a.11991	aug_v2a.04753	aug_v2a.20477	aug_v2a.17519	aug_v2a.20819	aug_v2a.19352	aug_v2a.10917	aug_v2a.07697	aug_v2a.00870	aug_v2a.07489	aug_v2a.01199	aug_v2a.05015	aug_v2a.04318	aug_v2a.13729	aug_v2a.14925	aug_v2a.19249	aug_v2a.03541	aug_v2a.16449	aug_v2a.01307	aug_v2a.17465	aug_v2a.17499
aug_v2a.05449	aug_v2a.04953	aug_v2a.14948	aug_v2a.20482	aug_v2a.11625	aug_v2a.09587	aug_v2a.12128	aug_v2a.20475	aug_v2a.20797	aug_v2a.01906	aug_v2a.18350	aug_v2a.13600	aug_v2a.02500	aug_v2a.06841	aug_v2a.15074	aug_v2a.17623	aug_v2a.06037	aug_v2a.02853	aug_v2a.06866	aug_v2a.00279	aug_v2a.23137	aug_v2a.00716	aug_v2a.05323	aug_v2a.09788	aug_v2a.05427
aug_v2a.09781	aug_v2a.10721	aug_v2a.15801	aug_v2a.24366	aug_v2a.17285	aug_v2a.03986	aug_v2a.05958	aug_v2a.13992	aug_v2a.22696	aug_v2a.16237	aug_v2a.19310	aug_v2a.18342	aug_v2a.15637	aug_v2a.14073	aug_v2a.15870	aug_v2a.07186	aug_v2a.21988	aug_v2a.08859	aug_v2a.05540	aug_v2a.00796	aug_v2a.05955	aug_v2a.03972	aug_v2a.10722	aug_v2a.21274	aug_v2a.17243
aug_v2a.22531	aug_v2a.01147	aug_v2a.03166	aug_v2a.24367	aug_v2a.10642	aug_v2a.23389	aug_v2a.13679	aug_v2a.10950	aug_v2a.06858	aug_v2a.24118	aug_v2a.12227	aug_v2a.20029	aug_v2a.01084	aug_v2a.07915	aug_v2a.19338	aug_v2a.02108	aug_v2a.09751	aug_v2a.23410	aug_v2a.01710	aug_v2a.08907	aug_v2a.17183	aug_v2a.18462	aug_v2a.16318	aug_v2a.21275	aug_v2a.06787
aug_v2a.14874	aug_v2a.03302	aug_v2a.01863	aug_v2a.17168	aug_v2a.20979	aug_v2a.17161	aug_v2a.13670	aug_v2a.10003	aug_v2a.05005	aug_v2a.23032	aug_v2a.03188	aug_v2a.03076	aug_v2a.18474	aug_v2a.24408	aug_v2a.18196	aug_v2a.02248	aug_v2a.11361	aug_v2a.05450	aug_v2a.19681	aug_v2a.20168	aug_v2a.01856	aug_v2a.14288	aug_v2a.02637	aug_v2a.05107	aug_v2a.15879
aug_v2a.13015	aug_v2a.18614	aug_v2a.11498	aug_v2a.12785	aug_v2a.22097	aug_v2a.04599	aug_v2a.13669	aug_v2a.23845	aug_v2a.00630	aug_v2a.11103	aug_v2a.06217	aug_v2a.16431	aug_v2a.02128	aug_v2a.20484	aug_v2a.18195	aug_v2a.18337	aug_v2a.22625	aug_v2a.20833	aug_v2a.21685	aug_v2a.00376	aug_v2a.14725	aug_v2a.19626	aug_v2a.19042	aug_v2a.01329	aug_v2a.21726
aug_v2a.16921	aug_v2a.10403	aug_v2a.07955	aug_v2a.19759	aug_v2a.10600	aug_v2a.21149	aug_v2a.02557	aug_v2a.19237	aug_v2a.04551	aug_v2a.14463	aug_v2a.08098	aug_v2a.09489	aug_v2a.11394	aug_v2a.08354	aug_v2a.02125	aug_v2a.20606	aug_v2a.17574	aug_v2a.23722	aug_v2a.07977	aug_v2a.10085	aug_v2a.17293	aug_v2a.23096	aug_v2a.12473	aug_v2a.24437	aug_v2a.02311
