M1	M2	M3	M4	M5	M6	M7	M8	M9	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25
K00061	K00103	K00106	K00827	K00149	K00472	K13161	K06236	K00231	K00008	K00006	K00011	K00327	K00485	K00030	K00670	K00326	K00142	K00128	K00140	K00232	K01415	K00088	K00106	K00738
K00109	K00714	K00814	K01011	K00387	K00654	K16857	K06236	K00253	K00020	K00019	K00011	K00412	K01205	K00461	K00750	K00773	K00264	K00548	K00314	K00327	K01530	K00166	K00297	K00914
K00234	K01115	K01392	K01077	K04705	K00728	NA	K06236	K00311	K00090	K00022	K00026	K00472	K01415	K00461	K05857	K00968	K00264	K01468	K00327	K00457	K03108	K00683	K00572	K01316
K00234	K01127	K01930	K01132	K06083	K00803	NA	K06236	K00311	K00121	K00025	K00026	K00472	K01466	K00911	K05955	K01081	K00288	K01648	K00461	K00457	K03452	K00710	K00710	K01411
K00234	K01148	K01969	K01135	K10446	K00819	NA	K06236	K00382	K00128	K00025	K00029	K00472	K01796	K00920	K06961	K01322	K00288	K01681	K00476	K00474	K04575	K00784	K00757	K01425
K00318	K01217	K02519	K01278	K10601	K00819	NA	K06236	K00789	K00128	K00029	K00049	K00699	K02084	K00939	K07478	K01711	K00289	K01681	K00504	K00485	K04615	K00914	K00758	K02156
K00408	K01267	K04439	K01302	K12741	K00888	NA	K06236	K01772	K00207	K00030	K00049	K00972	K02206	K00939	K07904	K01900	K00289	K01948	K00512	K00613	K04860	K00948	K00844	K02295
K00548	K01316	K05218	K01302	K12885	K01104	NA	K06237	K01772	K00207	K00030	K00049	K01016	K03253	K00995	K07955	K02150	K00315	K01952	K00526	K00659	K04863	K01081	K00901	K02577
K00710	K01360	K09497	K01349	K12898	K01136	NA	K06237	K01772	K00214	K00030	K00072	K01076	K03362	K01278	K08074	K02187	K00461	K02223	K00526	K00710	K04887	K01109	K01077	K02603
K00710	K01444	K10752	K01414	K14005	K01164	NA	K07964	K02259	K00274	K00030	K00235	K01080	K04392	K01278	K08343	K02208	K00471	K02540	K00597	K00750	K04946	K01242	K01277	K03023
K00742	K01493	K10771	K01415	K14005	K01179	NA	K09173	K02259	K00344	K00033	K00236	K01229	K04988	K01283	K08513	K02606	K00488	K02599	K00710	K00868	K04984	K01493	K01411	K03131
