CL.1d	CL.1d.exp	CL.3d	CL.3d.exp	AH.1d	AH.1d.exp	AH.3d	AH.3d.exp	CH.1d	CH.1d.exp	CH.3d	CH.3d.exp	Met	M12	M13	M14	M15	M21	M24	M25
K00008	-0.458577364	K00297	0.379583994	K00006	-0.754520553	K00006	-0.465578763	K00031	-0.260979837	K00234	-0.498681408	K05126	K07819	K11406	K10905	K08853	K01019	K00472	K00297
K00019	-0.501831591	K00314	0.799391836	K00008	-0.60651214	K00008	-0.373443351	K00327	-0.498116105	K00289	0.603208398	K09309	K15260	K05628	K15188	K03283	K11590	K00472	K00472
K00022	-0.25247527	K00387	-0.51536388	K00019	-0.78365645	K00019	-0.778144159	K00327	-0.418036373	K00382	-0.411435688	K14616	K14616	K18400	K17601	K08878	K12184	K00699	K00546
K00025	-0.429670925	K00457	0.349304472	K00020	-0.256460268	K00022	-0.241297014	K00461	-0.645412068	K00548	-0.63314239	K19906	K20825	K21245	K17601	K10645	K12035	K00699	K00573
K00025	-0.361244464	K00476	1.059689175	K00022	-0.28101078	K00025	-0.686681721	K00485	-0.555736366	K00831	-0.83773072	K09206	K06530	K20899	K17988	K10645	K06794	K01016	K00670
K00030	-0.315789837	K00485	0.284930783	K00025	-0.705354491	K00025	-0.672072892	K00597	-0.699113176	K01019	-0.633758182	K02375	K07595	K00744	K07497	K10144	K23847	K02159	K00746
K00030	-0.292608909	K00522	-0.429315444	K00025	-0.622150856	K00030	-0.380472337	K00613	-0.570058464	K01195	-1.335378157	K02375	K10153	K00710	K09637	K12311	K16600	K02187	K00750
K00034	-0.287297133	K00522	-0.415825478	K00029	-0.524355045	K00030	-0.376259496	K00657	0.696966913	K01332	-2.38741915	K10478	K08554	K18681	K06530	K08874	K20899	K02187	K00933
K00049	-0.558157804	K00645	-0.485300963	K00030	-0.446721807	K00030	-0.265547546	K00758	0.491791288	K01442	1.534791206	K19511	K08770	K18681	K08878	K08874	K01332	K02295	K01047
K00049	-0.555860331	K00657	-0.458095206	K00030	-0.31703251	K00034	-0.326646338	K00995	-0.576341127	K04448	-1.13980789	K12751	K09038	K18735	K12824	K02580	K22816	K03094	K01125
K00049	-0.490994349	K00728	-0.706505275	K00030	-0.236799973	K00049	-0.406501777	K01135	0.72826951	K05016	0.549536956	K09224	K03175	K18734	K11838	K09583	K14616	K03135	K01711
K00061	-0.625164729	K00831	0.369570878	K00030	0.410273513	K00072	-0.301547767	K01415	-1.013491967	K09537	-0.653164303	K22584	K02580	K15188	K22615	K03068	K16669	K03627	K01816
K00121	-0.429492607	K00901	0.336997714	K00031	0.259620704	K00106	-0.590052006	K01530	-0.707622299	K09848	1.083367514	K23554	K01432	K19513	K08576	K04600	K17658	K04307	K01897
K00207	-0.299318848	K00940	-0.33225872	K00033	-0.291587098	K00106	-0.522628685	K01530	-0.683645153	K10380	0.44513425	K01357	K22614	K10799	K18460	K11593	K05692	K04364	K01897
K00235	-0.360467422	K01019	0.409370402	K00034	-0.296732816	K00128	-0.282244113	K01719	-0.447742824	K11468	0.477147756	K01562	K20804	K14303	K18408	K12472	K10329	K04393	K03029
K00236	-0.649589579	K01047	-0.791255277	K00049	-0.477671988	K00207	-0.315483827	K01723	-0.885326318	K12493	-0.509341882	K23554	K14411	K11109	K14216	K16550	K09058	K04569	K03136
K00237	-0.547914377	K01047	-0.363610671	K00128	-0.721015289	K00232	0.220477041	K02105	0.444443077	K15013	-1.35566669	K08664	K10573	K10779	K22614	K04393	K03133	K04984	K03173
K00274	-0.308215636	K01050	-0.340160934	K00128	-0.425287181	K00234	0.328442687	K02183	-0.639629565	K16669	-0.892752855	K01562	K13912	K04728	K22614	K15369	K08702	K05236	K03654
K00286	-0.484194511	K01127	-0.531859486	K00128	-0.252104968	K00234	0.423333557	K02583	-0.731507292	K17276	-1.658530106	K22038	K03644	K11427	K22614	K18024	K18055	K06560	K03691
K00289	0.521548853	K01135	-0.321265335	K00142	0.34238025	K00237	-0.487869621	K02867	0.861584038	K20462	-0.509629162	K13116	K12348	K10626	K22614	K18024	K08026	K06711	K03691
K00289	0.588289861	K01135	-0.287827968	K00207	-0.444704542	K00286	-0.397226545	K02879	0.865098669	K20703	-0.504701263	K19511	K17603	K10626	K14289	NA	K14408	K07189	K03881
K00306	-0.502059153	K01137	-0.545052649	K00207	-0.442907177	K00289	-0.457408211	K03006	0.865713018	K22614	1.550023426	K11268	K04554	K14326	K21847	NA	K11456	K07189	K04373
K00314	0.584065471	K01148	-0.448175747	K00232	0.388325163	K00297	0.278742806	K03037	-0.470476589	NA	NA	K04594	K07953	K11251	K14058	NA	K03163	K07208	K04441
K00327	0.195118624	K01195	0.741290103	K00234	0.439606657	K00327	-0.561462624	K03238	-0.571487379	NA	NA	K00714	K07953	K11303	K22614	NA	K02350	K07881	K04565
K00327	0.571772978	K01201	-0.300559904	K00234	0.471671833	K00357	-0.357005693	K03262	-0.911816611	NA	NA	K09066	K19874	K11647	K20032	NA	K07963	K07917	K05399
K00344	-0.457624812	K01229	0.398532035	K00234	0.561797546	K00364	-0.738708802	K03267	-0.788651278	NA	NA	K05111	K13675	K11293	K05661	NA	K12184	K07937	K05543
K00357	-0.472836003	K01273	-0.588718747	K00237	-0.816561215	K00461	-0.53958116	K03267	-0.583034142	NA	NA	K05695	K12654	K11643	K23460	NA	K10645	K07939	K05955
K00417	-0.539563768	K01301	-0.463159568	K00264	-0.295606145	K00472	0.477017947	K03766	-0.567318456	NA	NA	K00540	K16860	K11647	K22370	NA	K02599	K07941	K06053
K00419	-0.558847289	K01332	0.861859628	K00286	-0.76256277	K00474	0.2555036	K03875	0.801087111	NA	NA	K00714	K08874	K03165	K16677	NA	K02330	K07955	K06126
K00432	-0.596438856	K01362	-0.794129914	K00288	-0.344672199	K00504	0.366220398	K04354	-0.610231141	NA	NA	K17307	K07917	K17943	K14571	NA	K04450	K07955	K06126
K00461	0.812091747	K01411	0.630870769	K00289	-0.801735915	K00522	-0.477831643	K04437	0.917093404	NA	NA	K11997	K10478	K14326	K05673	NA	K09517	K08343	K06252
K00464	-0.371006591	K01411	0.865163566	K00289	-0.639044264	K00540	-0.402460783	K04437	0.933437287	NA	NA	K17307	K05661	K18422	K20032	NA	K23829	K08814	K06560
K00472	-0.583301905	K01432	-0.537392015	K00289	-0.590487325	K00548	0.315211454	K04437	1.668730662	NA	NA	K04097	K03175	K12572	K23554	NA	K18055	K08838	K06928
K00472	-0.477254175	K01442	-0.70961602	K00311	-0.478262727	K00599	-1.001982626	K04450	-0.382807188	NA	NA	K07997	K05449	K12035	K05673	NA	K09523	K09114	K07151
K00477	-0.461846327	K01611	-0.286762595	K00311	-0.470384794	K00599	-0.461161652	K04638	-0.656787112	NA	NA	K15604	K17495	K12035	K22614	NA	K14328	K09292	K07478
K00485	0.329604489	K01672	-0.634472738	K00315	-1.016439299	K00600	-0.508626867	K04682	0.551967888	NA	NA	K06238	K04592	K14861	K04615	NA	K20120	K09584	K07880
K00522	-0.867698079	K01687	-0.293310033	K00326	-0.392938832	K00600	-0.293307531	K04892	-0.690727517	NA	NA	K09381	K04362	K16470	K05190	NA	K23538	K09586	K07904
K00522	-0.688697272	K01809	-0.312572581	K00326	0.427686572	K00602	-0.692170871	K04962	-0.495357423	NA	NA	K06491	K14638	K10356	K08592	NA	K10407	K09597	K07918
K00522	-0.680570359	K01868	0.325578979	K00326	0.456662906	K00657	-0.660244593	K04984	-1.201129798	NA	NA	K18490	K16288	K18274	K02599	NA	K07374	K10089	K08467
K00546	-0.759017766	K01883	0.340598999	K00327	0.528532225	K00699	0.51240567	K05643	-0.620631983	NA	NA	K08664	K04612	K17495	K16889	NA	K14165	K10450	K08513
K00597	0.477636968	K01887	0.328373408	K00327	0.616762355	K00714	-0.585989387	K05700	0.777091291	NA	NA	K01017	K16064	K09453	K04605	NA	K11141	K10478	K08515
K00599	-0.413357551	K01887	0.535123434	K00327	0.825333575	K00761	-0.506104107	K05727	0.617374501	NA	NA	K16353	K22754	K09453	K17951	NA	K02835	K10482	K09067
K00599	-0.340120977	K02168	-0.422147514	K00357	-0.337601165	K00789	-0.29837759	K05751	1.170534711	NA	NA	K13884	K10630	K23209	K22377	NA	K12174	K10585	K09339
K00616	-0.595995974	K02311	0.290016398	K00364	-0.656873145	K00798	-0.427558951	K06030	-0.428698381	NA	NA	K02599	K04400	K20131	K11789	NA	K06965	K10859	K09452
K00621	-0.439369544	K02330	0.252852085	K00382	0.229197858	K00804	-0.279215553	K06067	-0.589502095	NA	NA	K22017	K07870	K13718	K11789	NA	K21754	K11254	K09512
K00657	-0.534244013	K03002	-0.8587239	K00387	-0.392911586	K00814	-0.641180838	K06095	1.034649805	NA	NA	K05034	K03175	K13718	K03172	NA	K01411	K11313	K09533
K00710	0.308282889	K03068	1.622653005	K00451	-0.338112669	K00814	-0.533947791	K06095	1.278438498	NA	NA	K05673	K03175	K12842	NA	NA	K01966	K11713	K09594
K00710	0.38624929	K03125	0.706419916	K00457	-0.322586075	K00826	-0.420237709	K06236	1.320944195	NA	NA	K18726	K03175	K18412	NA	NA	K00474	K12021	K09995
K00710	0.43263912	K03164	0.540047269	K00461	0.500361144	K00846	-0.224023631	K06236	1.473045975	NA	NA	K06491	K03174	K18728	NA	NA	K10435	K12229	K10080
