SH.1d	SH.3d	AH.1d	AH.3d	SC.1d	SC.3d	Met
K00031	K00234	K00006	K00006	K00008	K00314	K00002
K00326	K00289	K00008	K00008	K00019	K00451	K00010
K00327	K00382	K00019	K00019	K00022	K00457	K00011
K00327	K00548	K00022	K00022	K00025	K00485	K00012
K00327	K00831	K00025	K00025	K00025	K00507	K00016
K00382	K01756	K00025	K00025	K00026	K00517	K00021
K00461	K05655	K00029	K00030	K00030	K00522	K00025
K00485	K07375	K00029	K00030	K00030	K00522	K00031
K00504	K14157	K00030	K00030	K00034	K00548	K00036
K00597	K20703	K00030	K00034	K00049	K00645	K00036
K00613	K20827	K00030	K00049	K00049	K00657	K00058
K00827	NA	K00030	K00072	K00049	K00767	K00060
K00939	NA	K00031	K00103	K00049	K00799	K00061
K00995	NA	K00033	K00106	K00061	K00831	K00069
K01256	NA	K00034	K00106	K00090	K00846	K00069
K01415	NA	K00049	K00106	K00121	K00901	K00069
K01415	NA	K00090	K00128	K00128	K00940	K00078
K01687	NA	K00103	K00128	K00128	K01019	K00079
K01719	NA	K00128	K00128	K00207	K01054	K00079
K01723	NA	K00128	K00128	K00235	K01135	K00079
K01908	NA	K00128	K00207	K00236	K01135	K00079
K02105	NA	K00128	K00232	K00237	K01137	K00088
K02308	NA	K00207	K00234	K00274	K01148	K00102
K02583	NA	K00214	K00234	K00286	K01201	K00102
K02867	NA	K00232	K00236	K00288	K01229	K00102
K02879	NA	K00234	K00237	K00288	K01230	K00103
K03006	NA	K00234	K00286	K00289	K01253	K00103
K03037	NA	K00234	K00289	K00289	K01253	K00106
K03173	NA	K00236	K00327	K00306	K01262	K00106
K03238	NA	K00237	K00344	K00314	K01273	K00108
K03262	NA	K00264	K00357	K00327	K01301	K00108
K03267	NA	K00286	K00357	K00357	K01411	K00109
K03267	NA	K00289	K00364	K00357	K01415	K00111
K03766	NA	K00289	K00461	K00383	K01672	K00111
K03875	NA	K00289	K00472	K00417	K01687	K00111
K04348	NA	K00306	K00472	K00419	K01756	K00121
K04354	NA	K00311	K00472	K00432	K01809	K00128
K04437	NA	K00311	K00474	K00461	K01868	K00128
K04437	NA	K00315	K00504	K00464	K01887	K00134
K04437	NA	K00326	K00507	K00472	K01907	K00134
K04536	NA	K00326	K00522	K00472	K01951	K00139
K04638	NA	K00327	K00548	K00477	K02168	K00142
K04682	NA	K00327	K00599	K00485	K02187	K00142
K04892	NA	K00327	K00600	K00485	K02311	K00161
K04962	NA	K00344	K00600	K00522	K02564	K00161
K04984	NA	K00357	K00602	K00522	K02599	K00164
K05111	NA	K00357	K00615	K00522	K03002	K00164
K05122	NA	K00364	K00657	K00522	K03068	K00164
K05218	NA	K00382	K00699	K00546	K03068	K00182
K05643	NA	K00432	K00714	K00597	K03103	K00182
K05677	NA	K00451	K00767	K00599	K03125	K00207
K05700	NA	K00456	K00789	K00599	K03155	K00228
K05727	NA	K00457	K00798	K00616	K03164	K00232
K05751	NA	K00461	K00799	K00621	K03173	K00232
K06030	NA	K00461	K00804	K00657	K03173	K00232
K06067	NA	K00464	K00814	K00710	K03173	K00248
K06095	NA	K00471	K00814	K00710	K03173	K00252
K06095	NA	K00472	K00826	K00710	K03174	K00252
K06236	NA	K00474	K00846	K00710	K03174	K00261
K06236	NA	K00477	K00894	K00729	K03174	K00261
K06236	NA	K00485	K00894	K00760	K03174	K00262
K06532	NA	K00485	K00898	K00772	K03175	K00262
K06619	NA	K00486	K00898	K00798	K03175	K00274
K06676	NA	K00504	K00933	K00799	K03211	K00274
K06711	NA	K00507	K00939	K00799	K03253	K00275
K06883	NA	K00522	K00940	K00799	K03254	K00275
K06942	NA	K00522	K00968	K00826	K03260	K00280
K06965	NA	K00544	K00972	K00844	K03262	K00281
K06965	NA	K00597	K00976	K00846	K03320	K00286
K06999	NA	K00599	K00993	K00852	K03331	K00288
K07179	NA	K00600	K01008	K00888	K03456	K00290
K07561	NA	K00602	K01011	K00888	K03462	K00294
K07634	NA	K00613	K01019	K00894	K03462	K00294
K07963	NA	K00615	K01052	K00898	K03575	K00297
K07964	NA	K00616	K01054	K00901	K03845	K00306
K08490	NA	K00657	K01070	K00907	K03857	K00315
K08824	NA	K00670	K01077	K00907	K03861	K00323
K09048	NA	K00683	K01077	K00915	K03934	K00326
K09058	NA	K00699	K01077	K00939	K03992	K00326
K09189	NA	K00710	K01080	K00940	K04231	K00326
K09228	NA	K00710	K01081	K00940	K04266	K00344
K09228	NA	K00710	K01103	K00944	K04358	K00344
K09428	NA	K00710	K01110	K01011	K04362	K00344
K09524	NA	K00720	K01127	K01016	K04362	K00344
K09640	NA	K00729	K01135	K01047	K04364	K00383
K09656	NA	K00738	K01135	K01047	K04393	K00408
K10080	NA	K00742	K01148	K01056	K04424	K00408
K10271	NA	K00750	K01197	K01061	K04600	K00408
K10280	NA	K00750	K01201	K01070	K04628	K00415
K10283	NA	K00763	K01217	K01074	K04696	K00432
K10403	NA	K00767	K01228	K01074	K04696	K00432
K10407	NA	K00772	K01229	K01081	K04908	K00444
K10409	NA	K00789	K01230	K01081	K04958	K00445
K10413	NA	K00789	K01255	K01135	K05041	K00452
K10413	NA	K00797	K01262	K01135	K05129	K00453
K10592	NA	K00798	K01265	K01197	K05360	K00461
K10595	NA	K00799	K01267	K01201	K05399	K00461
K10597	NA	K00804	K01273	K01255	K05463	K00461
K10685	NA	K00814	K01276	K01276	K05497	K00461
K10744	NA	K00826	K01278	K01302	K05641	K00461
K10841	NA	K00826	K01291	K01304	K05699	K00461
K11305	NA	K00827	K01301	K01312	K05706	K00463
K11347	NA	K00827	K01303	K01338	K06052	K00469
K11427	NA	K00831	K01303	K01392	K06058	K00471
K11463	NA	K00846	K01312	K01415	K06058	K00471
K11540	NA	K00861	K01332	K01415	K06058	K00471
K11590	NA	K00869	K01338	K01415	K06058	K00472
K11649	NA	K00889	K01345	K01431	K06084	K00476
K11653	NA	K00889	K01358	K01442	K06115	K00485
K11672	NA	K00894	K01362	K01466	K06126	K00485
K11789	NA	K00898	K01392	K01480	K06236	K00485
K11796	NA	K00907	K01415	K01480	K06530	K00485
K11797	NA	K00907	K01415	K01490	K06530	K00488
K11849	NA	K00910	K01442	K01495	K06530	K00488
K11849	NA	K00911	K01443	K01518	K06569	K00500
K12035	NA	K00915	K01520	K01522	K06569	K00504
K12171	NA	K00920	K01525	K01527	K06569	K00505
K12184	NA	K00921	K01527	K01527	K06580	K00507
K12190	NA	K00922	K01527	K01530	K06619	K00512
K12191	NA	K00933	K01557	K01530	K06626	K00512
K12192	NA	K00939	K01581	K01530	K06679	K00512
K12193	NA	K00939	K01581	K01530	K06711	K00512
K12197	NA	K00940	K01672	K01557	K06775	K00512
K12319	NA	K00940	K01698	K01565	K06794	K00512
K12401	NA	K00949	K01711	K01647	K06838	K00512
K12488	NA	K00962	K01712	K01667	K06841	K00540
K12619	NA	K00966	K01755	K01672	K06841	K00540
K12820	NA	K00972	K01772	K01681	K06959	K00540
K12825	NA	K00993	K01772	K01687	K06963	K00544
K12831	NA	K00995	K01802	K01689	K07203	K00544
K12841	NA	K01001	K01823	K01692	K07375	K00547
K12866	NA	K01008	K01866	K01719	K07427	K00548
K13098	NA	K01011	K01870	K01796	K07532	K00549
K13126	NA	K01019	K01887	K01800	K07767	K00552
K13126	NA	K01027	K01899	K01800	K07808	K00552
K13163	NA	K01052	K01900	K01802	K07817	K00558
K13171	NA	K01052	K01922	K01816	K07901	K00558
K13172	NA	K01052	K01930	K01841	K07917	K00558
K13191	NA	K01054	K01937	K01870	K07984	K00560
K13203	NA	K01054	K01937	K01887	K07989	K00560
K13864	NA	K01056	K01951	K01900	K08024	K00560
K13868	NA	K01061	K01951	K01948	K08098	K00565
K13963	NA	K01070	K01953	K01950	K08136	K00565
K14005	NA	K01077	K01969	K01950	K08187	K00569
K14021	NA	K01077	K02105	K01953	K08187	K00569
K14206	NA	K01080	K02128	K01974	K08202	K00572
K14295	NA	K01081	K02136	K02105	K08202	K00573
K14320	NA	K01103	K02146	K02127	K08202	K00573
K14325	NA	K01109	K02180	K02128	K08292	K00587
K14546	NA	K01115	K02183	K02128	K08333	K00591
K14803	NA	K01125	K02183	K02134	K08574	K00591
K14806	NA	K01126	K02184	K02134	K08576	K00598
K14816	NA	K01127	K02187	K02136	K08601	K00599
K14826	NA	K01132	K02208	K02138	K08739	K00605
K14861	NA	K01135	K02257	K02146	K08745	K00611
K14966	NA	K01135	K02265	K02151	K08764	K00613
K15157	NA	K01135	K02295	K02155	K08816	K00614
K15162	NA	K01135	K02296	K02157	K08824	K00615
K15162	NA	K01137	K02318	K02163	K08836	K00622
K15322	NA	K01148	K02326	K02183	K08843	K00622
K15613	NA	K01164	K02330	K02183	K08863	K00624
K15685	NA	K01175	K02350	K02187	K08892	K00629
K15710	NA	K01197	K02355	K02206	K08957	K00637
K15779	NA	K01201	K02365	K02263	K09186	K00639
K15837	NA	K01217	K02375	K02265	K09228	K00641
K16353	NA	K01228	K02519	K02267	K09228	K00641
K16353	NA	K01229	K02564	K02270	K09228	K00643
