Name,CL.1d_log2,AH.1d_log2,CL.3d_log2,AH.3d_log2
aug_v2a.11165,-0.571582185,-1.845019575,NA,-0.842144071
aug_v2a.22557,NA,-1.761774755,-0.985598891,NA
aug_v2a.10489,NA,-1.677773542,-0.815432489,NA
aug_v2a.02144,-0.490898513,-1.445232375,-0.536026454,-1.057685122
aug_v2a.06964,NA,-1.298965812,-0.921722974,-0.867607941
aug_v2a.17451,-0.398289679,-1.28269937,NA,-1.020273283
aug_v2a.21839,-0.620017276,-1.282289776,NA,-1.039790195
aug_v2a.17481,NA,-1.259023289,-0.697620981,NA
aug_v2a.23481,NA,-1.252949784,-0.752569847,NA
aug_v2a.00800,-0.584835308,-1.213778316,NA,-0.825197134
aug_v2a.03169,-0.312950518,-1.139621602,-0.316038299,-0.763213819
aug_v2a.11271,-0.472540659,-1.115703934,-0.378263053,-0.685770069
aug_v2a.01092,-0.447579252,-1.106347656,NA,-1.182952212
aug_v2a.00776,NA,-1.102990133,-0.938172734,-0.781617889
aug_v2a.20272,-0.439992352,-1.096508125,NA,-0.578989598
aug_v2a.02246,-0.489459677,-1.058955881,NA,-0.364909501
aug_v2a.03640,-0.608278942,-1.054707994,-0.559974534,-0.653680314
aug_v2a.13566,-0.481976385,-1.053557209,-0.508126419,-0.902194936
aug_v2a.09640,-0.686144724,-1.046755125,NA,-0.634025368
aug_v2a.06921,NA,-1.044411229,-0.994200975,NA
aug_v2a.10444,-0.584861457,-1.039735496,NA,-0.664301393
aug_v2a.24630,-1.01119486,-1.031530904,NA,NA
aug_v2a.16765,NA,-1.021302869,0.40059871,NA
aug_v2a.13196,-0.690942708,-1.015799973,NA,-0.877163592
aug_v2a.05730,-0.700880793,-1.007667392,NA,-0.66479502
aug_v2a.10394,-1.051717373,-0.997666997,NA,NA
aug_v2a.16730,-0.788651086,-0.989866286,-0.501744511,-0.687368425
aug_v2a.16059,-0.321734688,-0.987075811,NA,-0.580819081
aug_v2a.13367,-0.746288653,-0.986207965,NA,NA
aug_v2a.09928,-0.613563631,-0.982869404,NA,-0.648717072
aug_v2a.12345,-0.529542337,-0.977646822,NA,NA
aug_v2a.05854,-0.331967863,-0.971580205,NA,-0.712937122
aug_v2a.00907,NA,-0.968696385,-0.769041547,NA
aug_v2a.05640,-0.858722235,-0.968523234,NA,NA
aug_v2a.01102,-0.614137379,-0.950781426,NA,-0.672899289
aug_v2a.00440,-0.628177249,-0.9420331,-0.987569899,-0.584753409
aug_v2a.06698,-0.772618933,-0.930450463,NA,-1.05286755
aug_v2a.09731,-0.521392283,-0.927315413,NA,-0.733467947
aug_v2a.10779,-0.792782284,-0.924357257,NA,NA
aug_v2a.17928,-0.477843497,-0.920386237,NA,-0.693063003
aug_v2a.22540,-0.700634014,-0.915537159,NA,-0.523771093
aug_v2a.11435,-0.710479618,-0.91302484,NA,NA
aug_v2a.00586,-0.32068257,-0.905459803,NA,-0.460395275
aug_v2a.12956,-0.519814241,-0.905033237,-0.538348006,-0.707713617
aug_v2a.13799,NA,-0.90018814,-0.467905176,-0.773265264
aug_v2a.14717,-0.7081356,-0.898596519,NA,NA
aug_v2a.23295,-0.511590553,-0.894146529,NA,-0.490752139
