response	AC.1	AC.2	AC.3	AC.4	AC.5	AC.6	SC.1	SC.2	SC.3	SC.4	SC.5	SC.6	AH.1	AH.2	AH.3	AH.4	AH.5	AH.6	SH.1	SH.2	SH.3	SH.4	SH.5	SH.6
similar_up	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
similar_down	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
independent_Hup	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1
independent_Sup	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	1	1	1
independent_Hdown	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
independent_Sdown	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1
prioritized_Sdown	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1
prioritized_Sup	0	0	0	0	0	0	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1
prioritized_Hdown	0	0	0	0	0	0	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
prioritized_Hup	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	1	1	1	1	1	1
cancelled_Sup	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
cancelled_Sdown	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0	0
cancelled_Sup_Hdown	0	0	0	0	0	0	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
cancelled_Sdown_Hup	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1	0	0	0	0	0	0
cancelled_Hup	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0
cancelled_Hdown	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
combinatorial_Sup_Hup_Shdown	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	-1	-1	-1	-1	-1	-1
combinatorial_Sdown_Hdown_Shup	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	1	1
combinatorial_SHup	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1
combinatorial_Shdown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1
combinatorial_Sup_Hup_Shnone	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
combinatorial_Sdown_Hdown_Shnone	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0
