Name,CL.1d_log2,CL.3d_log2,AH.1d_log2,AH.3d_log2,CL.1d,CL.3d,AH.1d,AH.3d
aug_v2a.09618,-0.599568095,NA,-0.562235843,-0.724347953,0,0,0,1
aug_v2a.19657,-0.59913029,NA,-0.517927838,-0.401544202,0,0,0,0
aug_v2a.00614,-0.598711826,NA,NA,NA,0,0,0,0
aug_v2a.05231,-0.598699894,NA,NA,NA,0,0,0,0
aug_v2a.17894,-0.598249981,NA,-0.424380396,NA,0,0,0,0
aug_v2a.24535,-0.598230684,NA,-0.611794595,-0.669795802,0,0,1,1
aug_v2a.05997,-0.597763509,NA,NA,NA,0,0,0,0
aug_v2a.04487,-0.597599056,NA,-0.528080786,-0.697642938,0,0,0,1
aug_v2a.03722,-0.596438856,NA,NA,NA,0,0,0,0
aug_v2a.10168,-0.59610351,NA,-0.743358094,-0.789282516,0,0,1,1
aug_v2a.17912,-0.59602905,NA,NA,-0.300119659,0,0,0,0
aug_v2a.12592,-0.596024598,NA,-0.482543912,-0.403425393,0,0,0,0
aug_v2a.02097,-0.595995974,NA,-0.496562705,NA,0,0,0,0
aug_v2a.21967,-0.595838727,NA,-0.565378376,-0.400272306,0,0,0,0
aug_v2a.16076,-0.595820018,NA,NA,NA,0,0,0,0
aug_v2a.10037,-0.595147149,NA,NA,NA,0,0,0,0
aug_v2a.08546,-0.594688129,NA,-0.42196313,NA,0,0,0,0
aug_v2a.10333,-0.594629256,NA,-0.478954526,NA,0,0,0,0
aug_v2a.14914,-0.592216027,NA,NA,NA,0,0,0,0
aug_v2a.20479,-0.592193223,NA,-0.502721347,NA,0,0,0,0
aug_v2a.02276,-0.591624217,NA,NA,-0.586490446,0,0,0,0
aug_v2a.05722,-0.591617902,NA,NA,NA,0,0,0,0
aug_v2a.18608,-0.591293923,NA,-0.49769668,NA,0,0,0,0
aug_v2a.18699,-0.591126793,NA,-0.488361086,-0.468102265,0,0,0,0
aug_v2a.10504,-0.591106535,NA,-0.454398731,-0.405516883,0,0,0,0
aug_v2a.18520,-0.59089632,NA,-0.520193847,-0.775809541,0,0,0,1
aug_v2a.11814,-0.590622352,NA,-0.436232866,NA,0,0,0,0
aug_v2a.18858,-0.590019564,NA,-0.527050422,-0.432724561,0,0,0,0
aug_v2a.00541,-0.588765205,-0.578188317,-0.633752764,NA,0,0,1,0
aug_v2a.24711,-0.588446081,NA,-0.566249809,NA,0,0,0,0
aug_v2a.01376,-0.588344654,NA,-0.636132546,NA,0,0,1,0
aug_v2a.02656,-0.588294121,-0.461697506,-0.50780654,-0.542711136,0,0,0,0
aug_v2a.10250,-0.586868494,NA,NA,NA,0,0,0,0
aug_v2a.09488,-0.586834863,NA,NA,NA,0,0,0,0
aug_v2a.08875,-0.586130753,NA,NA,NA,0,0,0,0
aug_v2a.05789,-0.586083733,NA,-0.467263199,NA,0,0,0,0
aug_v2a.21864,-0.585468613,NA,NA,NA,0,0,0,0
aug_v2a.10444,-0.584861457,NA,-1.039735496,-0.664301393,0,0,1,1
aug_v2a.00800,-0.584835308,NA,-1.213778316,-0.825197134,0,0,1,1
aug_v2a.08507,-0.584658177,NA,NA,NA,0,0,0,0
aug_v2a.18208,-0.583613333,NA,-0.626771013,NA,0,0,1,0
aug_v2a.17597,-0.583548975,NA,NA,NA,0,0,0,0
aug_v2a.00466,-0.583301905,NA,0.416222807,0.477017947,0,0,0,0
aug_v2a.13099,-0.582158678,NA,NA,NA,0,0,0,0
aug_v2a.22926,-0.58190548,NA,NA,NA,0,0,0,0
aug_v2a.20702,-0.581584013,NA,0.417616872,0.469693904,0,0,0,0
aug_v2a.03665,-0.581243911,NA,0.358920195,0.354815364,0,0,0,0
aug_v2a.10798,-0.580309585,NA,-0.719999313,-0.479431254,0,0,1,0
aug_v2a.03051,-0.580299361,NA,-0.389822957,NA,0,0,0,0
aug_v2a.01162,-0.579948545,NA,-0.407143247,NA,0,0,0,0
aug_v2a.21593,-0.579435643,-0.5024557,NA,-0.555448989,0,0,0,0
aug_v2a.08033,-0.577253122,NA,NA,NA,0,0,0,0
aug_v2a.15333,-0.577213707,NA,-0.421556985,NA,0,0,0,0
aug_v2a.09431,-0.576586988,NA,NA,NA,0,0,0,0
aug_v2a.19233,-0.576478626,NA,-0.614896518,NA,0,0,1,0
aug_v2a.02501,-0.574672258,NA,NA,NA,0,0,0,0
aug_v2a.15955,-0.573698909,NA,NA,NA,0,0,0,0
