Name,CL.1d_log2,CL.3d_log2,AH.1d_log2,AH.3d_log2
aug_v2a.05436,NA,NA,-2.054463597,-3.083400178
aug_v2a.08291,NA,NA,-2.495014812,-2.314628723
aug_v2a.09892,NA,NA,-1.168864497,-2.202860051
aug_v2a.03489,NA,-1.643693576,NA,-1.903623086
aug_v2a.23310,NA,NA,-0.865262922,-1.885659776
aug_v2a.02696,NA,NA,-1.615524554,-1.60687854
aug_v2a.23551,NA,NA,-1.347155539,-1.570065563
aug_v2a.22162,NA,NA,-1.148545852,-1.56043123
aug_v2a.11140,NA,NA,-2.046865426,-1.524281932
aug_v2a.15601,NA,1.356473713,NA,-1.453423382
aug_v2a.01069,-0.435819666,NA,-1.558529783,-1.45154502
aug_v2a.01733,NA,NA,-1.36400118,-1.433329076
aug_v2a.00382,0.965603274,NA,-0.961839877,-1.415678211
aug_v2a.13269,NA,NA,-1.39021304,-1.407595766
aug_v2a.03706,NA,NA,-1.830036724,-1.362907813
aug_v2a.08476,NA,NA,-1.688911728,-1.345957481
aug_v2a.06781,NA,NA,-0.653782877,-1.314758435
aug_v2a.09540,NA,NA,-1.440431212,-1.303916326
aug_v2a.01957,NA,NA,-1.289302512,-1.29021599
aug_v2a.01640,NA,NA,-0.871247875,-1.270297114
aug_v2a.10023,NA,NA,-1.528024362,-1.262327609
aug_v2a.11871,NA,NA,-1.447840119,-1.252121484
aug_v2a.00828,NA,NA,-0.834593375,-1.247336052
aug_v2a.08416,NA,NA,-1.461615284,-1.220515086
aug_v2a.14584,NA,NA,-1.398373271,-1.209694588
aug_v2a.01092,-0.451144749,NA,-1.13585193,-1.209374882
aug_v2a.02144,-0.58874729,-0.561063365,-1.7043695,-1.203972871
aug_v2a.12032,NA,NA,-1.263441525,-1.202747159
aug_v2a.09379,NA,NA,-1.284089862,-1.150611598
aug_v2a.01415,-0.755206808,-0.67297335,-1.157103864,-1.149607973
aug_v2a.23491,NA,NA,-0.766919132,-1.144749832
aug_v2a.06442,NA,-1.222457517,NA,-1.144241061
aug_v2a.17257,NA,NA,-1.140245529,-1.142112982
aug_v2a.20292,NA,NA,-1.074625271,-1.136092474
aug_v2a.11593,NA,NA,-0.836010503,-1.125001792
aug_v2a.05288,NA,NA,-1.040720961,-1.121594421
aug_v2a.08612,-0.518184039,NA,-0.489125432,-1.118051646
aug_v2a.14066,NA,NA,-1.271489386,-1.11033994
aug_v2a.21839,-0.625857466,NA,-1.324888546,-1.10892663
aug_v2a.20167,NA,NA,-1.506965521,-1.088527562
aug_v2a.14567,-0.933532354,NA,-0.794196943,-1.072767941
aug_v2a.07505,-0.431625662,NA,-2.018696755,-1.06093822
aug_v2a.11165,-0.621529777,NA,-2.518830564,-1.059174156
aug_v2a.17451,-0.408349191,NA,-1.356722416,-1.058993785
aug_v2a.05088,NA,NA,-0.904250132,-1.057190336
aug_v2a.02077,NA,NA,-1.923091692,-1.056401562
aug_v2a.04280,NA,NA,-1.146191347,-1.039911226
aug_v2a.14519,-0.456037898,NA,-0.615196441,-1.036591881
aug_v2a.11987,-0.558985419,NA,-0.84167266,-1.036159788
aug_v2a.01297,NA,-1.146973497,NA,-1.026585073
aug_v2a.11010,-0.697457333,NA,-0.889785341,-1.023500741
aug_v2a.09177,NA,NA,-0.571343051,-1.019911102
aug_v2a.04434,-0.648333422,-0.589747515,-0.784327297,-1.010859014
aug_v2a.16247,NA,NA,-0.702959776,-1.008293667
aug_v2a.06698,NA,NA,-0.953879505,-1.003258543
aug_v2a.21453,NA,-0.593615648,NA,-0.997235731
aug_v2a.20275,NA,NA,-0.720444034,-0.996581884
aug_v2a.01508,NA,NA,-1.034088456,-0.988774934
aug_v2a.10714,NA,NA,-1.247781617,-0.983642743
aug_v2a.11245,NA,NA,-0.31849807,-0.977892509
aug_v2a.00308,NA,NA,-1.171435031,-0.977836397
aug_v2a.15330,NA,-1.591100449,-0.84158406,-0.977058188
aug_v2a.07987,NA,NA,-1.008743701,-0.976673739
aug_v2a.12835,NA,NA,-1.490698293,-0.975497826
aug_v2a.04074,NA,NA,-1.104130175,-0.972437013
aug_v2a.12952,NA,NA,-1.419567146,-0.968913802
aug_v2a.18385,NA,NA,-1.190204262,-0.963807629
aug_v2a.05289,NA,NA,-1.368093346,-0.942243404
aug_v2a.10679,NA,NA,-1.291687554,-0.941324099
aug_v2a.05269,NA,NA,-1.217846501,-0.940614976
