Name,AH.d1,AH.d3,SC.d1,SC.d3
aug_v2a.21204,1,0,1,0
aug_v2a.09496,0,0,1,0
aug_v2a.17959,1,0,1,0
aug_v2a.03406,0,0,1,0
aug_v2a.08034,0,0,1,0
aug_v2a.16178,0,0,1,0
aug_v2a.01825,0,0,1,0
aug_v2a.21827,1,0,1,0
aug_v2a.02157,1,0,1,0
aug_v2a.15248,1,0,1,0
aug_v2a.24650,1,0,1,0
aug_v2a.14772,0,0,1,0
aug_v2a.21053,0,0,1,0
aug_v2a.15612,1,0,1,0
aug_v2a.08443,1,0,1,0
aug_v2a.23304,1,0,1,0
aug_v2a.09669,1,0,1,0
aug_v2a.24217,0,0,1,0
aug_v2a.23343,1,0,1,0
aug_v2a.22861,0,0,1,0
aug_v2a.16430,1,0,1,0
aug_v2a.15037,1,0,1,0
aug_v2a.21790,0,0,1,0
aug_v2a.22178,1,0,1,0
aug_v2a.24164,1,1,1,1
aug_v2a.22536,0,0,1,0
aug_v2a.05382,1,1,1,0
aug_v2a.16207,1,0,1,0
aug_v2a.19765,1,0,1,1
aug_v2a.19932,0,0,1,1
aug_v2a.16331,0,0,1,0
aug_v2a.14826,0,0,1,0
aug_v2a.00119,0,0,1,0
aug_v2a.17788,1,0,1,0
aug_v2a.20061,0,0,1,0
aug_v2a.01580,0,1,1,1
aug_v2a.22966,0,0,1,0
aug_v2a.21120,0,0,1,0
aug_v2a.24312,0,1,1,0
aug_v2a.02930,1,0,1,0
aug_v2a.15364,1,0,1,0
aug_v2a.16828,1,0,1,0
aug_v2a.00347,0,0,1,0
aug_v2a.23156,0,0,1,0
aug_v2a.03972,1,0,1,0
aug_v2a.12620,0,0,1,0
aug_v2a.06915,1,0,1,0
aug_v2a.21133,0,0,1,0
aug_v2a.00151,0,0,1,0
aug_v2a.00492,1,0,1,0
aug_v2a.10708,0,0,1,0
aug_v2a.12894,0,0,1,0
aug_v2a.22950,1,0,1,0
aug_v2a.14383,0,0,1,0
aug_v2a.05923,1,0,1,0
aug_v2a.08274,0,0,1,0
aug_v2a.14265,1,0,1,0
aug_v2a.18187,0,0,1,0
aug_v2a.23461,0,0,1,0
aug_v2a.19592,0,0,1,0
aug_v2a.03468,0,0,1,0
aug_v2a.21126,0,0,1,0
aug_v2a.01042,1,0,1,0
aug_v2a.21820,1,0,1,0
aug_v2a.18327,1,1,1,0
aug_v2a.12747,0,0,1,0
aug_v2a.24719,1,1,1,0
aug_v2a.10664,1,0,1,0
aug_v2a.20069,1,0,1,0
aug_v2a.16565,1,0,1,0
aug_v2a.15964,1,0,1,0
aug_v2a.08305,0,0,1,0
aug_v2a.03891,0,1,1,1
aug_v2a.06044,1,0,1,0
aug_v2a.20168,1,0,1,0
aug_v2a.17047,1,0,1,0
aug_v2a.17413,0,0,1,0
aug_v2a.10285,0,0,1,0
aug_v2a.00382,1,1,1,0
aug_v2a.00825,0,0,1,0
aug_v2a.02795,1,0,1,0
aug_v2a.21396,0,0,1,0
aug_v2a.18108,1,0,1,0
aug_v2a.07287,1,0,1,0
aug_v2a.20685,0,0,1,0
aug_v2a.04812,1,0,1,0
aug_v2a.17830,1,0,1,0
aug_v2a.22324,0,0,1,0
aug_v2a.18425,0,0,1,0
aug_v2a.16371,0,0,1,0
aug_v2a.16257,1,0,1,0
aug_v2a.05098,1,1,1,0
aug_v2a.06954,0,0,1,0
aug_v2a.22976,1,0,1,0
aug_v2a.17321,1,0,1,0
aug_v2a.17769,1,0,1,0
aug_v2a.13163,1,0,1,0
aug_v2a.15048,1,0,1,0
aug_v2a.15561,1,0,1,0
aug_v2a.20372,1,1,1,0
aug_v2a.09392,0,0,1,0
aug_v2a.07006,1,0,1,0
aug_v2a.19138,1,0,1,0
aug_v2a.23800,0,0,1,0
aug_v2a.01179,0,0,1,0
aug_v2a.03203,0,0,1,0
aug_v2a.13938,0,0,1,0
aug_v2a.18224,0,0,1,0
aug_v2a.18154,1,0,1,0
aug_v2a.13485,0,0,1,0
aug_v2a.18473,1,0,1,0
aug_v2a.09562,0,0,1,0
aug_v2a.00587,0,0,1,0
aug_v2a.04018,0,0,1,0
aug_v2a.20255,1,0,1,0
aug_v2a.01026,0,0,1,0
aug_v2a.16283,0,1,1,0
aug_v2a.16804,0,0,1,0
aug_v2a.13738,1,0,1,0
aug_v2a.23375,1,0,1,0
aug_v2a.01406,1,0,1,0
aug_v2a.15701,0,0,1,0
aug_v2a.08024,1,0,1,0
aug_v2a.17666,1,0,1,0
aug_v2a.22244,0,0,1,0
aug_v2a.20379,0,0,1,0
aug_v2a.12543,0,0,1,0
aug_v2a.13129,1,0,1,0
aug_v2a.21866,1,0,1,0
aug_v2a.04062,0,0,1,0
aug_v2a.19678,0,0,1,0
aug_v2a.15913,0,0,1,0
aug_v2a.10810,0,0,1,0
aug_v2a.15769,1,0,1,0
aug_v2a.06622,1,0,1,0
