Name,moduleColors,moduleID,GS.inf,GS.temp,GS.time,GS.met_Y
aug_v2a.02913,black,M24,0.186054267,0.127692122,0.003027601,0.014417628
aug_v2a.18350,blue,M11,-0.473809678,-0.441512426,-0.272553772,-0.262932334
aug_v2a.18351,blue,M11,0.116384818,-0.448730237,0.355933611,0.196513979
aug_v2a.18353,brown,M21,-0.182831129,0.584811596,-0.021494758,0.061111002
aug_v2a.18354,brown,M21,-0.169975507,0.027413104,-0.279022078,-0.032855131
aug_v2a.18355,pink,M19,0.207832682,0.313537707,-0.064538367,-0.111543001
aug_v2a.18357,magenta,M13,0.226141533,0.406935064,-0.430100258,-0.272755884
aug_v2a.18359,green,M18,0.200097142,-0.239272105,0.054213824,-0.064010197
aug_v2a.02914,salmon,M23,0.140031984,-0.04035714,-0.25781122,-0.110506557
aug_v2a.02915,grey,M26,-0.061813289,0.136933084,-0.045669642,-0.031803244
aug_v2a.18363,black,M24,0.488982751,-0.170729436,0.172356975,0.213904628
aug_v2a.02917,magenta,M13,-0.234124347,0.374611282,-0.292964081,-0.026531967
aug_v2a.18366,yellow,M12,-0.318461716,-0.284684561,-0.346562048,-0.215600844
aug_v2a.18367,lightyellow,M14,-0.608417925,-0.061919117,-0.259733104,-0.373355962
aug_v2a.18369,turquoise,M20,0.157587672,0.270457132,0.139686518,-0.065621537
aug_v2a.18371,grey,M26,-0.061026505,-0.036957929,-0.132427486,0.002495216
aug_v2a.18372,red,M10,-0.106488438,-0.29104065,0.069735894,-0.119327897
aug_v2a.02918,red,M10,-0.181894682,-0.360356249,0.276833438,-0.00582312
aug_v2a.02919,red,M10,-0.45665162,-0.217805313,-0.002644757,-0.085814602
aug_v2a.02923,grey60,M4,0.141094051,-0.635106065,0.344557885,0.196909777
aug_v2a.18375,darkred,M3,-0.093134132,-0.710450189,-0.171396828,-0.047177501
aug_v2a.18376,blue,M11,-0.182990903,-0.336310054,-0.049415448,0.022196784
aug_v2a.18377,turquoise,M20,0.450973809,0.269309569,0.057675962,0.180715669
aug_v2a.18378,turquoise,M20,0.354172756,0.391522672,0.086154241,0.114277261
aug_v2a.18379,black,M24,0.168645533,-0.269886465,-0.009388495,-0.205342931
aug_v2a.18380,blue,M11,-0.372356823,-0.40243749,-0.31543521,-0.333833254
aug_v2a.18382,magenta,M13,-0.24504906,0.515773387,-0.48035665,-0.404094525
aug_v2a.18383,yellow,M12,-0.161695975,0.466170779,-0.154729112,-0.23381136
aug_v2a.18384,brown,M21,0.121352074,0.56098515,0.003611225,0.057171666
aug_v2a.18385,cyan,M2,-0.02463238,-0.756912303,0.059280902,-0.10960909
aug_v2a.02925,turquoise,M20,0.404524271,0.343933207,0.220753248,0.323542976
aug_v2a.18391,cyan,M2,-0.182261311,-0.534194527,0.073016018,-0.151796579
