Name,AL,CL,AH,CH,Cluster,Day
aug_v2a.00183,0,0.051736719,-0.296447945,0.271121099,1,1
aug_v2a.00613,0,0.132468401,-0.54542152,0.290589831,1,1
aug_v2a.00696,0,0.038154037,-0.524591407,0.079803052,1,1
aug_v2a.00752,0,0.038127316,-0.321472173,0.228987323,1,1
aug_v2a.00753,0,0.260411591,-0.56417799,0.433733233,1,1
aug_v2a.00878,0,0.092196375,-0.651628479,0.096161918,1,1
aug_v2a.00967,0,0.006928266,-0.532129003,0.096601103,1,1
aug_v2a.01040,0,-0.070338097,-0.291719909,0.261539421,1,1
aug_v2a.01229,0,0.165363341,-1.015409847,0.205222916,1,1
aug_v2a.01401,0,0.009708277,-0.699553299,0.000698995,1,1
aug_v2a.01426,0,-0.523253939,-0.30336815,-0.075076673,1,1
aug_v2a.01728,0,0.077574961,-0.299396602,0.292090396,1,1
aug_v2a.03929,0,-0.028758212,-0.814175752,0.063051261,1,1
aug_v2a.04340,0,0.199311959,-0.607405531,0.184603384,1,1
aug_v2a.04659,0,0.09204756,-0.452084957,0.380791019,1,1
aug_v2a.05303,0,-0.303402697,-0.396124269,-0.220270892,1,1
aug_v2a.05530,0,-0.065592428,-0.864801783,0.137712305,1,1
aug_v2a.05531,0,0.011857569,-0.828916445,0.127038438,1,1
aug_v2a.06078,0,-0.113898997,-0.580846241,-0.018419474,1,1
aug_v2a.06154,0,0.088747391,-0.727240801,0.213523073,1,1
aug_v2a.06432,0,0.111911425,-0.659465406,0.276901288,1,1
aug_v2a.08061,0,-0.090030152,-0.531481511,0.082341533,1,1
aug_v2a.08424,0,0.005306837,-0.505918047,0.141249967,1,1
aug_v2a.08967,0,-0.181763153,-0.593373434,0.274472998,1,1
aug_v2a.09643,0,-0.041839856,-0.3856537,0.053359648,1,1
aug_v2a.10238,0,0.077825843,-0.650085225,0.125507942,1,1
aug_v2a.10302,0,-0.023566647,-0.537838082,0.011023711,1,1
aug_v2a.10607,0,-0.102499014,-0.499578406,0.007124499,1,1
aug_v2a.11752,0,-0.607854825,-0.617249593,0.032772836,1,1
aug_v2a.12808,0,0.076995384,-0.513875705,0.085397807,1,1
aug_v2a.13068,0,-0.294188397,-0.383305298,-0.075108157,1,1
aug_v2a.13910,0,0.175794035,-0.984879562,0.134450813,1,1
aug_v2a.14216,0,-0.037404851,-0.737479712,0.012801816,1,1
aug_v2a.14756,0,0.106543786,-0.554086098,0.001561487,1,1
aug_v2a.14927,0,-0.062034143,-0.442506332,0.103603625,1,1
aug_v2a.14953,0,-0.177836125,-0.260918957,-0.008886965,1,1
aug_v2a.15287,0,0.124782031,-1.005197838,0.161333819,1,1
aug_v2a.16480,0,0.140657713,-0.800197269,0.186318096,1,1
aug_v2a.17006,0,-0.167584667,-0.005189289,0.259954333,1,1
aug_v2a.17075,0,0.264527358,-0.403991799,0.491990653,1,1
aug_v2a.17226,0,0.269562626,-0.756802209,0.286387363,1,1
aug_v2a.17461,0,0.208593681,-0.714547832,0.256067216,1,1
aug_v2a.17559,0,0.119164444,-0.877851297,0.139806968,1,1
aug_v2a.18019,0,0.100149987,-0.959245715,0.245302258,1,1
aug_v2a.18078,0,0.100287288,-0.761954178,0.197354602,1,1
aug_v2a.18348,0,0.002690232,-0.948466669,0.04647321,1,1
aug_v2a.18883,0,0.093825981,-0.871994054,0.102174821,1,1
aug_v2a.18891,0,-0.06993374,-0.583189911,0.16121753,1,1
aug_v2a.19414,0,0.093217724,-0.635314679,0.256788815,1,1
aug_v2a.19504,0,-0.008476639,-0.744189582,0.164480961,1,1
aug_v2a.19785,0,-0.120092827,-0.475676478,-0.079246134,1,1
aug_v2a.20375,0,0.439971755,-0.929946892,0.445519276,1,1
aug_v2a.20411,0,0.11991762,-0.807037735,0.123934558,1,1
aug_v2a.20459,0,0.151811595,-0.849532518,-0.069825539,1,1
aug_v2a.20573,0,0.06125409,-0.563354996,0.14217429,1,1
aug_v2a.22225,0,0.079687611,-0.732192334,0.112195717,1,1
aug_v2a.22371,0,0.009006972,-0.809977506,0.092156989,1,1
