Name,Metamorph,ReyesBermudez
aug_v2a.18122,0,1
aug_v2a.21102,1,1
aug_v2a.21104,1,1
aug_v2a.13657,1,1
aug_v2a.22824,0,1
aug_v2a.12620,0,1
aug_v2a.10631,1,1
aug_v2a.12410,1,1
aug_v2a.14883,0,1
aug_v2a.02498,1,1
aug_v2a.04511,1,1
aug_v2a.06926,0,1
aug_v2a.04657,0,1
aug_v2a.00912,1,1
aug_v2a.06185,0,1
aug_v2a.06385,1,1
aug_v2a.07771,0,1
aug_v2a.04354,0,1
aug_v2a.10252,0,1
aug_v2a.24396,0,1
aug_v2a.09846,0,1
aug_v2a.08739,0,1
aug_v2a.24126,1,1
aug_v2a.20543,0,1
aug_v2a.19244,0,1
aug_v2a.13024,0,1
aug_v2a.13414,0,1
aug_v2a.01371,0,1
aug_v2a.07315,0,1
aug_v2a.16923,0,1
aug_v2a.19555,0,1
aug_v2a.11265,0,1
aug_v2a.13070,0,1
aug_v2a.04751,0,1
aug_v2a.02547,1,1
aug_v2a.23221,0,1
aug_v2a.09651,1,1
aug_v2a.21481,1,1
aug_v2a.05325,1,1
aug_v2a.11497,0,1
aug_v2a.19118,1,1
aug_v2a.00952,0,1
aug_v2a.12167,0,1
aug_v2a.12801,1,1
aug_v2a.00487,0,1
aug_v2a.01740,0,1
aug_v2a.11947,1,1
aug_v2a.13200,0,1
aug_v2a.01480,0,1
aug_v2a.15477,0,1
aug_v2a.07749,0,1
aug_v2a.21133,0,1
aug_v2a.13335,0,1
aug_v2a.00033,1,1
aug_v2a.01408,1,1
aug_v2a.08253,1,1
aug_v2a.10784,0,1
aug_v2a.08444,0,1
aug_v2a.05383,1,1
aug_v2a.09750,1,1
aug_v2a.05228,0,1
aug_v2a.15832,0,1
aug_v2a.07199,1,1
aug_v2a.00037,1,1
aug_v2a.07414,1,1
aug_v2a.10894,0,1
aug_v2a.00973,1,1
aug_v2a.08567,1,1
aug_v2a.08443,0,1
aug_v2a.02115,0,1
aug_v2a.11066,0,1
aug_v2a.17395,1,1
aug_v2a.17046,1,1
aug_v2a.09509,1,1
aug_v2a.17128,0,1
aug_v2a.01309,1,1
aug_v2a.02528,0,1
aug_v2a.09047,0,1
aug_v2a.17847,0,1
aug_v2a.05991,0,1
aug_v2a.19304,0,1
aug_v2a.03673,1,1
aug_v2a.02984,1,1
aug_v2a.10681,0,1
aug_v2a.10683,0,1
aug_v2a.04433,1,1
aug_v2a.23678,1,1
aug_v2a.01314,0,1
aug_v2a.08266,1,1
aug_v2a.24043,0,1
aug_v2a.14714,1,1
aug_v2a.23827,0,1
aug_v2a.11069,1,1
aug_v2a.24750,1,1
aug_v2a.24447,0,1
aug_v2a.12839,0,1
aug_v2a.06239,1,1
aug_v2a.13901,0,1
aug_v2a.01882,0,1
aug_v2a.05098,0,1
aug_v2a.12077,1,1
aug_v2a.17132,1,1
aug_v2a.24663,0,1
aug_v2a.15796,1,1
aug_v2a.09841,0,1
aug_v2a.09727,0,1
aug_v2a.01765,0,1
aug_v2a.02759,1,1
aug_v2a.17013,0,1
aug_v2a.06716,0,1
aug_v2a.07373,1,1
aug_v2a.18469,0,1
aug_v2a.16045,1,1
aug_v2a.16886,1,1
aug_v2a.20635,1,1
aug_v2a.24230,1,1
aug_v2a.04391,0,1
aug_v2a.03895,0,1
aug_v2a.20882,0,1
aug_v2a.19153,0,1
aug_v2a.20263,0,1
aug_v2a.04378,0,1
aug_v2a.05311,0,1
aug_v2a.16470,0,1
aug_v2a.16257,0,1
aug_v2a.00427,1,1
aug_v2a.18157,0,1
aug_v2a.13191,0,1
aug_v2a.14271,0,1
aug_v2a.21653,0,1
aug_v2a.23096,0,1
aug_v2a.22208,0,1
aug_v2a.20584,1,1
aug_v2a.20549,0,1
