Name,Metamorph,ReyesBermudez
aug_v2a.17975,1,0
aug_v2a.23580,1,0
aug_v2a.20380,1,0
aug_v2a.15628,1,0
aug_v2a.22909,1,0
aug_v2a.15335,1,0
aug_v2a.08300,1,1
aug_v2a.18594,1,0
aug_v2a.22284,1,0
aug_v2a.19728,1,0
aug_v2a.15785,1,0
aug_v2a.15507,1,0
aug_v2a.16885,1,0
aug_v2a.13553,1,0
aug_v2a.01605,1,0
aug_v2a.24116,1,0
aug_v2a.01591,1,0
aug_v2a.12314,1,0
aug_v2a.06083,1,0
aug_v2a.11978,1,0
aug_v2a.11645,1,0
aug_v2a.19389,1,0
aug_v2a.24253,1,0
aug_v2a.18167,1,0
aug_v2a.23925,1,0
aug_v2a.16687,1,0
aug_v2a.16010,1,0
aug_v2a.24683,1,0
aug_v2a.18321,1,0
aug_v2a.23646,1,0
aug_v2a.13892,1,0
aug_v2a.16750,1,0
aug_v2a.16073,1,0
aug_v2a.03555,1,0
aug_v2a.16143,1,0
aug_v2a.09014,1,0
aug_v2a.00345,1,0
aug_v2a.00426,0,1
aug_v2a.01428,0,1
aug_v2a.02934,0,1
aug_v2a.09451,0,1
aug_v2a.11373,0,1
aug_v2a.14576,0,1
aug_v2a.16941,0,1
aug_v2a.18070,0,1
aug_v2a.18781,0,1
aug_v2a.20348,0,1
aug_v2a.24071,0,1
aug_v2a.13845,1,0
aug_v2a.23158,1,1
aug_v2a.05737,1,0
aug_v2a.09280,1,0
aug_v2a.16611,1,0
aug_v2a.15693,1,0
aug_v2a.10582,1,0
aug_v2a.18216,1,0
aug_v2a.01122,1,0
aug_v2a.04272,1,0
aug_v2a.16505,1,0
aug_v2a.22875,1,0
aug_v2a.20352,1,1
aug_v2a.23411,1,1
aug_v2a.22238,1,1
aug_v2a.15777,1,1
aug_v2a.02459,1,1
aug_v2a.09716,1,1
aug_v2a.19228,1,1
aug_v2a.10335,1,1
aug_v2a.15584,1,1
aug_v2a.11457,1,1
aug_v2a.22273,1,1
aug_v2a.15776,1,1
aug_v2a.12354,1,1
aug_v2a.16355,1,1
aug_v2a.05902,1,1
aug_v2a.15394,1,1
aug_v2a.01542,1,1
