Name,Module_Color,Module_Number,significant
aug_v2a.21186,darkgrey,21,yes
aug_v2a.15024,darkgrey,21,yes
aug_v2a.04766,darkgrey,21,yes
aug_v2a.13649,darkgrey,21,yes
aug_v2a.15506,darkgrey,21,yes
aug_v2a.19649,darkgrey,21,yes
aug_v2a.05591,darkgrey,21,yes
aug_v2a.13224,darkgrey,21,yes
aug_v2a.15445,darkgrey,21,yes
aug_v2a.11096,darkgrey,21,yes
aug_v2a.15478,darkgrey,21,yes
aug_v2a.10572,darkgrey,21,yes
aug_v2a.13879,darkgrey,21,yes
aug_v2a.16783,darkgrey,21,yes
aug_v2a.12480,darkgrey,21,yes
aug_v2a.17479,darkgrey,21,yes
aug_v2a.09977,darkgrey,21,yes
aug_v2a.04780,darkgrey,21,yes
aug_v2a.10547,darkgrey,21,yes
aug_v2a.05962,darkgrey,21,yes
aug_v2a.15866,darkgrey,21,yes
aug_v2a.12443,darkgrey,21,yes
aug_v2a.19764,darkgrey,21,yes
aug_v2a.24461,darkgrey,21,yes
aug_v2a.22167,darkgrey,21,yes
aug_v2a.23398,darkgrey,21,yes
aug_v2a.18127,darkgrey,21,yes
aug_v2a.21431,darkgrey,21,yes
aug_v2a.01459,darkgrey,21,yes
aug_v2a.24135,darkgrey,21,yes
aug_v2a.04481,darkgrey,21,yes
aug_v2a.14263,darkgrey,21,yes
aug_v2a.07871,darkgrey,21,yes
aug_v2a.11855,darkgrey,21,yes
aug_v2a.01676,darkgrey,21,yes
aug_v2a.05563,darkgrey,21,yes
aug_v2a.02055,darkgrey,21,yes
aug_v2a.21664,darkgrey,21,yes
aug_v2a.00896,darkgrey,21,yes
aug_v2a.06690,darkgrey,21,yes
aug_v2a.15740,darkgrey,21,yes
aug_v2a.15778,darkgrey,21,yes
aug_v2a.08220,darkgrey,21,yes
aug_v2a.12881,darkgrey,21,yes
aug_v2a.18252,darkgrey,21,yes
aug_v2a.13632,darkgrey,21,yes
aug_v2a.02500,darkgrey,21,yes
aug_v2a.10596,darkgrey,21,yes
aug_v2a.22277,darkgrey,21,yes
aug_v2a.09904,darkgrey,21,yes
aug_v2a.17969,darkgrey,21,yes
aug_v2a.19031,darkgrey,21,yes
aug_v2a.01345,darkgrey,21,yes
aug_v2a.11781,darkgrey,21,yes
aug_v2a.09103,darkgrey,21,yes
aug_v2a.01224,darkgrey,21,yes
aug_v2a.01598,darkgrey,21,yes
aug_v2a.04086,darkgrey,21,yes
aug_v2a.09912,darkgrey,21,yes
aug_v2a.22596,darkgrey,21,yes
aug_v2a.01815,darkgrey,21,yes
aug_v2a.01109,darkgrey,21,yes
aug_v2a.20776,darkgrey,21,yes
aug_v2a.03658,darkgrey,21,yes
aug_v2a.18210,darkgrey,21,yes
aug_v2a.17397,darkgrey,21,yes
aug_v2a.16547,darkgrey,21,yes
aug_v2a.08295,darkgrey,21,yes
aug_v2a.01310,darkgrey,21,yes
aug_v2a.11879,darkgrey,21,yes
aug_v2a.09362,darkgrey,21,yes
aug_v2a.19050,darkgrey,21,yes
aug_v2a.14080,darkgrey,21,yes
aug_v2a.18458,darkgrey,21,yes
aug_v2a.02395,darkgrey,21,yes
aug_v2a.19893,darkgrey,21,yes
aug_v2a.20815,darkgrey,21,yes
aug_v2a.17983,darkgrey,21,yes
aug_v2a.01859,darkgrey,21,yes
aug_v2a.07751,darkgrey,21,yes
aug_v2a.05174,darkgrey,21,yes
aug_v2a.17330,darkgrey,21,yes
aug_v2a.17985,darkgrey,21,yes
aug_v2a.01828,darkgrey,21,yes
aug_v2a.05892,darkgrey,21,yes
aug_v2a.05928,darkgrey,21,yes
aug_v2a.02275,darkgrey,21,yes
aug_v2a.12415,darkgrey,21,yes
aug_v2a.02423,darkgrey,21,yes
aug_v2a.00127,darkgrey,21,yes
aug_v2a.19786,darkgrey,21,yes
aug_v2a.09899,darkgrey,21,yes
aug_v2a.13343,darkgrey,21,yes
aug_v2a.01862,darkgrey,21,yes
aug_v2a.04349,darkgrey,21,yes
aug_v2a.18983,darkgrey,21,yes
aug_v2a.19720,darkgrey,21,yes
aug_v2a.04483,darkgrey,21,yes
aug_v2a.03744,darkgrey,21,yes
aug_v2a.05343,darkgrey,21,yes
aug_v2a.08642,darkgrey,21,yes
aug_v2a.15788,darkgrey,21,yes
aug_v2a.00553,darkgrey,21,yes
aug_v2a.16979,darkgrey,21,yes
aug_v2a.24106,darkgrey,21,yes
aug_v2a.02692,darkgrey,21,yes
aug_v2a.01132,darkgrey,21,yes
aug_v2a.21642,darkgrey,21,yes
aug_v2a.22689,darkgrey,21,yes
aug_v2a.18860,darkgrey,21,yes
aug_v2a.09965,darkgrey,21,yes
aug_v2a.08280,darkgrey,21,yes
aug_v2a.08929,darkgrey,21,yes
aug_v2a.04901,darkgrey,21,yes
aug_v2a.23572,darkgrey,21,yes
aug_v2a.14554,darkgrey,21,yes
aug_v2a.02998,darkgrey,21,yes
aug_v2a.09194,darkgrey,21,yes
aug_v2a.18393,darkgrey,21,yes
aug_v2a.10598,darkgrey,21,yes
aug_v2a.16353,darkgrey,21,yes
aug_v2a.02073,darkgrey,21,yes
aug_v2a.08288,darkgrey,21,yes
aug_v2a.10531,darkgrey,21,yes
aug_v2a.07055,darkgrey,21,yes
aug_v2a.24452,darkgrey,21,yes
aug_v2a.17813,darkgrey,21,yes
aug_v2a.20957,darkgrey,21,yes
aug_v2a.20321,darkgrey,21,yes
aug_v2a.15366,darkgrey,21,yes
aug_v2a.14716,darkgrey,21,yes
aug_v2a.03770,darkgrey,21,yes
aug_v2a.18799,darkgrey,21,yes
aug_v2a.21026,darkgrey,21,yes
aug_v2a.00172,darkgrey,21,yes
aug_v2a.04617,darkgrey,21,yes
aug_v2a.09650,darkgrey,21,yes
aug_v2a.01117,darkgrey,21,yes
aug_v2a.16956,darkgrey,21,yes
aug_v2a.17836,darkgrey,21,yes
aug_v2a.22121,darkgrey,21,yes
aug_v2a.16087,darkgrey,21,yes
aug_v2a.00765,darkgrey,21,yes
aug_v2a.00606,darkgrey,21,yes
aug_v2a.02128,darkgrey,21,yes
aug_v2a.19452,darkgrey,21,yes
aug_v2a.16208,darkgrey,21,yes
aug_v2a.00190,darkgrey,21,yes
aug_v2a.24300,darkgrey,21,yes
aug_v2a.01446,darkgrey,21,yes
aug_v2a.15902,darkgrey,21,yes
aug_v2a.21881,darkgrey,21,yes
aug_v2a.22267,darkgrey,21,yes
aug_v2a.18162,darkgrey,21,yes
aug_v2a.04616,darkgrey,21,yes
aug_v2a.17084,darkgrey,21,yes
aug_v2a.18683,darkgrey,21,yes
aug_v2a.14269,darkgrey,21,yes
aug_v2a.02755,darkgrey,21,yes
aug_v2a.15703,darkgrey,21,yes
aug_v2a.05797,darkgrey,21,yes
aug_v2a.20027,darkgrey,21,yes
aug_v2a.18569,darkgrey,21,yes
aug_v2a.16267,darkgrey,21,yes
aug_v2a.22472,darkgrey,21,yes
aug_v2a.07316,darkgrey,21,yes
aug_v2a.15874,darkgrey,21,yes
aug_v2a.09462,darkgrey,21,yes
aug_v2a.09955,darkgrey,21,yes
aug_v2a.07935,darkgrey,21,yes
aug_v2a.11767,darkgrey,21,yes
aug_v2a.14904,darkgrey,21,yes
aug_v2a.01594,darkgrey,21,yes
aug_v2a.14416,darkgrey,21,yes
aug_v2a.07004,darkgrey,21,yes
aug_v2a.24321,darkgrey,21,yes
aug_v2a.08128,darkgrey,21,yes
aug_v2a.05023,darkgrey,21,yes
aug_v2a.06787,darkgrey,21,yes
aug_v2a.06524,darkgrey,21,yes
aug_v2a.07427,darkgrey,21,yes
aug_v2a.03435,darkgrey,21,yes
aug_v2a.13414,darkgrey,21,yes
aug_v2a.14471,darkgrey,21,yes
aug_v2a.15789,darkgrey,21,yes
aug_v2a.15940,darkgrey,21,yes
aug_v2a.21523,darkgrey,21,yes
aug_v2a.07529,darkgrey,21,yes
aug_v2a.10993,darkgrey,21,yes
aug_v2a.08689,darkgrey,21,yes
aug_v2a.04004,darkgrey,21,yes
aug_v2a.14002,darkgrey,21,yes
aug_v2a.10330,darkgrey,21,yes
aug_v2a.19017,darkgrey,21,yes
aug_v2a.09611,darkgrey,21,yes
aug_v2a.14164,darkgrey,21,yes
aug_v2a.22236,darkgrey,21,yes
aug_v2a.21671,darkgrey,21,yes
aug_v2a.00725,darkgrey,21,yes
aug_v2a.05491,darkgrey,21,yes
aug_v2a.00092,darkgrey,21,yes
aug_v2a.00177,darkgrey,21,yes
aug_v2a.05016,darkgrey,21,yes
aug_v2a.14710,darkgrey,21,yes
aug_v2a.09374,darkgrey,21,yes
aug_v2a.16692,darkgrey,21,yes
aug_v2a.19197,darkgrey,21,yes
aug_v2a.19366,darkgrey,21,yes
aug_v2a.01217,darkgrey,21,yes
aug_v2a.14243,darkgrey,21,yes
aug_v2a.19117,darkgrey,21,yes
aug_v2a.03511,darkgrey,21,yes
aug_v2a.13583,darkgrey,21,yes
aug_v2a.18103,darkgrey,21,yes
aug_v2a.08028,darkgrey,21,yes
aug_v2a.13890,darkgrey,21,yes
aug_v2a.04816,darkgrey,21,yes
aug_v2a.23534,darkgrey,21,yes
aug_v2a.04492,darkgrey,21,yes
aug_v2a.08514,darkgrey,21,yes
aug_v2a.07043,darkgrey,21,yes
aug_v2a.14188,darkgrey,21,yes
aug_v2a.11196,darkgrey,21,yes
aug_v2a.04697,darkgrey,21,yes
aug_v2a.13869,darkgrey,21,yes
aug_v2a.09507,darkgrey,21,yes
aug_v2a.06545,darkgrey,21,yes
aug_v2a.15748,darkgrey,21,yes
aug_v2a.19379,darkgrey,21,yes
aug_v2a.01044,darkgrey,21,yes
aug_v2a.13250,darkgrey,21,yes
aug_v2a.21578,darkgrey,21,yes
aug_v2a.06555,darkgrey,21,yes
aug_v2a.08392,darkgrey,21,yes
aug_v2a.13372,darkgrey,21,yes
aug_v2a.16147,darkgrey,21,yes
aug_v2a.20517,darkgrey,21,yes
aug_v2a.13789,darkgrey,21,yes
aug_v2a.23093,darkgrey,21,no
aug_v2a.22568,darkgrey,21,no
aug_v2a.20389,darkgrey,21,no
aug_v2a.07060,darkgrey,21,no
aug_v2a.12246,darkgrey,21,no
aug_v2a.16689,darkgrey,21,no
aug_v2a.21943,darkgrey,21,no
aug_v2a.07486,darkgrey,21,no
aug_v2a.04887,darkgrey,21,no
aug_v2a.19656,darkgrey,21,no
aug_v2a.13268,darkgrey,21,no
aug_v2a.12776,darkgrey,21,no
aug_v2a.24581,darkgrey,21,no
aug_v2a.14746,darkgrey,21,no
aug_v2a.08955,darkgrey,21,no
aug_v2a.12398,darkgrey,21,no
aug_v2a.09525,darkgrey,21,no
aug_v2a.10097,darkgrey,21,no
aug_v2a.06030,darkgrey,21,no
aug_v2a.04154,darkgrey,21,no
aug_v2a.08953,darkgrey,21,no
aug_v2a.10259,darkgrey,21,no
aug_v2a.20340,darkgrey,21,no
aug_v2a.15898,darkgrey,21,no
aug_v2a.13582,darkgrey,21,no
aug_v2a.21610,darkgrey,21,no
aug_v2a.14147,darkgrey,21,no
aug_v2a.05770,darkgrey,21,no
aug_v2a.00005,darkgrey,21,no
aug_v2a.16805,darkgrey,21,no
aug_v2a.19113,darkgrey,21,no
aug_v2a.06567,darkgrey,21,no
aug_v2a.18426,darkgrey,21,no
aug_v2a.21882,darkgrey,21,no
aug_v2a.06225,darkgrey,21,no
aug_v2a.05743,darkgrey,21,no
aug_v2a.22778,darkgrey,21,no
aug_v2a.23115,darkgrey,21,no
aug_v2a.00497,darkgrey,21,no
aug_v2a.07986,darkgrey,21,no
aug_v2a.23541,darkgrey,21,no
aug_v2a.17747,darkgrey,21,no
aug_v2a.02436,darkgrey,21,no
aug_v2a.03068,darkgrey,21,no
aug_v2a.12943,darkgrey,21,no
aug_v2a.09114,darkgrey,21,no
aug_v2a.12096,darkgrey,21,no
aug_v2a.16841,darkgrey,21,no
aug_v2a.04984,darkgrey,21,no
aug_v2a.11237,darkgrey,21,no
aug_v2a.19883,darkgrey,21,no
aug_v2a.12525,darkgrey,21,no
aug_v2a.23816,darkgrey,21,no
aug_v2a.20050,darkgrey,21,no
aug_v2a.11653,darkgrey,21,no
aug_v2a.18406,darkgrey,21,no
