gene_id	NCBI Accession	annotation	gene_symbol	pathway	pathway2	module	cluster	d1_category	d3_category
aug_v2a.13321	XP_015755132	apoptotic chromatin condensation inducer in the nucleus	ACIN1	apoptosis-both	apoptosis-both_down	M21	NA	independent_Hup	NA
aug_v2a.19466	XP_015755133	apoptotic chromatin condensation inducer in the nucleus	ACIN1	apoptosis-both	apoptosis-both_down	M21	NA	independent_Hup	NA
aug_v2a.07350	XP_015759861	Caspase recruitment domain-containing protein 11	CARD11	apoptosis-both	apoptosis-both_down	M20	NA	independent_Hup	independent_Hup
aug_v2a.14264	XP_015780504	Caspase-3 	CASP3	apoptosis-both	apoptosis-both_down	M21	NA	independent_Hup	independent_Hup
aug_v2a.18450	XP_015770685	extracellular calcium-sensing receptor-like		apoptosis-both	apoptosis-both_down	M13	NA	independent_Hup	prioritized_Hup
aug_v2a.03384	XP_015751269	salvador-like 1	SAV1	apoptosis-both	apoptosis-both_down	M21	NA	canceled_Hup	combinatorial_SHup
aug_v2a.07328	XP_015762978	serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform-like	PPP2R2B	apoptosis-both	apoptosis-both_down	M15	1	canceled_Hup	canceled_Sup
aug_v2a.21038	XP_015753014	apoptosis inhibitor 5-A	API5	apoptosis-both	apoptosis-both_up	M11	NA	NA	independent_Hdown
aug_v2a.05778	XP_015753014	apoptosis inhibitor 5-A	API5	apoptosis-both	apoptosis-both_up	M11	NA	canceled_Hdown	independent_Hdown
aug_v2a.05412	XP_015762525	Caspase-7	CASP7	apoptosis-both	apoptosis-both_up	M11	NA	similar_down	combinatorial_Shdown
aug_v2a.17973	XP_015774270	serine/threonine-protein kinase 40-like		apoptosis-both	apoptosis-both_up	M10	NA	NA	NA
aug_v2a.22682	XP_015759686	transcription factor BTF3 homolog 4-like isoform X2	BTF3L4	apoptosis-both	apoptosis-both_up	M11	NA	similar_down	similar_down
aug_v2a.23668	XP_015759686	transcription factor BTF3 homolog 4-like isoform X2	BTF3L4	apoptosis-both	apoptosis-both_up	M11	NA	similar_down	independent_Hdown
aug_v2a.09611	XP_015768209	Caspase	CASP	apoptosis-extrinsic	apoptosis-extrinsic_down	M13	NA	independent_Hup	independent_Hup
aug_v2a.21531	XP_015765838	death domain-associated protein 6-like	DAXX	apoptosis-extrinsic	apoptosis-extrinsic_down	M15	1	canceled_Hup	NA
aug_v2a.15940	XP_015752631	FAS-associated factor 1	FAS	apoptosis-extrinsic	apoptosis-extrinsic_down	M20	8	independent_Hup	independent_Hup
aug_v2a.14805	XP_015780934	ranBP-type and C3HC4-type zinc finger-containing protein 1-like		apoptosis-extrinsic	apoptosis-extrinsic_down	M20	NA	independent_Hup	similar_up
aug_v2a.15107	XP_015761741	transcription factor 7-like 2		apoptosis-extrinsic	apoptosis-extrinsic_down	M18	NA	similar_up	combinatorial_Sdown_Hdown_Shup
aug_v2a.20485	XP_015770334	ubiquitin thioesterase CYLD	CYLD	apoptosis-extrinsic	apoptosis-extrinsic_down	M21	NA	independent_Hup	similar_up
aug_v2a.04258	XP_015752214	fas apoptotic inhibitory molecule 1-like	FAIM	apoptosis-extrinsic	apoptosis-extrinsic_up	M12	NA	independent_Sdown	independent_Hdown
aug_v2a.21328	XP_015749718	apoptosis-resistant E3 ubiquitin protein ligase 1	AREL1	apoptosis-intrinsic	apoptosis-intrinsic_down	M25	NA	similar_up	combinatorial_SHup
aug_v2a.04131	XP_015776369	Apoptotic protease-activating factor 1	Apaf-1	apoptosis-intrinsic	apoptosis-intrinsic_down	M20	NA	independent_Hup	similar_up
aug_v2a.00172	XP_015757242	BAK1	BAK1	apoptosis-intrinsic	apoptosis-intrinsic_down	M15	1	canceled_Hup	similar_up
aug_v2a.17629	XP_015747899	leucine-rich repeats and death domain-containing protein	LRDD	apoptosis-intrinsic	apoptosis-intrinsic_down	M21	NA	similar_up	similar_up
aug_v2a.12531	XP_015748222	p53-induced protein with a death domain	PIDD	apoptosis-intrinsic	apoptosis-intrinsic_down	M21	NA	independent_Hup	similar_up
aug_v2a.23783	XP_015748225	p53-induced protein with a death domain	PIDD	apoptosis-intrinsic	apoptosis-intrinsic_down	M21	NA	independent_Hup	similar_up
aug_v2a.12624	XP_015778642	p53-induced protein with a death domain	PIDD	apoptosis-intrinsic	apoptosis-intrinsic_down	M21	NA	independent_Hup	similar_up
aug_v2a.03511	XP_015752087	Protein disulfide-isomerase 1 	PDI	apoptosis-intrinsic	apoptosis-intrinsic_down	M21	3	independent_Hup	canceled_Hup
aug_v2a.07076	XP_015755186	apoptosis regulator Bcl-2	Bcl-2	apoptosis-intrinsic	apoptosis-intrinsic_up	M10	NA	independent_Sdown	canceled_Sdown
aug_v2a.04994	XP_015752935	"Apoptosis-inducing factor 1, mitochondrial"	AIF	apoptosis-intrinsic	apoptosis-intrinsic_up	M10	NA	independent_Hdown	independent_Hdown
aug_v2a.00181	XP_015757234	Bcl-like protein	Bcl	apoptosis-intrinsic	apoptosis-intrinsic_up	M12	NA	independent_Sdown	similar_down
aug_v2a.10327	XP_015751668	p53 and DNA damage-regulated protein 1	PDRG1	apoptosis-intrinsic	apoptosis-intrinsic_up	M21	NA	canceled_Hup	similar_up
aug_v2a.05639	XP_015752790	probable Bax inhibitor 1	Bl-1	apoptosis-intrinsic	apoptosis-intrinsic_up	M12	NA	canceled_Sdown	NA
aug_v2a.13262	XP_015759560	"pyruvate dehydrogenase (acetyl-transferring) kinase isozyme 2, mitochondrial-like"	PDK2	apoptosis-intrinsic	apoptosis-intrinsic_up	M11	NA	independent_Sdown	independent_Hdown
aug_v2a.18353	XP_015753228	arfaptin-2-like	ARFIP	autophagy_GOKEGG	autophagy_down	M21	1	canceled_Hup	independent_Hup
aug_v2a.04837	XP_015777887	beclin-1-like	BECN1	autophagy_GOKEGG	autophagy_down	M21	NA	canceled_Hup	NA
aug_v2a.18892	XP_015765412	putative Ras-related protein Rab-33	Rab33	autophagy_GOKEGG	autophagy_down	M17	NA	canceled_Hup	NA
aug_v2a.01430	XP_015751990	tectonin beta-propeller repeat-containing protein 1-like	TECPR1	autophagy_GOKEGG	autophagy_down	M20	NA	independent_Hup	similar_up
aug_v2a.05147	XP_015755818	vacuole membrane protein 1-like	VMP1	autophagy_GOKEGG	autophagy_down	M21	NA	independent_Hup	similar_up
aug_v2a.06844	XP_015751494	zinc finger FYVE domain-containing protein 1-like	ZFYVE1	autophagy_GOKEGG	autophagy_down	M13	NA	similar_up	combinatorial_SHup
aug_v2a.04427	XP_015753199	autophagy protein 5-like	ATG5	autophagy_GOKEGG	autophagy_up	M11	NA	similar_down	independent_Hdown
aug_v2a.15425	XP_015767506	autophagy-related protein 2 homolog B-like	ATG2	autophagy_GOKEGG	autophagy_up	M18	2	canceled_Hdown	NA
aug_v2a.05004	XP_015778280	cysteine protease ATG4D-like	ATG4D	autophagy_GOKEGG	autophagy_up	M11	NA	similar_down	similar_down
aug_v2a.05959	XP_015751120	death-associated protein 1-like	DAP1	autophagy_GOKEGG	autophagy_up	M11	NA	similar_down	independent_Hdown
aug_v2a.04270	XP_015756489	phosphoinositide 3-kinase regulatory subunit 4-like	PIK3R4	autophagy_GOKEGG	autophagy_up	M4	NA	independent_Hdown	canceled_Hdown
aug_v2a.02599	XP_015756489	phosphoinositide 3-kinase regulatory subunit 4-like	PIK3R4	autophagy_GOKEGG	autophagy_up	M10	NA	independent_Hdown	canceled_Hdown
aug_v2a.02770	XP_015779201	phosphoinositide 3-kinase regulatory subunit 4-like isoform X1	PIK3R4	autophagy_GOKEGG	autophagy_up	M4	NA	independent_Hdown	canceled_Hdown
aug_v2a.13603	0	"phosphoinositide-3-kinase, regulatory subunit 4"	PIK3R4	autophagy_GOKEGG	autophagy_up	M11	NA	similar_down	prioritized_Hdown
aug_v2a.11930	XP_015758912	ras-like GTP-binding protein YPT1 isoform X1	YPT1	autophagy_GOKEGG	autophagy_up	M12	NA	independent_Sdown	prioritized_Hdown
aug_v2a.14165	XP_015752657	ras-related GTP-binding protein A-like	RRAGA	autophagy_GOKEGG	autophagy_up	M11	NA	similar_down	independent_Hdown
aug_v2a.24431	XP_015773750	"serine/threonine-protein phosphatase PGAM5, mitochondrial-like isoform X3"	PGAM5	autophagy_GOKEGG	autophagy_up	M11	NA	independent_Hdown	independent_Hdown
aug_v2a.03018	XP_015773750	"serine/threonine-protein phosphatase PGAM5, mitochondrial-like isoform X3"	PGAM5	autophagy_GOKEGG	autophagy_up	M11	NA	independent_Hdown	independent_Hdown
aug_v2a.20234	XP_015778516	target of rapamycin complex subunit lst8-like	MLST8	autophagy_GOKEGG	autophagy_up	M11	NA	similar_down	independent_Hdown
aug_v2a.02698	XP_015775422	"ubiquitin-like-conjugating enzyme ATG10, partial"	ATG10	autophagy_GOKEGG	autophagy_up	M11	NA	independent_Hdown	independent_Hdown
aug_v2a.17623	XP_015753348	ubiquitin-like-conjugating enzyme ATG3	ATG3	autophagy_GOKEGG	autophagy_up	M16	NA	canceled_Sdown_Hup	prioritized_Hup
aug_v2a.07791	XP_015757696	WD repeat-containing protein 41-like	WDR41	autophagy_GOKEGG	autophagy_up	M11	NA	independent_Hdown	independent_Hdown
aug_v2a.10736	XP_015748806	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1-like, partial"		cell cycle/ DNA damage	cell_cycle_down	M20	NA	similar_up	independent_Hup
aug_v2a.20570	XP_015747827	anaphase-promoting complex subunit 7	APC7	cell cycle/ DNA damage	cell_cycle_down	M15	NA	canceled_Hup	independent_Sup
aug_v2a.18113	XP_015758542	casein kinase I isoform alpha-like		cell cycle/ DNA damage	cell_cycle_down	M20	NA	similar_up	similar_up
aug_v2a.19156	XP_015772586	cell cycle checkpoint protein RAD17	RAD17	cell cycle/ DNA damage	cell_cycle_down	M21	NA	canceled_Hup	NA
aug_v2a.02419	XP_015759676	cell division cycle 14 	CDC14	cell cycle/ DNA damage	cell_cycle_down	M24	NA	canceled_Sup	canceled_Sup_Hdown
aug_v2a.19335	XP_015763007	cohesin complex subunit SA-1/2	STAG1	cell cycle/ DNA damage	cell_cycle_down	M21	NA	canceled_Hup	independent_Sup
aug_v2a.11028	XP_015757944	cyclin-dependent kinase-like 4	CDKL	cell cycle/ DNA damage	cell_cycle_down	M21	3	canceled_Hup	NA
