GenBank Nucleotide Accession	GenBank Protein Accession
U48705	BAB63318; EAX03341; EAX03345; BAE06103; AAH08716; CAA52915; XP_011513184; XP_024302309; NP_001189450; NP_001374824; NP_001374832; NP_001374838; NP_001374847; EAX03339; Q08345; ACF47650; CAA82335; XP_011513185; NP_001374833; NP_001374834; NP_054699; AQY76775; AQY76778; BAE78621; BAF31270; EAX03344; BAH11886; AAA02866; AAA18019; XP_011513190; NP_001374823; NP_001374825; NP_001374835; AQY76774; EAX03343; AAK48842; AAK48843; AAH13400; NP_001284581; NP_001374843; AQY76777; EAX03340; BAH12138; AAH70070; NP_001189451; NP_001189452; NP_001374837; NP_001374846; NP_001945; NP_054700; AAC50917; AQY76779; BAC54935; EAX03335; EAX03338; EAX03342; EAX03346; BAF84310; XP_016866757; XP_024302310; NP_001284583; NP_001374826; NP_001374827; NP_001374830; NP_001374836; NP_001374842; ; AQY76780; EAX03336; EAX03337; XP_011513189; XP_016866758; NP_001374822; NP_001374828; NP_001374829; NP_001374831; NP_001374841; NP_001374844; NP_001374845; AQY76776; AQY76781; CAA66871; BAC85426; ACF47649; AAB05208; XP_011513186; XP_024302308; NP_001284582; NP_001374821; NP_001374839; NP_001374840
M87338	P35250; BAG70182; AAP22334; AAP22335; XP_016867982; AAH02813; XP_006716143; NP_001265721; ; XP_016867981; NP_002905; AAL82503; EAW69605; BAG70057; NP_852136; EAW69606; EAW69608; NP_001265720; NP_001265722; AAC04860; EAW69607; AAP35707; AAB09786
X51757	CAA36061
X69699	EAW73632; EAW73638; ALQ33862; EAW73636; ALQ33863; ALQ33864; EAW73633; AAH01060; AAA03539; NP_039246; ; EAW73629; EAW73634; AAB34216; NP_054698; EAW73630; EAW73631; EAW73639; AAB34218; NP_039247; Q06710; AGN95866; NP_003457; CAA67903; EAW73635; BAF84880; AAB34217; AAX88880; EAW73637
L36861	BAG36593; ; NP_001305991; AAH31663; NP_000400; P43080; BAG54246; NP_001305990; AAA60541; AFK80059; AAA60542; AFK80060; EAX04084; NP_001371839
L13852	AAP35672; ; AAG49557; P41226; EAW65024; EAW65023; NP_003326; AAA75388; AAH06378
X55005	CAA38749
X79510	CAA56042
M21121	AAY22177; AAA36725; BAA76937; EAW80120; P13501; AAC03541; ACW84342; CAY55955; ABB69929; NP_001265665; ; AAD14942; BAA76938; AAH08600; NP_002976; AAC63331; BAA76939; AAF73070; BAG35145
J02843	EAW61358; AAD13753; NP_000764; AAF13601; CAH69382; ; AAH67435; BAA08796; BAF83511; AAA35743; CAH69381; AAD14267; EAW61357; AAZ77710; CAI47002; AAA52155; ABF47105; P05181; AAH67433
X75208	CAA53021
L38487	ABF47104; AAH73956; ; AAH92470; XP_016872802; EAW74245; EAW74246; AAH33701; AAB17015; BAF81543; AAH07915; NP_004442; EAW74250; AAH93722; ADZ17378; AAH63795; NP_001269380; P11474; AAH11528; AAH93720; CAA35778; NP_001269379
M33318	ACK44068; NP_000753; ; AAG45229; EAW57012; AAF13600; AAH96253; AAB40518; P11509; CAA32117; AAH96254; CAA32097; BAG35803; AAH96255; ABV02584; AAH96256; AAA52067; CAA32118
NM_005505	Q8WTV0; BAG63983; AAI43320; ALQ33423; NP_001354914; EAW98462; AAQ08185; BAG65493; NP_001076428; NP_001354912; NP_001354913; EAW98458; EAW98460; BAD92673; AAF91347; NP_001354916; NP_001354910; NP_001354918; NP_005496; ; EAW98459; BAG54008; NP_001354917; EAW98461; AAH80647; AAH93732; AAI12038; ALQ33422; CAA80277; NP_001354911; NP_001354915
NM_015140	EAW73291; CAJ86446; ; NP_055955; EAW73292; AAH01070; Q14166; BAA09774; BAG65280; CAC37415
NM_052871	-
NM_080735	CAD67643; AAL37488; AAO52683; NP_006094; EAW75836; EAW75840; CAD61529; EAW75839; ADO22358; CAE93849; CAV31701; CAV31702; CAY39341; AAL37485; BAF82977; ; CAD61361; EAW75837; Q14508; AAL37486; AAL37487; ADO22250; CAA44869; EAW75838; AAH46106; CAG33258
NM_138957	; EAW59481; ABY87541; EAW59480; AAH99905; NP_002736; ABD60303; AGC09596; EAW59479; NP_620407; CAA77752; CAA77753; ABF47102; CBK51146; P28482; AAH17832; EAW59482; BAG58192
