GID	SYMBOL	GENENAME
aug_v2a.17040	TBL1XR1	F-box/WD repeat-containing protein TBL1XR1
aug_v2a.20833	aug_v2a.20833	Uncharacterized protein
aug_v2a.04920	aug_v2a.04920	Putative swi-snf chromatin remodeling complex snf5 subunit
aug_v2a.24463	aug_v2a.24463	"ATP synthase subunit d, mitochondrial"
aug_v2a.17798	aug_v2a.17798	Uncharacterized protein
aug_v2a.20196	aug_v2a.20196	Putative ubiquitin protein
aug_v2a.03714	aug_v2a.03714	Uncharacterized protein
aug_v2a.12157	aug_v2a.12157	Histone H4
aug_v2a.21518	aug_v2a.21518	Histone H4
aug_v2a.06493	aug_v2a.06493	Peptidyl-prolyl cis-trans isomerase-like 4 (inferred by orthology to a human protein)
aug_v2a.06596	aug_v2a.06596	Timeless circadian clock
aug_v2a.07498	aug_v2a.07498	Ras-related protein (Fragment)
aug_v2a.06402	aug_v2a.06402	Uncharacterized protein
aug_v2a.18211	aug_v2a.18211	Uncharacterized protein
aug_v2a.20085	aug_v2a.20085	Uncharacterized protein
aug_v2a.13501	aug_v2a.13501	Uncharacterized protein
aug_v2a.20748	aug_v2a.20748	Uncharacterized protein
aug_v2a.13033	aug_v2a.13033	Uncharacterized protein
aug_v2a.11341	aug_v2a.11341	Uncharacterized protein
aug_v2a.08240	aug_v2a.08240	Uncharacterized protein
aug_v2a.06886	aug_v2a.06886	Uncharacterized protein
aug_v2a.09562	aug_v2a.09562	Uncharacterized protein
aug_v2a.08241	aug_v2a.08241	Uncharacterized protein
aug_v2a.09563	aug_v2a.09563	Uncharacterized protein
aug_v2a.09564	aug_v2a.09564	Uncharacterized protein
aug_v2a.08034	aug_v2a.08034	Uncharacterized protein
aug_v2a.08035	aug_v2a.08035	Uncharacterized protein
aug_v2a.03829	aug_v2a.03829	Gag-pol fusion polyprotein (Fragment)
aug_v2a.11058	aug_v2a.11058	Gag-pol fusion polyprotein (Fragment)
aug_v2a.24374	aug_v2a.24374	Uncharacterized protein
aug_v2a.03528	aug_v2a.03528	Uncharacterized protein
aug_v2a.09212	aug_v2a.09212	Uncharacterized protein
aug_v2a.22600	aug_v2a.22600	Uncharacterized protein
aug_v2a.00785	aug_v2a.00785	Uncharacterized protein
aug_v2a.23555	aug_v2a.23555	Uncharacterized protein
aug_v2a.16376	aug_v2a.16376	Polyprotein
aug_v2a.04095	aug_v2a.04095	Uncharacterized protein
aug_v2a.18841	aug_v2a.18841	Putative tick transposon (Fragment)
aug_v2a.01015	aug_v2a.01015	Uncharacterized protein
aug_v2a.13588	aug_v2a.13588	Uncharacterized protein
aug_v2a.02072	aug_v2a.02072	Uncharacterized protein
aug_v2a.12039	aug_v2a.12039	Uncharacterized protein
aug_v2a.19025	aug_v2a.19025	Uncharacterized protein
aug_v2a.03539	aug_v2a.03539	Uncharacterized protein
aug_v2a.24596	aug_v2a.24596	Uncharacterized protein
aug_v2a.03175	aug_v2a.03175	Uncharacterized protein
aug_v2a.23976	aug_v2a.23976	Uncharacterized protein
aug_v2a.06423	aug_v2a.06423	Uncharacterized protein
aug_v2a.08673	aug_v2a.08673	Uncharacterized protein
aug_v2a.23586	aug_v2a.23586	Putative gypsy-27 xt-i (Fragment)
aug_v2a.10517	aug_v2a.10517	Uncharacterized protein
aug_v2a.15861	aug_v2a.15861	Uncharacterized protein
aug_v2a.10104	aug_v2a.10104	Uncharacterized protein
aug_v2a.03213	aug_v2a.03213	Uncharacterized protein
aug_v2a.13640	aug_v2a.13640	Putative gypsy-7 adi-i (Fragment)
aug_v2a.13641	aug_v2a.13641	Putative tick transposon
aug_v2a.24545	aug_v2a.24545	Uncharacterized protein
aug_v2a.10578	aug_v2a.10578	Uncharacterized protein
aug_v2a.16702	aug_v2a.16702	Uncharacterized protein
aug_v2a.15925	aug_v2a.15925	Putative tick transposon (Fragment)
aug_v2a.04148	aug_v2a.04148	Uncharacterized protein
aug_v2a.04770	aug_v2a.04770	Uncharacterized protein
aug_v2a.20901	aug_v2a.20901	Uncharacterized protein
aug_v2a.22952	aug_v2a.22952	Uncharacterized protein
aug_v2a.07463	aug_v2a.07463	Uncharacterized protein
aug_v2a.02073	aug_v2a.02073	Uncharacterized protein
aug_v2a.15888	aug_v2a.15888	Uncharacterized protein
aug_v2a.06071	aug_v2a.06071	Uncharacterized protein
aug_v2a.00384	aug_v2a.00384	Uncharacterized protein
aug_v2a.08533	aug_v2a.08533	Putative tick transposon (Fragment)
aug_v2a.05119	aug_v2a.05119	Putative transposable element (Fragment)
aug_v2a.18138	aug_v2a.18138	Uncharacterized protein (Fragment)
aug_v2a.19102	aug_v2a.19102	Uncharacterized protein
aug_v2a.03553	aug_v2a.03553	Uncharacterized protein
aug_v2a.23045	aug_v2a.23045	Uncharacterized protein
aug_v2a.22991	aug_v2a.22991	Uncharacterized protein
aug_v2a.02705	aug_v2a.02705	Uncharacterized protein
aug_v2a.00660	aug_v2a.00660	Uncharacterized protein
aug_v2a.20714	aug_v2a.20714	Uncharacterized protein
aug_v2a.03270	aug_v2a.03270	Uncharacterized protein
aug_v2a.13975	aug_v2a.13975	Uncharacterized protein
aug_v2a.01206	aug_v2a.01206	Uncharacterized protein
aug_v2a.21688	aug_v2a.21688	Uncharacterized protein
aug_v2a.20516	aug_v2a.20516	Uncharacterized protein
aug_v2a.24486	aug_v2a.24486	Uncharacterized protein
aug_v2a.13326	aug_v2a.13326	Uncharacterized protein
aug_v2a.19547	aug_v2a.19547	Uncharacterized protein
aug_v2a.04965	aug_v2a.04965	Uncharacterized protein
aug_v2a.15627	aug_v2a.15627	Uncharacterized protein
aug_v2a.22140	aug_v2a.22140	Uncharacterized protein
aug_v2a.24738	aug_v2a.24738	Uncharacterized protein
aug_v2a.01016	aug_v2a.01016	Uncharacterized protein
aug_v2a.02533	aug_v2a.02533	Uncharacterized protein
aug_v2a.24476	aug_v2a.24476	Uncharacterized protein
aug_v2a.23518	aug_v2a.23518	Uncharacterized protein
aug_v2a.10597	aug_v2a.10597	Uncharacterized protein
aug_v2a.09787	aug_v2a.09787	Uncharacterized protein
aug_v2a.22943	aug_v2a.22943	Uncharacterized protein
aug_v2a.00852	aug_v2a.00852	Uncharacterized protein
aug_v2a.11174	aug_v2a.11174	Uncharacterized protein
aug_v2a.21926	aug_v2a.21926	Uncharacterized protein
aug_v2a.18602	aug_v2a.18602	Uncharacterized protein
aug_v2a.07490	aug_v2a.07490	Uncharacterized protein
aug_v2a.13552	aug_v2a.13552	Uncharacterized protein
aug_v2a.20718	aug_v2a.20718	Uncharacterized protein
aug_v2a.20536	aug_v2a.20536	Uncharacterized protein
aug_v2a.00620	aug_v2a.00620	Peptidyl-prolyl cis-trans isomerase
