category	ID	term	count	genes	logFC	adj_pval	zscore
BP	GO:0000377	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	96	AUG_V2A.03929	-1.015041461	2.429231449	4.082482905
BP	GO:0000377	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	96	AUG_V2A.14951	-1.163168044	2.429231449	4.082482905
BP	GO:0000377	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	96	AUG_V2A.00613	-0.656234179	2.429231449	4.082482905
BP	GO:0000377	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	96	AUG_V2A.08670	0.426955896	2.429231449	4.082482905
BP	GO:0000377	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	96	AUG_V2A.17941	0.481889938	2.429231449	4.082482905
BP	GO:0000377	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	96	AUG_V2A.04919	1.117105143	2.429231449	4.082482905
BP	GO:0000377	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	96	AUG_V2A.02226	0.715053765	2.429231449	4.082482905
BP	GO:0000377	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	96	AUG_V2A.24303	0.798444913	2.429231449	4.082482905
BP	GO:0000377	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	96	AUG_V2A.00065	0.556322716	2.429231449	4.082482905
BP	GO:0000377	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	96	AUG_V2A.07945	0.574795399	2.429231449	4.082482905
BP	GO:0000377	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	96	AUG_V2A.23855	0.814098989	2.429231449	4.082482905
BP	GO:0000377	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	96	AUG_V2A.21924	0.360877224	2.429231449	4.082482905
BP	GO:0000377	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	96	AUG_V2A.16788	0.431607956	2.429231449	4.082482905
